# Secondary Neutrons (Entries = 3756494, Mean = 1.809, Std Dev = 1.349)
# Bin starting from 0 MeV (bin width = 0.114 MeV), Counts
1,50212
2,95464
3,124698
4,138610
5,150936
6,158863
7,161854
8,158196
9,161831
10,162877
11,163108
12,158660
13,152158
14,145714
15,137969
16,132150
17,124502
18,118986
19,112943
20,107248
21,97831
22,87808
23,77007
24,68463
25,62465
26,56392
27,51245
28,45728
29,41549
30,37363
31,34448
32,31096
33,29024
34,26644
35,25016
36,23059
37,20921
38,19508
39,17658
40,16407
41,15152
42,13944
43,12718
44,11400
45,9902
46,8712
47,7531
48,6907
49,6483
50,6145
51,5762
52,5321
53,4639
54,4243
55,3941
56,3675
57,3459
58,3236
59,3030
60,2879
61,2606
62,2415
63,2179
64,2131
65,1803
66,1672
67,1538
68,1430
69,1305
70,1242
71,1230
72,1229
73,1194
74,1129
75,1106
76,966
77,892
78,774
79,760
80,670
81,587
82,544
83,464
84,348
85,246
86,183
87,93
88,48
89,15
90,1
91,2
92,1
93,1
