====== He (5486) into SiO2 - quartz (ICRU-245)+ =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 4576.6 keV
============= TARGET MATERIAL ======================================
Layer 1 : SiO2 - quartz (ICRU-245)
Layer Width = 10000.E+01 A ;
  Layer # 1- Density = 6.975E22 atoms/cm3 = 2.32 g/cm3
  Layer # 1-  O = 66.6 Atomic Percent = 53.2 Mass Percent
  Layer # 1- Si = 33.3 Atomic Percent = 46.7 Mass Percent
Layer 2 : Si
Layer Width = 30000.E+01 A ;
  Layer # 2- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =010000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
400001.E-02  1673.67E-02  1253.95E-06
800001.E-02  1687.24E-02  1539.55E-05
120000.E-01  1702.93E-02  3947.36E-06
160000.E-01  1719.67E-02  1633.52E-05
200000.E-01  1737.33E-02  1246.67E-06
240000.E-01  1754.23E-02  2686.51E-06
280000.E-01  1771.84E-02  5801.02E-06
320000.E-01  1791.28E-02  2454.62E-06
360000.E-01  1809.86E-02  1821.69E-06
400000.E-01  1830.18E-02  1827.49E-06
440000.E-01  1854.34E-02  2181.94E-06
480000.E-01  1876.34E-02  3150.73E-06
520000.E-01  1900.60E-02  2398.33E-06
560000.E-01  1922.73E-02  6876.58E-06
600000.E-01  1948.52E-02  2314.65E-06
640000.E-01  1974.34E-02  2062.38E-06
680000.E-01  2004.10E-02  3249.06E-06
720000.E-01  2029.90E-02  5042.04E-06
760000.E-01  2061.82E-02  3029.74E-06
800000.E-01  2093.88E-02  6899.48E-06
840000.E-01  2126.33E-02  8068.56E-06
880000.E-01  2160.69E-02  2553.23E-06
920000.E-01  2196.79E-02  2689.40E-06
960000.E-01  2237.04E-02  3464.37E-06
100000.E+00  2279.07E-02  5103.34E-06
104000.E+00  2036.44E-02  5680.58E-06
108000.E+00  2067.74E-02  2437.36E-06
112000.E+00  2103.03E-02  2824.25E-06
116000.E+00  2141.00E-02  2315.03E-06
120000.E+00  2181.80E-02  1028.45E-05
124000.E+00  2224.80E-02  7573.59E-06
128000.E+00  2273.05E-02  1182.24E-05
132000.E+00  2321.23E-02  4927.82E-06
136000.E+00  2375.90E-02  6421.54E-06
140000.E+00  2431.80E-02  4906.44E-06
144000.E+00  2492.87E-02  3977.87E-06
148000.E+00  2558.45E-02  4448.40E-06
152000.E+00  2631.45E-02  4978.20E-06
156000.E+00  2709.97E-02  7411.27E-06
160000.E+00  2795.17E-02  1170.78E-05
164000.E+00  2885.01E-02  8213.93E-06
168000.E+00  2982.51E-02  1371.83E-05
172000.E+00  3091.46E-02  8998.35E-06
176000.E+00  3199.73E-02  1261.22E-05
180000.E+00  3299.41E-02  1381.02E-05
184000.E+00  3364.62E-02  2172.91E-05
188000.E+00  3342.21E-02  1920.22E-05
192000.E+00  3140.60E-02  2929.74E-05
196000.E+00  2618.04E-02  4517.64E-05
200000.E+00  1779.46E-02  9328.36E-05
204000.E+00  8081.81E-03  1566.02E-04
208000.E+00  1209.87E-03  5260.10E-05
212000.E+00  2168.37E-05  1496.05E-06
216000.E+00  0000.00E+00  0000.00E+00
220000.E+00  0000.00E+00  0000.00E+00
224000.E+00  0000.00E+00  0000.00E+00
228000.E+00  0000.00E+00  0000.00E+00
232000.E+00  0000.00E+00  0000.00E+00
236000.E+00  0000.00E+00  0000.00E+00
240000.E+00  0000.00E+00  0000.00E+00
244000.E+00  0000.00E+00  0000.00E+00
248000.E+00  0000.00E+00  0000.00E+00
252000.E+00  0000.00E+00  0000.00E+00
