====== He (5486) into Air, Dry (ICRU-104)       =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 5486 keV
============= TARGET MATERIAL ======================================
Layer 1 : Air, Dry (ICRU-104)
Layer Width = 10000.E+04 A ;
  Layer # 1- Density = 4.987E19 atoms/cm3 = 1.204 g/cm3
  Layer # 1-  C = .015 Atomic Percent = 1.23 Mass Percent
  Layer # 1-  O = 21.0 Atomic Percent = 23.1 Mass Percent
  Layer # 1-  N = 78.4 Atomic Percent = 75.5 Mass Percent
  Layer # 1- Ar = .467 Atomic Percent = 1.28 Mass Percent
====================================================================
 Total Ions calculated =010094.17
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
0  8708.14E-06  1550.55E-11
100000.E+01  8708.14E-06  1550.55E-11
200000.E+01  8691.30E-06  5158.38E-11
300000.E+01  8687.13E-06  1013.44E-10
400000.E+01  8683.36E-06  8783.83E-10
500000.E+01  8694.76E-06  2674.35E-10
600000.E+01  8701.58E-06  2379.50E-08
700000.E+01  8706.90E-06  3111.54E-10
800000.E+01  8723.95E-06  8611.20E-10
900000.E+01  8739.43E-06  8182.97E-10
100000.E+02  8745.05E-06  5829.80E-10
110000.E+02  8753.85E-06  5193.47E-10
120000.E+02  8763.23E-06  1776.97E-09
130000.E+02  8769.72E-06  3097.94E-10
140000.E+02  8779.69E-06  1950.89E-09
150000.E+02  8784.49E-06  3809.46E-10
160000.E+02  8790.58E-06  6077.94E-10
170000.E+02  8797.59E-06  1535.53E-09
180000.E+02  8806.75E-06  6428.88E-10
190000.E+02  8815.78E-06  2612.62E-09
200000.E+02  8825.36E-06  4782.34E-10
210000.E+02  8837.04E-06  7827.09E-10
220000.E+02  8847.32E-06  8351.46E-10
230000.E+02  8853.03E-06  6526.75E-08
240000.E+02  8865.05E-06  7383.50E-10
250000.E+02  8876.49E-06  1110.03E-09
260000.E+02  8888.84E-06  7636.09E-08
270000.E+02  8902.58E-06  1151.44E-09
280000.E+02  8915.12E-06  1567.37E-09
290000.E+02  8925.82E-06  8672.41E-10
300000.E+02  8935.12E-06  9023.16E-10
310000.E+02  8949.92E-06  3969.44E-10
320000.E+02  8964.95E-06  1168.36E-09
330000.E+02  8976.60E-06  7347.33E-10
340000.E+02  8989.21E-06  3323.57E-10
350000.E+02  8998.52E-06  1310.55E-09
360000.E+02  9007.92E-06  3479.11E-10
370000.E+02  9016.08E-06  2633.75E-09
380000.E+02  9026.61E-06  4355.24E-09
390000.E+02  9037.77E-06  3806.33E-10
400000.E+02  9044.98E-06  1023.96E-09
410000.E+02  9058.23E-06  3341.49E-10
420000.E+02  9068.76E-06  1227.66E-09
430000.E+02  9084.11E-06  4144.83E-10
440000.E+02  9095.01E-06  6548.35E-10
450000.E+02  9107.85E-06  1104.51E-09
460000.E+02  9119.17E-06  1894.07E-09
470000.E+02  9128.23E-06  1652.15E-09
480000.E+02  9140.30E-06  5107.94E-10
490000.E+02  9153.46E-06  2333.91E-09
500000.E+02  9164.25E-06  3387.44E-10
510000.E+02  9177.60E-06  1282.21E-09
520000.E+02  9194.17E-06  3769.12E-10
530000.E+02  9210.23E-06  5233.93E-10
540000.E+02  9221.69E-06  1384.05E-09
550000.E+02  9234.02E-06  4920.88E-10
560000.E+02  9246.64E-06  6449.81E-10
570000.E+02  9257.50E-06  1223.27E-09
580000.E+02  9272.07E-06  8751.85E-10
590000.E+02  9277.63E-06  4793.57E-10
600000.E+02  9285.54E-06  2706.68E-09
610000.E+02  9287.36E-06  6055.75E-10
620000.E+02  9300.84E-06  4094.82E-10
630000.E+02  9309.17E-06  2015.44E-09
640000.E+02  9318.60E-06  1407.75E-08
650000.E+02  9328.66E-06  3743.09E-10
660000.E+02  9337.45E-06  5523.37E-10
670000.E+02  9351.39E-06  3302.41E-09
680000.E+02  9367.85E-06  9710.70E-10
690000.E+02  9384.45E-06  9413.69E-10
700000.E+02  9393.58E-06  5293.46E-10
710000.E+02  9403.84E-06  5178.48E-10
720000.E+02  9418.25E-06  9325.87E-10
730000.E+02  9434.48E-06  3277.65E-10
740000.E+02  9445.44E-06  4472.42E-10
750000.E+02  9457.28E-06  5477.33E-10
760000.E+02  9465.04E-06  5845.35E-10
770000.E+02  9476.40E-06  2116.88E-09
780000.E+02  9491.42E-06  1793.08E-09
790000.E+02  9505.66E-06  6943.39E-10
800000.E+02  9518.04E-06  6460.24E-10
810000.E+02  9528.50E-06  2355.36E-08
820000.E+02  9543.53E-06  8937.51E-10
830000.E+02  9561.35E-06  6484.04E-10
840000.E+02  9574.28E-06  4324.11E-10
850000.E+02  9588.39E-06  1529.09E-09
860000.E+02  9601.99E-06  6741.54E-10
870000.E+02  9612.43E-06  7526.10E-10
880000.E+02  9625.56E-06  1145.12E-09
890000.E+02  9639.67E-06  7414.31E-10
900000.E+02  9653.87E-06  1420.93E-09
910000.E+02  9668.18E-06  2014.24E-08
920000.E+02  9685.14E-06  5903.84E-10
930000.E+02  9697.44E-06  1477.57E-09
940000.E+02  9716.20E-06  1092.43E-09
950000.E+02  9722.74E-06  4823.82E-10
960000.E+02  9744.45E-06  6038.50E-09
970000.E+02  9764.01E-06  2693.11E-09
980000.E+02  9785.83E-06  1422.78E-09
990000.E+02  9823.94E-06  2037.82E-09
100000.E+03  9843.57E-06  1230.75E-08
