====== Mg (6000) into Layer 1                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Mg   Energy = 6000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 10000.E+01 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =017939.97
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100001.E-02  2412.82E-01  3846.70E-04
200001.E-02  2392.49E-01  7354.13E-04
300001.E-02  2367.30E-01  8503.55E-04
400001.E-02  2343.38E-01  6938.83E-04
500001.E-02  2313.33E-01  6048.94E-04
600001.E-02  2285.78E-01  7854.77E-04
700001.E-02  2252.07E-01  8022.78E-04
800001.E-02  2220.82E-01  9234.88E-04
900001.E-02  2179.38E-01  1042.82E-03
100000.E-01  2140.51E-01  1166.54E-03
110000.E-01  2096.78E-01  9311.45E-04
120000.E-01  2050.70E-01  1272.08E-03
130000.E-01  1998.45E-01  9720.96E-04
140000.E-01  1945.38E-01  1030.27E-03
150000.E-01  1887.57E-01  1623.27E-03
160000.E-01  1830.34E-01  1286.39E-03
170000.E-01  1763.88E-01  1239.20E-03
180000.E-01  1695.30E-01  1259.78E-03
190000.E-01  1626.44E-01  1293.92E-03
200000.E-01  1554.27E-01  1427.98E-03
210000.E-01  1474.62E-01  1567.72E-03
220000.E-01  1396.78E-01  1422.69E-03
230000.E-01  1314.61E-01  1858.35E-03
240000.E-01  1234.23E-01  1832.59E-03
250000.E-01  1152.54E-01  2097.90E-03
260000.E-01  1068.48E-01  1757.82E-03
270000.E-01  9886.82E-02  2367.99E-03
280000.E-01  9092.98E-02  2692.24E-03
290000.E-01  8332.31E-02  2715.50E-03
300000.E-01  7589.92E-02  3077.15E-03
310000.E-01  6892.07E-02  2978.21E-03
320000.E-01  6236.45E-02  3464.86E-03
330000.E-01  5621.52E-02  3722.07E-03
340000.E-01  5045.23E-02  4165.68E-03
350000.E-01  4499.69E-02  4496.13E-03
360000.E-01  4009.31E-02  4938.68E-03
370000.E-01  3553.58E-02  5362.31E-03
380000.E-01  3081.73E-02  5945.33E-03
390000.E-01  2610.33E-02  5974.08E-03
400000.E-01  2100.01E-02  5902.71E-03
410000.E-01  1563.55E-02  5388.85E-03
420000.E-01  9826.43E-03  4193.92E-03
430000.E-01  5081.53E-03  2607.12E-03
440000.E-01  1921.66E-03  1218.84E-03
450000.E-01  4975.89E-04  3637.34E-04
460000.E-01  8760.14E-05  6991.66E-05
470000.E-01  1105.71E-05  8136.75E-06
480000.E-01  1320.42E-06  9368.40E-07
490000.E-01  9157.69E-08  8650.99E-08
500000.E-01  0000.00E+00  0000.00E+00
510000.E-01  0000.00E+00  0000.00E+00
520000.E-01  0000.00E+00  0000.00E+00
530000.E-01  0000.00E+00  0000.00E+00
540000.E-01  0000.00E+00  0000.00E+00
550000.E-01  0000.00E+00  0000.00E+00
560000.E-01  0000.00E+00  0000.00E+00
570000.E-01  0000.00E+00  0000.00E+00
580000.E-01  0000.00E+00  0000.00E+00
590000.E-01  0000.00E+00  0000.00E+00
600000.E-01  0000.00E+00  0000.00E+00
610000.E-01  0000.00E+00  0000.00E+00
620000.E-01  0000.00E+00  0000.00E+00
630000.E-01  0000.00E+00  0000.00E+00
640000.E-01  0000.00E+00  0000.00E+00
650000.E-01  0000.00E+00  0000.00E+00
660000.E-01  0000.00E+00  0000.00E+00
670000.E-01  0000.00E+00  0000.00E+00
680000.E-01  0000.00E+00  0000.00E+00
690000.E-01  0000.00E+00  0000.00E+00
700000.E-01  0000.00E+00  0000.00E+00
710000.E-01  0000.00E+00  0000.00E+00
720000.E-01  0000.00E+00  0000.00E+00
730000.E-01  0000.00E+00  0000.00E+00
740000.E-01  0000.00E+00  0000.00E+00
750000.E-01  0000.00E+00  0000.00E+00
760000.E-01  0000.00E+00  0000.00E+00
770000.E-01  0000.00E+00  0000.00E+00
780000.E-01  0000.00E+00  0000.00E+00
790000.E-01  0000.00E+00  0000.00E+00
800000.E-01  0000.00E+00  0000.00E+00
810000.E-01  0000.00E+00  0000.00E+00
820000.E-01  0000.00E+00  0000.00E+00
830000.E-01  0000.00E+00  0000.00E+00
840000.E-01  0000.00E+00  0000.00E+00
850000.E-01  0000.00E+00  0000.00E+00
860000.E-01  0000.00E+00  0000.00E+00
870000.E-01  0000.00E+00  0000.00E+00
880000.E-01  0000.00E+00  0000.00E+00
890000.E-01  0000.00E+00  0000.00E+00
900000.E-01  0000.00E+00  0000.00E+00
910000.E-01  0000.00E+00  0000.00E+00
920000.E-01  0000.00E+00  0000.00E+00
930000.E-01  0000.00E+00  0000.00E+00
940000.E-01  0000.00E+00  0000.00E+00
950000.E-01  0000.00E+00  0000.00E+00
960000.E-01  0000.00E+00  0000.00E+00
970000.E-01  0000.00E+00  0000.00E+00
980000.E-01  0000.00E+00  0000.00E+00
990000.E-01  0000.00E+00  0000.00E+00
100000.E+00  0000.00E+00  0000.00E+00
