====== Si (1464) into Layer 1                   =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Si   Energy = 1464 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width = 20000.E+00 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =13456.97
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
200010.E-03  5096.23E-03  5110.15E-03
400010.E-03  5486.57E-03  5503.55E-03
600010.E-03  5431.23E-03  5448.25E-03
800010.E-03  5558.75E-03  5576.03E-03
100001.E-02  7895.20E-03  7912.84E-03
120001.E-02  6577.55E-03  6595.60E-03
140001.E-02  7314.92E-03  7333.00E-03
160001.E-02  6498.25E-03  6516.53E-03
180001.E-02  6513.98E-03  6532.73E-03
200001.E-02  6982.94E-03  7001.91E-03
220001.E-02  7144.87E-03  7164.19E-03
240001.E-02  6697.22E-03  6716.76E-03
260001.E-02  6318.84E-03  6338.66E-03
280001.E-02  7680.81E-03  7700.91E-03
300001.E-02  8843.26E-03  8863.84E-03
320001.E-02  8468.27E-03  8489.12E-03
340001.E-02  8334.57E-03  8355.80E-03
360001.E-02  8560.59E-03  8581.89E-03
380001.E-02  7340.86E-03  7362.59E-03
400001.E-02  8867.06E-03  8889.18E-03
420001.E-02  8926.49E-03  8949.13E-03
440001.E-02  9195.38E-03  9218.21E-03
460001.E-02  9835.93E-03  9859.20E-03
480001.E-02  9736.10E-03  9759.59E-03
500001.E-02  9818.76E-03  9842.82E-03
520001.E-02  8950.73E-03  8975.33E-03
540001.E-02  1001.92E-02  1004.42E-02
560001.E-02  1023.73E-02  1026.27E-02
580001.E-02  1057.75E-02  1060.33E-02
600001.E-02  1030.51E-02  1033.13E-02
620001.E-02  1085.82E-02  1088.50E-02
640001.E-02  1115.91E-02  1118.66E-02
660001.E-02  1062.76E-02  1065.56E-02
680001.E-02  1127.92E-02  1130.74E-02
700001.E-02  1208.02E-02  1210.90E-02
720001.E-02  1220.86E-02  1223.83E-02
740001.E-02  1147.98E-02  1150.98E-02
760001.E-02  1320.85E-02  1323.90E-02
780001.E-02  1278.25E-02  1281.39E-02
800001.E-02  1236.51E-02  1239.69E-02
820001.E-02  1257.94E-02  1261.19E-02
840001.E-02  1317.51E-02  1320.82E-02
860001.E-02  1342.27E-02  1345.60E-02
880001.E-02  1366.58E-02  1369.97E-02
900001.E-02  1381.50E-02  1384.94E-02
920001.E-02  1610.30E-02  1613.79E-02
940001.E-02  1444.48E-02  1448.02E-02
960001.E-02  1555.22E-02  1558.73E-02
980001.E-02  1675.60E-02  1679.17E-02
100000.E-01  1724.62E-02  1728.31E-02
102000.E-01  1704.28E-02  1707.97E-02
104000.E-01  1818.49E-02  1822.28E-02
106000.E-01  1850.92E-02  1854.82E-02
108000.E-01  1972.45E-02  1976.50E-02
110000.E-01  2069.29E-02  2073.45E-02
112000.E-01  1929.53E-02  1933.80E-02
114000.E-01  1932.79E-02  1937.17E-02
116000.E-01  2228.82E-02  2233.32E-02
118000.E-01  2276.77E-02  2281.45E-02
120000.E-01  2109.62E-02  2114.43E-02
122000.E-01  2314.51E-02  2319.49E-02
124000.E-01  2313.94E-02  2319.00E-02
126000.E-01  2503.57E-02  2508.81E-02
128000.E-01  2482.60E-02  2487.94E-02
130000.E-01  2488.88E-02  2494.35E-02
132000.E-01  2456.10E-02  2461.72E-02
134000.E-01  2515.27E-02  2521.04E-02
136000.E-01  2595.04E-02  2600.78E-02
138000.E-01  2492.45E-02  2498.36E-02
140000.E-01  2527.78E-02  2533.71E-02
142000.E-01  2409.43E-02  2415.29E-02
144000.E-01  2391.66E-02  2397.41E-02
146000.E-01  2305.39E-02  2310.97E-02
148000.E-01  2151.58E-02  2156.99E-02
150000.E-01  2030.06E-02  2035.24E-02
152000.E-01  1858.87E-02  1863.87E-02
154000.E-01  1627.55E-02  1632.09E-02
156000.E-01  1429.99E-02  1434.06E-02
158000.E-01  1258.27E-02  1261.86E-02
160000.E-01  1024.53E-02  1027.61E-02
162000.E-01  8387.33E-03  8412.91E-03
164000.E-01  7014.60E-03  7036.00E-03
166000.E-01  5452.18E-03  5469.70E-03
168000.E-01  3813.41E-03  3825.96E-03
170000.E-01  2883.90E-03  2893.51E-03
172000.E-01  1960.14E-03  1966.72E-03
174000.E-01  1215.57E-03  1219.78E-03
176000.E-01  6727.49E-04  6754.07E-04
178000.E-01  4149.41E-04  4165.24E-04
180000.E-01  1554.29E-04  1563.15E-04
182000.E-01  1020.39E-04  1023.99E-04
184000.E-01  4755.15E-05  4778.11E-05
186000.E-01  3709.89E-05  3724.90E-05
188000.E-01  1214.38E-05  1218.40E-05
190000.E-01  4235.76E-06  4264.74E-06
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
