====== Si (1464) into Layer 1                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Si   Energy = 1464 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 20000.E+00 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =013456.97
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200010.E-03  1495.79E-01  1728.43E-03
400010.E-03  1479.81E-01  2094.27E-03
600010.E-03  1459.03E-01  2217.66E-03
800010.E-03  1443.43E-01  1993.09E-03
100001.E-02  1421.00E-01  3895.56E-03
120001.E-02  1398.16E-01  3075.81E-03
140001.E-02  1372.16E-01  2778.69E-03
160001.E-02  1352.46E-01  3321.79E-03
180001.E-02  1334.72E-01  2495.20E-03
200001.E-02  1315.99E-01  3139.19E-03
220001.E-02  1294.59E-01  2971.98E-03
240001.E-02  1269.64E-01  2991.38E-03
260001.E-02  1249.90E-01  2385.99E-03
280001.E-02  1227.24E-01  3111.21E-03
300001.E-02  1202.41E-01  3799.26E-03
320001.E-02  1185.36E-01  3754.17E-03
340001.E-02  1164.22E-01  3932.33E-03
360001.E-02  1146.92E-01  3593.38E-03
380001.E-02  1121.29E-01  2936.19E-03
400001.E-02  1101.62E-01  3827.97E-03
420001.E-02  1071.83E-01  3548.17E-03
440001.E-02  1059.26E-01  3845.30E-03
460001.E-02  1036.84E-01  4442.82E-03
480001.E-02  1018.58E-01  4198.35E-03
500001.E-02  9961.13E-02  4101.90E-03
520001.E-02  9777.36E-02  3460.19E-03
540001.E-02  9584.49E-02  4110.68E-03
560001.E-02  9373.55E-02  4099.72E-03
580001.E-02  9204.40E-02  4624.66E-03
600001.E-02  9013.68E-02  3994.56E-03
620001.E-02  8786.79E-02  4580.94E-03
640001.E-02  8644.29E-02  4329.33E-03
660001.E-02  8416.34E-02  4323.05E-03
680001.E-02  8288.55E-02  4589.00E-03
700001.E-02  8069.06E-02  5087.73E-03
720001.E-02  7901.31E-02  4584.23E-03
740001.E-02  7748.34E-02  4524.80E-03
760001.E-02  7629.41E-02  5281.16E-03
780001.E-02  7401.29E-02  4899.93E-03
800001.E-02  7248.54E-02  4894.35E-03
820001.E-02  7143.96E-02  4700.20E-03
840001.E-02  6980.15E-02  5034.55E-03
860001.E-02  6800.11E-02  5079.34E-03
880001.E-02  6662.45E-02  5274.23E-03
900001.E-02  6501.48E-02  5022.04E-03
920001.E-02  6420.69E-02  6331.53E-03
940001.E-02  6254.87E-02  5050.23E-03
960001.E-02  6133.35E-02  5599.06E-03
980001.E-02  6021.19E-02  6301.75E-03
100000.E-01  5898.08E-02  6327.80E-03
102000.E-01  5746.98E-02  6146.12E-03
104000.E-01  5667.70E-02  6818.75E-03
106000.E-01  5534.68E-02  6831.63E-03
108000.E-01  5395.20E-02  7157.11E-03
110000.E-01  5322.21E-02  7830.09E-03
112000.E-01  5208.96E-02  6785.13E-03
114000.E-01  5067.00E-02  6783.52E-03
116000.E-01  4998.67E-02  7733.42E-03
118000.E-01  4868.06E-02  8211.14E-03
120000.E-01  4729.83E-02  7158.75E-03
122000.E-01  4642.49E-02  7930.69E-03
124000.E-01  4469.84E-02  7823.53E-03
126000.E-01  4344.02E-02  8577.28E-03
128000.E-01  4180.66E-02  8442.22E-03
130000.E-01  4038.45E-02  8207.38E-03
132000.E-01  3885.81E-02  7959.87E-03
134000.E-01  3682.53E-02  8119.61E-03
136000.E-01  3484.11E-02  8384.11E-03
138000.E-01  3256.38E-02  7920.10E-03
140000.E-01  3025.13E-02  7872.49E-03
142000.E-01  2796.98E-02  7512.21E-03
144000.E-01  2556.73E-02  7437.54E-03
146000.E-01  2298.26E-02  6978.28E-03
148000.E-01  2026.45E-02  6567.85E-03
150000.E-01  1767.53E-02  6051.90E-03
152000.E-01  1534.55E-02  5480.86E-03
154000.E-01  1281.33E-02  4682.00E-03
156000.E-01  1060.23E-02  4094.37E-03
158000.E-01  8523.33E-03  3558.24E-03
160000.E-01  6731.92E-03  2856.70E-03
162000.E-01  5229.23E-03  2345.85E-03
164000.E-01  3850.29E-03  1943.86E-03
166000.E-01  2815.22E-03  1500.43E-03
168000.E-01  1890.43E-03  1017.31E-03
170000.E-01  1271.21E-03  7670.83E-04
172000.E-01  7804.29E-04  5266.28E-04
174000.E-01  4744.89E-04  3279.56E-04
176000.E-01  2768.88E-04  1687.03E-04
178000.E-01  1431.12E-04  1063.54E-04
180000.E-01  6919.77E-05  3747.75E-05
182000.E-01  3554.09E-05  2544.55E-05
184000.E-01  1984.15E-05  1181.92E-05
186000.E-01  9766.66E-06  9344.61E-06
188000.E-01  3423.81E-06  3089.32E-06
190000.E-01  7416.34E-07  8538.11E-07
192000.E-01  0000.00E+00  0000.00E+00
194000.E-01  0000.00E+00  0000.00E+00
196000.E-01  0000.00E+00  0000.00E+00
198000.E-01  0000.00E+00  0000.00E+00
200000.E-01  0000.00E+00  0000.00E+00
