====== Si (1464) into Layer 1                   =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Si   Energy = 1464 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     2.E+04 AAA ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =13456.97
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
200010.E-03  740460.E-07  249762.E-05
400010.E-03  620952.E-07  326797.E-05
600010.E-03  633971.E-07  321130.E-05
800010.E-03  645435.E-07  318250.E-05
100001.E-02  642606.E-07  386890.E-05
120001.E-02  644227.E-07  342742.E-05
140001.E-02  656727.E-07  376195.E-05
160001.E-02  669140.E-07  378390.E-05
180001.E-02  663130.E-07  369383.E-05
200001.E-02  677933.E-07  399911.E-05
220001.E-02  682892.E-07  391877.E-05
240001.E-02  694421.E-07  383446.E-05
260001.E-02  691156.E-07  370051.E-05
280001.E-02  706752.E-07  410481.E-05
300001.E-02  710216.E-07  457748.E-05
320001.E-02  717247.E-07  465873.E-05
340001.E-02  734975.E-07  479322.E-05
360001.E-02  744809.E-07  444552.E-05
380001.E-02  755559.E-07  441467.E-05
400001.E-02  761273.E-07  488480.E-05
420001.E-02  763912.E-07  491789.E-05
440001.E-02  772709.E-07  506763.E-05
460001.E-02  781277.E-07  532772.E-05
480001.E-02  794890.E-07  530972.E-05
500001.E-02  799792.E-07  569369.E-05
520001.E-02  806193.E-07  532754.E-05
540001.E-02  814001.E-07  565887.E-05
560001.E-02  826672.E-07  560339.E-05
580001.E-02  844342.E-07  607480.E-05
600001.E-02  848167.E-07  583989.E-05
620001.E-02  856193.E-07  610474.E-05
640001.E-02  863441.E-07  626257.E-05
660001.E-02  889280.E-07  641780.E-05
680001.E-02  904463.E-07  624895.E-05
700001.E-02  912883.E-07  708483.E-05
720001.E-02  920791.E-07  695806.E-05
740001.E-02  933859.E-07  686726.E-05
760001.E-02  941962.E-07  751569.E-05
780001.E-02  960461.E-07  747720.E-05
800001.E-02  978341.E-07  747006.E-05
820001.E-02  981172.E-07  762778.E-05
840001.E-02  100400.E-06  785395.E-05
860001.E-02  100537.E-06  790977.E-05
880001.E-02  102327.E-06  819745.E-05
900001.E-02  104834.E-06  837454.E-05
920001.E-02  106495.E-06  940036.E-05
940001.E-02  106482.E-06  893229.E-05
960001.E-02  108666.E-06  944375.E-05
980001.E-02  110524.E-06  101548.E-04
100000.E-01  113010.E-06  104188.E-04
102000.E-01  113045.E-06  103666.E-04
104000.E-01  117129.E-06  109121.E-04
106000.E-01  119175.E-06  112452.E-04
108000.E-01  121879.E-06  120016.E-04
110000.E-01  125908.E-06  125002.E-04
112000.E-01  128927.E-06  119099.E-04
114000.E-01  131530.E-06  123078.E-04
116000.E-01  135030.E-06  134695.E-04
118000.E-01  137276.E-06  141391.E-04
120000.E-01  140586.E-06  134787.E-04
122000.E-01  144806.E-06  147124.E-04
124000.E-01  147072.E-06  145421.E-04
126000.E-01  151020.E-06  157105.E-04
128000.E-01  153980.E-06  159150.E-04
130000.E-01  155328.E-06  159748.E-04
132000.E-01  159424.E-06  159220.E-04
134000.E-01  162057.E-06  164871.E-04
136000.E-01  160053.E-06  167676.E-04
138000.E-01  163712.E-06  164873.E-04
140000.E-01  162899.E-06  166202.E-04
142000.E-01  160075.E-06  159483.E-04
144000.E-01  158695.E-06  159613.E-04
146000.E-01  153208.E-06  152973.E-04
148000.E-01  149035.E-06  146082.E-04
150000.E-01  140886.E-06  136626.E-04
152000.E-01  134868.E-06  127309.E-04
154000.E-01  123166.E-06  111864.E-04
156000.E-01  109965.E-06  990083.E-05
158000.E-01  971723.E-07  867149.E-05
160000.E-01  825498.E-07  711738.E-05
162000.E-01  693611.E-07  591026.E-05
164000.E-01  586384.E-07  492278.E-05
166000.E-01  479831.E-07  384459.E-05
168000.E-01  340845.E-07  270142.E-05
170000.E-01  257474.E-07  206577.E-05
172000.E-01  178105.E-07  139461.E-05
174000.E-01  109296.E-07  874781.E-06
176000.E-01  739566.E-08  484515.E-06
178000.E-01  445900.E-08  304991.E-06
180000.E-01  250210.E-08  120770.E-06
182000.E-01  994440.E-09  735640.E-07
184000.E-01  592399.E-09  355220.E-07
186000.E-01  443611.E-09  264831.E-07
188000.E-01  115427.E-09  918580.E-08
190000.E-01  859187.E-10  331591.E-08
192000.E-01  000000.E+00  000000.E+00
194000.E-01  000000.E+00  000000.E+00
196000.E-01  000000.E+00  000000.E+00
198000.E-01  000000.E+00  000000.E+00
200000.E-01  000000.E+00  000000.E+00
