====== He (8000) into Layer 1                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 6000 keV
============= TARGET MATERIAL ======================================
Layer 1 : Layer 1
Layer Width = 50000.E+01 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =016368.91
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500001.E-02  1266.16E-02  6462.42E-07
100000.E-01  1272.74E-02  1811.17E-06
150000.E-01  1281.63E-02  1317.99E-06
200000.E-01  1290.00E-02  3256.95E-06
250000.E-01  1297.36E-02  1786.04E-06
300000.E-01  1307.95E-02  1154.71E-06
350000.E-01  1317.95E-02  1666.50E-06
400000.E-01  1326.76E-02  4895.64E-06
450000.E-01  1337.28E-02  3081.74E-06
500000.E-01  1346.91E-02  1444.88E-06
550000.E-01  1357.80E-02  9944.88E-06
600000.E-01  1369.55E-02  6405.88E-06
650000.E-01  1379.37E-02  1948.25E-06
700000.E-01  1391.38E-02  1616.78E-06
750000.E-01  1401.49E-02  5886.66E-06
800000.E-01  1414.46E-02  4137.53E-06
850000.E-01  1425.94E-02  1727.42E-05
900000.E-01  1437.83E-02  1743.25E-06
950000.E-01  1452.18E-02  1674.86E-06
100000.E+00  1466.13E-02  1670.76E-06
105000.E+00  1479.90E-02  2820.48E-06
110000.E+00  1495.08E-02  1328.62E-06
115000.E+00  1508.93E-02  1363.27E-06
120000.E+00  1524.80E-02  2549.33E-06
125000.E+00  1538.35E-02  2559.43E-06
130000.E+00  1554.98E-02  1495.81E-06
135000.E+00  1574.44E-02  2015.78E-06
140000.E+00  1592.30E-02  2389.41E-06
145000.E+00  1609.26E-02  4384.16E-06
150000.E+00  1628.43E-02  3150.69E-06
155000.E+00  1650.67E-02  1187.94E-05
160000.E+00  1672.82E-02  2419.32E-06
165000.E+00  1692.85E-02  2058.58E-06
170000.E+00  1714.33E-02  1052.66E-05
175000.E+00  1739.89E-02  2054.55E-06
180000.E+00  1763.71E-02  4609.41E-06
185000.E+00  1790.37E-02  1630.11E-06
190000.E+00  1818.17E-02  2384.13E-06
195000.E+00  1847.32E-02  2100.72E-06
200000.E+00  1878.00E-02  8117.30E-06
205000.E+00  1913.36E-02  2994.15E-06
210000.E+00  1945.79E-02  1667.85E-05
215000.E+00  1982.76E-02  2582.01E-06
220000.E+00  2019.78E-02  2603.00E-06
225000.E+00  2062.46E-02  4235.43E-06
230000.E+00  2105.93E-02  4183.14E-06
235000.E+00  2154.28E-02  3025.92E-06
240000.E+00  2208.43E-02  2999.56E-06
245000.E+00  2263.98E-02  4701.07E-06
250000.E+00  2326.50E-02  3906.99E-06
255000.E+00  2392.54E-02  7975.58E-06
260000.E+00  2469.18E-02  8170.71E-06
265000.E+00  2549.44E-02  5077.20E-06
270000.E+00  2639.50E-02  1453.49E-05
275000.E+00  2735.96E-02  8140.33E-06
280000.E+00  2846.47E-02  6578.39E-06
285000.E+00  2966.46E-02  1094.62E-05
290000.E+00  3095.21E-02  1008.41E-05
295000.E+00  3224.06E-02  1084.51E-05
300000.E+00  3328.17E-02  1796.50E-05
305000.E+00  3323.72E-02  1959.44E-05
310000.E+00  3060.29E-02  3377.12E-05
315000.E+00  2340.88E-02  6303.99E-05
320000.E+00  1248.55E-02  1214.78E-04
325000.E+00  3079.46E-03  7804.70E-05
330000.E+00  1792.26E-04  7827.92E-06
335000.E+00  1393.45E-06  9667.92E-08
340000.E+00  0000.00E+00  0000.00E+00
345000.E+00  0000.00E+00  0000.00E+00
350000.E+00  0000.00E+00  0000.00E+00
355000.E+00  0000.00E+00  0000.00E+00
360000.E+00  0000.00E+00  0000.00E+00
365000.E+00  0000.00E+00  0000.00E+00
370000.E+00  0000.00E+00  0000.00E+00
375000.E+00  0000.00E+00  0000.00E+00
380000.E+00  0000.00E+00  0000.00E+00
385000.E+00  0000.00E+00  0000.00E+00
390000.E+00  0000.00E+00  0000.00E+00
395000.E+00  0000.00E+00  0000.00E+00
400000.E+00  0000.00E+00  0000.00E+00
405000.E+00  0000.00E+00  0000.00E+00
410000.E+00  0000.00E+00  0000.00E+00
415000.E+00  0000.00E+00  0000.00E+00
420000.E+00  0000.00E+00  0000.00E+00
425000.E+00  0000.00E+00  0000.00E+00
430000.E+00  0000.00E+00  0000.00E+00
435000.E+00  0000.00E+00  0000.00E+00
440000.E+00  0000.00E+00  0000.00E+00
445000.E+00  0000.00E+00  0000.00E+00
450000.E+00  0000.00E+00  0000.00E+00
455000.E+00  0000.00E+00  0000.00E+00
460000.E+00  0000.00E+00  0000.00E+00
465000.E+00  0000.00E+00  0000.00E+00
470000.E+00  0000.00E+00  0000.00E+00
475000.E+00  0000.00E+00  0000.00E+00
480000.E+00  0000.00E+00  0000.00E+00
485000.E+00  0000.00E+00  0000.00E+00
490000.E+00  0000.00E+00  0000.00E+00
495000.E+00  0000.00E+00  0000.00E+00
500000.E+00  0000.00E+00  0000.00E+00
