Incident energy 	 
Incident energy 	 
Incident energy 	 σ(E)
1843139.0 	 0.0
1843400.0 	 0.036156
1843410.0 	 0.03684732
1843900.0 	 0.070722
1844440.0 	 0.08073462
1845480.0 	 0.1000182
1846510.0 	 0.1191163
1847550.0 	 0.1383999
1848580.0 	 0.157498
1849620.0 	 0.1767816
1850660.0 	 0.1960651
1851700.0 	 0.2153487
1852740.0 	 0.2346323
1853780.0 	 0.2539158
1854820.0 	 0.2731994
1855860.0 	 0.2924829
1856900.0 	 0.3117665
1857700.0 	 0.3266
1857950.0 	 0.3239115
1858990.0 	 0.3127275
1860040.0 	 0.301436
1861080.0 	 0.290252
1862130.0 	 0.2789605
1862900.0 	 0.27068
1863530.0 	 0.2522396
1865280.0 	 0.2010163
1867300.0 	 0.14189
1868780.0 	 0.1372974
1870540.0 	 0.1318358
1874060.0 	 0.1209128
1875820.0 	 0.1154513
1877590.0 	 0.1099587
1879360.0 	 0.1044662
1881130.0 	 0.09897364
1882910.0 	 0.09345006
1884680.0 	 0.08795751
1886460.0 	 0.08243393
1888240.0 	 0.07691035
1890030.0 	 0.07135573
1891820.0 	 0.06580112
1893610.0 	 0.06024651
1897190.0 	 0.04913729
1897600.0 	 0.047865
1898990.0 	 0.05467573
1900790.0 	 0.06349539
1902800.0 	 0.073344
1903310.0 	 0.08017509
1904400.0 	 0.09477486
1905480.0 	 0.1092407
1906560.0 	 0.1237065
1907650.0 	 0.1383063
1908740.0 	 0.1529061
1909830.0 	 0.1675058
1910910.0 	 0.1819717
1912000.0 	 0.1965714
1913090.0 	 0.2111712
1914370.0 	 0.2283159
1915830.0 	 0.2478715
1917280.0 	 0.2672933
1918740.0 	 0.2868489
1920210.0 	 0.3065385
1921000.0 	 0.31712
1921670.0 	 0.3134812
1923140.0 	 0.3054977
1924600.0 	 0.2975685
1925700.0 	 0.2915944
1926440.0 	 0.2875755
1927170.0 	 0.2836109
1927910.0 	 0.279592
1928650.0 	 0.2755731
1929380.0 	 0.2716084
1930120.0 	 0.2675895
1930860.0 	 0.2635706
1931590.0 	 0.259606
1932330.0 	 0.2555871
1933070.0 	 0.2515682
1935100.0 	 0.2405433
1936960.0 	 0.2304417
1938810.0 	 0.2203944
1942530.0 	 0.2001911
1943600.0 	 0.19438
1944390.0 	 0.1942181
1946250.0 	 0.193837
1948120.0 	 0.1934539
1949990.0 	 0.1930707
1951860.0 	 0.1926876
1953740.0 	 0.1923024
1955620.0 	 0.1919172
1959380.0 	 0.1911468
1961080.0 	 0.1907984
1962590.0 	 0.190489
1964100.0 	 0.1901797
1965620.0 	 0.1898682
1967130.0 	 0.1895588
1968650.0 	 0.1892474
