#energy_MeV	flux_density_au
0.200000    0.298695
0.312500	0.773874
0.437500	0.816283
0.562500	0.866216
0.687500	0.860455
0.812500	0.855405
0.937500	0.816343
1.062500	0.746980
1.187500	0.695946
1.312500	0.672918
1.437500	0.644595
1.562500	0.616428
1.687500	0.585514
1.812500	0.568666
1.937500	0.573735
2.062500	0.598649
2.187500	0.616508
2.312500	0.642042
2.437500	0.647297
2.562500	0.647297
2.687500	0.647297
2.812500	0.660811
2.937500	0.674324
3.062500	0.733661
3.187500	0.787838
3.312500	0.867386
3.437500	0.956657
3.562500	0.971622
3.687500	0.932613
3.812500	0.868673
3.937500	0.841892
4.062500	0.841892
4.187500	0.795946
4.312500	0.776705
4.437500	0.760811
4.562500	0.782077
4.687500	0.808578
4.812500	0.823552
4.937500	0.837259
5.062500	0.841892
5.187500	0.848967
5.312500	0.863707
5.437500	0.836486
5.562500	0.806439
5.687500	0.744595
5.812500	0.692568
5.937500	0.684865
6.062500	0.653153
6.187500	0.593295
6.312500	0.560811
6.437500	0.563514
6.562500	0.566216
6.687500	0.586880
6.812500	0.599140
6.937500	0.588091
7.062500	0.562227
7.187500	0.536486
7.312500	0.533704
7.437500	0.531081
7.562500	0.541622
7.687500	0.555659
7.812500	0.571622
7.937500	0.576814
8.062500	0.582973
8.187500	0.562349
8.312500	0.523986
8.437500	0.482432
8.562500	0.460811
8.687500	0.395946
8.812500	0.347297
8.937500	0.322973
9.062500	0.301689
9.187500	0.276536
9.312500	0.265946
9.437500	0.270270
9.562500	0.274662
9.687500	0.291892
9.812500	0.306178
9.937500	0.320270
10.062500	0.318108
10.187500	0.309459
10.312500	0.300000
10.437500	0.279730
10.562500	0.276312
10.687500	0.267661
10.812500	0.254054
10.937500	0.239892
