Cluster multiplicity counts for ANGLE

ANGLE: 30
multiplicity	count
1	164646
2	2439
3	2254
4	817
5	596
6	292
7	172
8	115
9	109
10	99
11	84
12	96
13	84
14	74
15	65
16	43
17	42
18	46
19	37
20	40
21	25
22	30
23	20
24	23
25	25
26	22
27	16
28	20
29	21
30	16
31	17
32	21
33	23
34	14
35	23
36	19
37	26
38	31
39	37
40	33
41	43
42	67
43	89
44	110
45	117
46	139
47	168
48	206
49	206
50	271
51	304
52	398
53	499
54	615
55	703
56	858
57	1085
58	1442
59	1516
60	1568
61	1592
62	1465
63	1153
64	858
65	546
66	278
67	151
68	68
69	51
70	29
71	16
72	15
73	3
74	7
75	5
76	4
77	5
78	4
79	3
80	0
81	2
82	4
83	5
84	4
85	2
86	2
87	3
88	4
89	2
90	4
91	1
92	3
93	0
94	2
95	1
96	5
97	1
98	5
99	2
100	0
101	1
102	2
103	1
104	0
105	0
106	0
107	1
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	1
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	1
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	1
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	1
164	0
165	1

