ts_ext,pixels,multiplicity,vertical_dimension,horizontal_dimension,ratio_x_y,ratio_x_y_bin,density
8045762,"[(306, 98)]",1,1,1,1.0,1.0,1.0
8684947,"[(306, 98)]",1,1,1,1.0,1.0,1.0
11130939,"[(306, 98)]",1,1,1,1.0,1.0,1.0
11429350,"[(306, 98)]",1,1,1,1.0,1.0,1.0
12871466,"[(306, 98)]",1,1,1,1.0,1.0,1.0
15268784,"[(306, 98)]",1,1,1,1.0,1.0,1.0
15542570,"[(306, 98)]",1,1,1,1.0,1.0,1.0
16217051,"[(306, 98)]",1,1,1,1.0,1.0,1.0
16695603,"[(306, 98)]",1,1,1,1.0,1.0,1.0
18073220,"[(306, 98)]",1,1,1,1.0,1.0,1.0
18115845,"[(306, 98)]",1,1,1,1.0,1.0,1.0
18884450,"[(306, 98)]",1,1,1,1.0,1.0,1.0
19381793,"[(306, 98)]",1,1,1,1.0,1.0,1.0
21297130,"[(306, 98)]",1,1,1,1.0,1.0,1.0
22896586,"[(306, 98)]",1,1,1,1.0,1.0,1.0
22912519,"[(306, 98)]",1,1,1,1.0,1.0,1.0
23401417,"[(306, 98)]",1,1,1,1.0,1.0,1.0
24543996,"[(306, 98)]",1,1,1,1.0,1.0,1.0
24807661,"[(306, 98)]",1,1,1,1.0,1.0,1.0
24988777,"[(281, 210)]",1,1,1,1.0,1.0,1.0
25009397,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25009456,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25026174,"[(318, 422)]",1,1,1,1.0,1.0,1.0
25038295,"[(105, 352)]",1,1,1,1.0,1.0,1.0
25054701,"[(99, 391), (99, 392)]",2,1,2,2.0,2.0,1.0
25059113,"[(386, 181)]",1,1,1,1.0,1.0,1.0
25180426,"[(11, 95)]",1,1,1,1.0,1.0,1.0
25188497,"[(29, 232)]",1,1,1,1.0,1.0,1.0
25192720,"[(186, 275)]",1,1,1,1.0,1.0,1.0
25192887,"[(333, 460)]",1,1,1,1.0,1.0,1.0
25200961,"[(197, 311)]",1,1,1,1.0,1.0,1.0
25201226,"[(192, 367)]",1,1,1,1.0,1.0,1.0
25205245,"[(125, 115)]",1,1,1,1.0,1.0,1.0
25217309,"[(288, 263)]",1,1,1,1.0,1.0,1.0
25225704,"[(332, 250)]",1,1,1,1.0,1.0,1.0
25226006,"[(1, 336)]",1,1,1,1.0,1.0,1.0
25230131,"[(336, 128)]",1,1,1,1.0,1.0,1.0
25238019,"[(202, 374)]",1,1,1,1.0,1.0,1.0
25238241,"[(325, 395)]",1,1,1,1.0,1.0,1.0
25238255,"[(275, 310)]",1,1,1,1.0,1.0,1.0
25238305,"[(275, 310)]",1,1,1,1.0,1.0,1.0
25246565,"[(360, 310)]",1,1,1,1.0,1.0,1.0
25250367,"[(10, 132)]",1,1,1,1.0,1.0,1.0
25380105,"[(341, 180)]",1,1,1,1.0,1.0,1.0
25380180,"[(341, 180)]",1,1,1,1.0,1.0,1.0
25397129,"[(103, 15)]",1,1,1,1.0,1.0,1.0
25400758,"[(109, 315)]",1,1,1,1.0,1.0,1.0
25400804,"[(109, 315)]",1,1,1,1.0,1.0,1.0
25404980,"[(105, 220)]",1,1,1,1.0,1.0,1.0
25409069,"[(234, 190), (234, 189), (234, 190)]",3,1,2,2.0,2.0,1.0
25413326,"[(123, 300)]",1,1,1,1.0,1.0,1.0
25417014,"[(138, 230)]",1,1,1,1.0,1.0,1.0
25417546,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25417598,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25421195,"[(364, 388)]",1,1,1,1.0,1.0,1.0
25429680,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25429729,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25559426,"[(314, 395), (314, 395), (314, 396)]",3,1,2,2.0,2.0,1.0
25575832,"[(390, 332)]",1,1,1,1.0,1.0,1.0
25588412,"[(40, 184), (40, 183)]",2,1,2,2.0,2.0,1.0
25588515,"[(139, 154)]",1,1,1,1.0,1.0,1.0
25600485,"[(255, 249)]",1,1,1,1.0,1.0,1.0
25600626,"[(306, 302)]",1,1,1,1.0,1.0,1.0
25604766,"[(123, 168)]",1,1,1,1.0,1.0,1.0
25613023,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25613024,"[(263, 337)]",1,1,1,1.0,1.0,1.0
25613073,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25613081,"[(190, 178)]",1,1,1,1.0,1.0,1.0
25613388,"[(207, 153)]",1,1,1,1.0,1.0,1.0
25621169,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25621209,"[(109, 329)]",1,1,1,1.0,1.0,1.0
25624780,"[(284, 22)]",1,1,1,1.0,1.0,1.0
25641424,"[(279, 39)]",1,1,1,1.0,1.0,1.0
25641479,"[(66, 91)]",1,1,1,1.0,1.0,1.0
25641543,"[(97, 106)]",1,1,1,1.0,1.0,1.0
25645808,"[(269, 428)]",1,1,1,1.0,1.0,1.0
25645870,"[(269, 428)]",1,1,1,1.0,1.0,1.0
25755345,"[(306, 98)]",1,1,1,1.0,1.0,1.0
25767483,"[(15, 465)]",1,1,1,1.0,1.0,1.0
25804554,"[(144, 235)]",1,1,1,1.0,1.0,1.0
25805127,"[(84, 86)]",1,1,1,1.0,1.0,1.0
25808463,"[(35, 196)]",1,1,1,1.0,1.0,1.0
25808598,"[(275, 254)]",1,1,1,1.0,1.0,1.0
25808675,"[(275, 254)]",1,1,1,1.0,1.0,1.0
25808701,"[(367, 183)]",1,1,1,1.0,1.0,1.0
25813119,"[(7, 105)]",1,1,1,1.0,1.0,1.0
25817191,"[(299, 231)]",1,1,1,1.0,1.0,1.0
25817297,"[(371, 388)]",1,1,1,1.0,1.0,1.0
25820846,"[(148, 396)]",1,1,1,1.0,1.0,1.0
25832949,"[(196, 9)]",1,1,1,1.0,1.0,1.0
25841871,"[(358, 188)]",1,1,1,1.0,1.0,1.0
25950721,"[(417, 384)]",1,1,1,1.0,1.0,1.0
25967444,"[(182, 454)]",1,1,1,1.0,1.0,1.0
25973483,"[(306, 98)]",1,1,1,1.0,1.0,1.0
25975739,"[(305, 411)]",1,1,1,1.0,1.0,1.0
25979745,"[(192, 98)]",1,1,1,1.0,1.0,1.0
25980122,"[(192, 67)]",1,1,1,1.0,1.0,1.0
25983548,"[(343, 198)]",1,1,1,1.0,1.0,1.0
25987829,"[(44, 186), (44, 185), (44, 186)]",3,1,2,2.0,2.0,1.0
25991766,"[(304, 218)]",1,1,1,1.0,1.0,1.0
25992380,"[(72, 405)]",1,1,1,1.0,1.0,1.0
25995970,"[(95, 369)]",1,1,1,1.0,1.0,1.0
25996750,"[(334, 68)]",1,1,1,1.0,1.0,1.0
26008272,"[(178, 179)]",1,1,1,1.0,1.0,1.0
26012736,"[(210, 232)]",1,1,1,1.0,1.0,1.0
26016619,"[(193, 132)]",1,1,1,1.0,1.0,1.0
26020730,"[(245, 392)]",1,1,1,1.0,1.0,1.0
26020789,"[(245, 392)]",1,1,1,1.0,1.0,1.0
26041331,"[(12, 126)]",1,1,1,1.0,1.0,1.0
26049484,"[(146, 121)]",1,1,1,1.0,1.0,1.0
26049757,"[(101, 118), (101, 117), (101, 118)]",3,1,2,2.0,2.0,1.0
26155003,"[(219, 7)]",1,1,1,1.0,1.0,1.0
26155022,"[(167, 79)]",1,1,1,1.0,1.0,1.0
26162886,"[(411, 232)]",1,1,1,1.0,1.0,1.0
26167157,"[(243, 437)]",1,1,1,1.0,1.0,1.0
26179487,"[(321, 178)]",1,1,1,1.0,1.0,1.0
26187776,"[(184, 259)]",1,1,1,1.0,1.0,1.0
26196238,"[(83, 144)]",1,1,1,1.0,1.0,1.0
26196309,"[(83, 144)]",1,1,1,1.0,1.0,1.0
26199917,"[(66, 216)]",1,1,1,1.0,1.0,1.0
26199957,"[(66, 215)]",1,1,1,1.0,1.0,1.0
26203931,"[(221, 477)]",1,1,1,1.0,1.0,1.0
26212317,"[(153, 311)]",1,1,1,1.0,1.0,1.0
26220428,"[(165, 416)]",1,1,1,1.0,1.0,1.0
26224676,"[(240, 29)]",1,1,1,1.0,1.0,1.0
26237381,"[(27, 461)]",1,1,1,1.0,1.0,1.0
26354513,"[(77, 116)]",1,1,1,1.0,1.0,1.0
26354935,"[(12, 4)]",1,1,1,1.0,1.0,1.0
26379438,"[(232, 184)]",1,1,1,1.0,1.0,1.0
26379696,"[(351, 150)]",1,1,1,1.0,1.0,1.0
26383616,"[(109, 329)]",1,1,1,1.0,1.0,1.0
26383660,"[(109, 329)]",1,1,1,1.0,1.0,1.0
26395717,"[(141, 251), (141, 252)]",2,1,2,2.0,2.0,1.0
26395759,"[(141, 252), (141, 251)]",2,1,2,2.0,2.0,1.0
26396122,"[(317, 220)]",1,1,1,1.0,1.0,1.0
26412386,"[(171, 274)]",1,1,1,1.0,1.0,1.0
26416423,"[(133, 123)]",1,1,1,1.0,1.0,1.0
26420800,"[(380, 305)]",1,1,1,1.0,1.0,1.0
26424248,"[(241, 34)]",1,1,1,1.0,1.0,1.0
26424773,"[(136, 237)]",1,1,1,1.0,1.0,1.0
26432885,"[(53, 135)]",1,1,1,1.0,1.0,1.0
26538110,"[(378, 62)]",1,1,1,1.0,1.0,1.0
26538309,"[(207, 12)]",1,1,1,1.0,1.0,1.0
26567057,"[(159, 413)]",1,1,1,1.0,1.0,1.0
26583231,"[(85, 306)]",1,1,1,1.0,1.0,1.0
26583572,"[(263, 412)]",1,1,1,1.0,1.0,1.0
26599753,"[(253, 230)]",1,1,1,1.0,1.0,1.0
26599761,"[(159, 210), (159, 209)]",2,1,2,2.0,2.0,1.0
26604082,"[(124, 241)]",1,1,1,1.0,1.0,1.0
26608338,"[(349, 371)]",1,1,1,1.0,1.0,1.0
26612471,"[(84, 229)]",1,1,1,1.0,1.0,1.0
26616079,"[(339, 116)]",1,1,1,1.0,1.0,1.0
26749955,"[(386, 458)]",1,1,1,1.0,1.0,1.0
26762485,"[(268, 145), (267, 145)]",2,2,1,0.5,0.5,1.0
26786991,"[(105, 297)]",1,1,1,1.0,1.0,1.0
26790770,"[(363, 89)]",1,1,1,1.0,1.0,1.0
26799310,"[(308, 149)]",1,1,1,1.0,1.0,1.0
26799388,"[(230, 117)]",1,1,1,1.0,1.0,1.0
26799839,"[(109, 329)]",1,1,1,1.0,1.0,1.0
26799892,"[(109, 329)]",1,1,1,1.0,1.0,1.0
26815780,"[(244, 104)]",1,1,1,1.0,1.0,1.0
26815945,"[(11, 167)]",1,1,1,1.0,1.0,1.0
26820040,"[(218, 435)]",1,1,1,1.0,1.0,1.0
26824521,"[(44, 125)]",1,1,1,1.0,1.0,1.0
26950189,"[(52, 461)]",1,1,1,1.0,1.0,1.0
26954093,"[(324, 124)]",1,1,1,1.0,1.0,1.0
26962282,"[(214, 131)]",1,1,1,1.0,1.0,1.0
26970933,"[(90, 67)]",1,1,1,1.0,1.0,1.0
26982404,"[(131, 118)]",1,1,1,1.0,1.0,1.0
26982613,"[(167, 181)]",1,1,1,1.0,1.0,1.0
26982908,"[(96, 254)]",1,1,1,1.0,1.0,1.0
26986052,"[(306, 98)]",1,1,1,1.0,1.0,1.0
26986500,"[(411, 451), (411, 452)]",2,1,2,2.0,2.0,1.0
26986667,"[(109, 329)]",1,1,1,1.0,1.0,1.0
26986744,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27011884,"[(47, 388), (47, 387)]",2,1,2,2.0,2.0,1.0
27141588,"[(290, 465)]",1,1,1,1.0,1.0,1.0
27158101,"[(174, 303)]",1,1,1,1.0,1.0,1.0
27182222,"[(313, 86)]",1,1,1,1.0,1.0,1.0
27198979,"[(109, 108)]",1,1,1,1.0,1.0,1.0
27198988,"[(73, 144)]",1,1,1,1.0,1.0,1.0
27203270,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27203314,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27207537,"[(121, 160)]",1,1,1,1.0,1.0,1.0
27211832,"[(286, 307)]",1,1,1,1.0,1.0,1.0
27219800,"[(414, 438)]",1,1,1,1.0,1.0,1.0
27366112,"[(187, 285)]",1,1,1,1.0,1.0,1.0
27374380,"[(351, 307)]",1,1,1,1.0,1.0,1.0
27386553,"[(287, 324)]",1,1,1,1.0,1.0,1.0
27386556,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27386602,"[(109, 329)]",1,1,1,1.0,1.0,1.0
27398606,"[(36, 104)]",1,1,1,1.0,1.0,1.0
27398848,"[(157, 49)]",1,1,1,1.0,1.0,1.0
27411400,"[(64, 388)]",1,1,1,1.0,1.0,1.0
27411554,"[(7, 415), (7, 416), (7, 415)]",3,1,2,2.0,2.0,1.0
27418560,"[(306, 98)]",1,1,1,1.0,1.0,1.0
27528921,"[(79, 89)]",1,1,1,1.0,1.0,1.0
27529177,"[(157, 98)]",1,1,1,1.0,1.0,1.0
27549358,"[(358, 305)]",1,1,1,1.0,1.0,1.0
27553779,"[(307, 169)]",1,1,1,1.0,1.0,1.0
