,ts_ext,row,col
0,8004901,360,100
1,8004901,361,100
2,8004901,361,101
3,8004901,362,100
4,8004901,363,100
5,8004901,363,101
6,8004902,356,100
7,8004902,356,101
8,8004902,357,100
9,8004902,357,101
10,8004902,358,100
11,8004902,359,100
12,8004903,360,98
13,8004903,360,99
14,8004903,361,99
15,8004904,356,99
16,8004904,357,99
17,8004904,358,98
18,8004904,359,98
19,8004904,359,99
20,8004905,360,102
21,8004905,360,103
22,8004905,361,102
23,8004905,361,103
24,8004905,362,102
25,8004905,362,103
26,8004905,363,102
27,8004905,363,103
28,8004906,356,102
29,8004906,356,103
30,8004906,357,102
31,8004906,357,103
32,8004906,358,102
33,8004906,358,103
34,8004906,359,103
35,8004907,355,102
36,8004908,360,104
37,8004908,360,105
38,8004908,361,104
39,8004908,361,105
40,8004908,362,104
41,8004909,356,104
42,8004909,357,104
43,8004909,358,104
44,8004909,358,105
45,8004909,359,104
46,8004909,359,105
47,8004910,360,101
48,8004911,358,101
49,8004915,357,98
50,8004929,359,102
51,8004930,359,101
52,8158870,139,470
53,8158881,140,471
54,8158889,140,467
55,8158896,139,468
56,8188104,49,120
57,8188104,50,120
58,8188105,52,116
59,8188105,52,117
60,8188105,53,116
61,8188105,53,117
62,8188106,48,116
63,8188106,48,117
64,8188106,49,116
65,8188106,49,117
66,8188106,50,116
67,8188106,50,117
68,8188106,51,116
69,8188106,51,117
70,8188107,52,115
71,8188107,53,114
72,8188107,53,115
73,8188108,52,113
74,8188109,48,113
75,8188109,49,113
76,8188109,50,112
77,8188109,50,113
78,8188110,48,114
79,8188110,48,115
80,8188110,49,115
81,8188110,50,114
82,8188110,50,115
83,8188110,51,115
84,8188111,46,114
85,8188111,46,115
86,8188111,47,114
87,8188111,47,115
88,8188112,46,116
89,8188112,46,117
90,8188112,47,116
91,8188112,47,117
92,8188113,52,118
93,8188113,52,119
94,8188113,53,118
95,8188114,48,118
96,8188114,49,118
97,8188114,49,119
98,8188114,50,119
99,8188114,51,118
100,8188114,51,119
101,8188115,48,119
102,8188116,46,118
103,8188116,47,118
104,8188116,47,119
105,8188117,48,120
106,8188119,49,114
107,8188144,53,114
108,8188149,51,118
109,8188162,53,118
110,8188171,53,116
111,8188172,51,116
112,8342433,164,277
113,8342433,165,277
114,8342433,166,277
115,8342434,161,277
116,8342434,162,276
117,8342434,163,276
118,8342434,163,277
119,8342435,164,278
120,8342435,164,279
121,8342435,165,278
122,8342435,166,279
123,8342435,167,279
124,8342436,160,278
125,8342436,161,278
126,8342436,161,279
127,8342436,162,279
128,8342436,163,278
129,8342437,164,280
130,8342437,164,281
131,8342437,166,280
132,8342437,166,281
133,8342437,167,280
134,8342437,167,281
135,8342438,161,280
136,8342438,161,281
137,8342438,162,280
138,8342438,162,281
139,8342438,163,281
140,8342439,159,280
141,8342440,164,282
142,8342440,164,283
143,8342440,165,282
144,8342440,165,283
145,8342440,166,282
146,8342441,161,283
147,8342441,162,282
148,8342441,162,283
149,8342441,163,282
150,8342441,163,283
151,8342442,163,284
152,8342447,163,280
153,8342448,163,279
154,8342486,161,280
155,8530055,285,396
156,8530055,286,396
157,8530057,288,389
158,8530058,284,388
159,8530058,285,389
160,8530058,286,388
161,8530058,286,389
162,8530058,287,389
163,8530059,283,389
164,8530060,288,390
165,8530060,288,391
166,8530061,284,390
167,8530061,285,390
168,8530061,286,390
169,8530061,286,391
170,8530061,287,391
171,8530062,282,390
172,8530062,283,390
173,8530063,288,393
174,8530063,289,392
175,8530063,289,393
176,8530064,284,392
177,8530064,285,393
178,8530064,286,392
179,8530064,286,393
180,8530064,287,392
181,8530064,287,393
182,8530065,285,392
183,8530066,282,393
184,8530067,288,394
185,8530067,288,395
186,8530068,284,395
187,8530068,285,395
188,8530068,286,394
189,8530068,286,395
190,8530068,287,394
191,8530068,287,395
192,8530069,282,394
193,8530070,284,389
194,8530071,284,391
195,8534378,168,45
196,8534378,169,44
197,8534378,169,45
198,8534379,168,44
199,8534380,164,44
200,8534380,164,45
201,8534380,165,45
202,8534380,166,44
203,8534380,167,44
204,8534380,167,45
205,8534381,161,45
206,8534381,162,44
207,8534381,162,45
208,8534381,163,44
209,8534383,164,41
210,8534383,166,41
211,8534383,167,41
212,8534384,163,41
213,8534385,168,43
214,8534386,168,42
215,8534387,164,42
216,8534387,164,43
217,8534387,165,43
218,8534387,166,42
219,8534387,166,43
220,8534387,167,42
221,8534387,167,43
222,8534388,163,42
223,8534388,163,43
224,8534389,168,46
225,8534389,168,47
226,8534389,169,46
227,8534390,164,46
228,8534390,164,47
229,8534390,165,47
230,8534390,166,46
231,8534390,166,47
232,8534390,167,46
233,8534390,167,47
234,8534391,162,46
235,8534391,162,47
236,8534391,163,46
237,8534391,163,47
238,8534392,165,48
239,8534392,166,48
240,8534392,167,48
241,8534393,165,44
242,8534393,166,45
243,8534410,165,46
244,8534413,165,45
245,8579135,116,22
246,8579135,116,23
247,8579135,117,22
248,8579135,117,23
249,8579135,118,22
250,8579135,118,23
251,8579135,119,22
252,8579136,112,22
253,8579136,113,22
254,8579136,113,23
255,8579136,114,22
256,8579136,114,23
257,8579136,115,22
258,8579137,111,22
259,8579138,116,24
260,8579138,117,24
261,8579138,118,24
262,8579138,118,25
263,8579138,119,24
264,8579139,112,24
265,8579139,112,25
266,8579139,113,25
267,8579139,114,24
268,8579139,114,25
269,8579139,115,25
270,8579140,117,20
271,8579140,117,21
272,8579140,118,20
273,8579140,118,21
274,8579141,112,20
275,8579141,112,21
276,8579141,113,20
277,8579141,113,21
278,8579141,114,20
279,8579141,114,21
280,8579141,115,20
281,8579141,115,21
282,8579142,111,21
283,8579143,116,19
284,8579143,117,19
285,8579144,115,19
286,8579145,111,24
287,8579146,116,26
288,8579146,117,26
289,8579147,114,26
290,8579147,115,26
291,8579148,119,23
292,8579149,112,23
293,8579149,115,23
294,8579150,116,25
295,8579151,115,24
296,8579173,117,20
297,8579183,115,26
298,8579187,115,20
299,8579197,117,22
300,8579198,115,22
301,8579201,117,24
302,8579206,117,26
303,8579221,115,24
304,8729632,8,64
305,8729632,8,65
306,8729633,5,65
307,8729633,6,64
308,8729633,6,65
309,8729633,7,65
310,8729634,7,64
311,8729635,1,64
312,8729635,1,65
313,8729635,2,64
314,8729636,4,65
315,8729637,4,62
316,8729637,4,63
317,8729637,5,62
318,8729637,6,62
319,8729637,2,65
320,8729638,1,63
321,8729638,2,63
322,8729638,3,62
323,8729638,3,63
324,8729638,4,67
325,8729638,5,67
326,8729638,6,66
327,8729638,6,67
328,8729638,7,66
329,8729639,6,63
330,8729639,1,66
331,8729639,2,66
332,8729639,2,67
333,8729639,3,66
334,8729639,3,67
335,8729640,4,68
336,8729640,5,68
337,8729641,3,68
338,8729643,4,64
339,8729644,3,65
340,8729646,6,61
341,8729647,4,66
342,8729647,5,66
343,8729666,2,63
344,8900678,148,222
345,8900678,148,223
346,8900678,149,222
347,8900678,149,223
348,8900678,150,223
349,8900679,150,222
350,8900680,144,222
351,8900680,145,222
352,8900680,145,223
353,8900680,146,222
354,8900680,147,222
355,8900680,147,223
356,8900681,144,223
357,8900681,145,226
358,8900681,146,226
359,8900681,147,226
360,8900682,142,223
361,8900682,143,222
362,8900682,143,223
363,8900683,148,220
364,8900683,148,221
365,8900684,145,219
366,8900684,147,219
367,8900685,144,220
368,8900685,144,221
369,8900685,145,220
370,8900685,145,221
371,8900685,146,220
372,8900685,146,221
373,8900685,147,220
374,8900685,147,221
375,8900686,143,221
376,8900690,143,220
377,8900695,148,219
378,8900696,146,223
379,8900716,147,220
380,8900719,147,226
381,8900729,149,222
382,8900730,147,222
383,8909064,104,72
384,8909064,104,73
385,8909064,105,73
386,8909064,106,72
387,8909065,101,72
388,8909065,101,73
389,8909065,102,73
390,8909065,103,72
391,8909065,103,73
392,8909066,105,67
393,8909066,106,67
394,8909067,101,67
395,8909067,102,66
396,8909067,102,67
397,8909067,103,66
398,8909067,103,67
399,8909068,104,68
400,8909068,104,69
401,8909068,105,68
402,8909068,105,69
403,8909068,107,68
404,8909068,107,69
405,8909069,100,68
406,8909069,101,68
407,8909069,101,69
408,8909069,102,68
409,8909069,102,69
410,8909069,103,68
411,8909070,106,69
412,8909071,104,71
413,8909071,105,70
414,8909071,105,71
415,8909071,106,70
416,8909071,107,71
417,8909072,100,70
418,8909072,101,70
419,8909072,101,71
420,8909072,102,70
421,8909072,103,71
422,8909073,100,72
423,8909073,102,72
424,8909076,106,71
425,8909077,102,71
426,8909077,103,70
427,8909080,103,69
428,8909110,104,73
429,8929612,270,352
430,8929612,270,353
431,8929612,271,352
432,8929613,272,350
433,8929613,272,351
434,8929613,273,350
435,8929613,267,353
436,8929614,268,350
437,8929614,268,351
438,8929614,269,350
439,8929614,269,351
440,8929614,270,350
441,8929614,270,351
442,8929614,271,350
443,8929614,271,351
444,8929615,265,350
445,8929615,267,350
446,8929615,267,351
447,8929616,266,351
448,8929617,268,347
449,8929617,269,347
450,8929617,270,346
451,8929617,270,347
452,8929617,271,347
453,8929618,266,347
454,8929618,267,347
455,8929619,268,346
456,8929620,269,348
457,8929620,270,348
458,8929620,270,349
459,8929620,271,348
460,8929620,271,349
461,8929621,265,348
462,8929621,265,349
463,8929621,266,348
464,8929621,266,349
465,8929621,267,348
466,8929621,267,349
467,8929622,272,348
468,8929623,268,349
469,8929624,266,353
470,8929651,269,348
471,8929668,269,351
472,8929684,269,350
473,8933619,4,335
474,8933619,5,335
475,8933619,7,334
476,8933620,0,334
477,8933620,1,335
478,8933620,2,335
479,8933625,4,332
480,8933625,5,332
481,8933625,6,332
482,8933625,6,333
483,8933625,7,332
484,8933625,7,333
485,8933626,1,332
486,8933627,3,333
487,8933628,4,337
488,8933628,5,336
489,8933628,5,337
490,8933628,6,336
491,8933628,7,336
492,8933628,7,337
493,8933629,1,337
494,8933629,2,336
495,8933629,3,337
496,8933630,5,338
497,8933631,8,334
498,8933632,5,334
499,8933632,6,334
500,8933632,6,335
501,8933633,3,334
502,8933634,4,330
503,8933634,4,331
504,8933634,5,330
505,8933634,6,331
506,8933635,2,330
507,8933636,4,334
508,8933637,4,333
509,8933638,0,333
510,8933639,4,336
511,8933640,2,337
512,8933641,3,335
513,8962509,100,84
514,8962509,100,85
515,8962510,96,84
516,8962510,96,85
517,8962510,97,84
518,8962510,97,85
519,8962510,98,84
520,8962510,98,85
521,8962510,99,84
522,8962511,95,85
523,8962512,96,83
524,8962512,97,83
525,8962512,98,83
526,8962513,100,86
527,8962513,100,87
528,8962513,101,86
529,8962514,96,86
530,8962514,96,87
531,8962514,98,87
532,8962514,99,86
533,8962514,99,87
534,8962515,93,87
535,8962515,94,86
536,8962515,94,87
537,8962515,95,87
538,8962516,100,88
539,8962516,100,89
540,8962516,101,88
541,8962517,96,89
542,8962517,97,89
543,8962517,98,88
544,8962517,98,89
545,8962517,99,88
546,8962517,99,89
547,8962518,93,88
548,8962518,94,88
549,8962518,94,89
550,8962518,95,88
551,8962518,95,89
552,8962519,96,90
553,8962519,97,90
554,8962519,97,91
555,8962519,98,90
556,8962519,98,91
557,8962519,99,90
