Freq.	V(n018)*10
1.00000000000000e+02	(-4.41137553376753e+01dB,8.92399296756965e+01°)
1.00695555005672e+02	(-4.40535545882581e+01dB,8.92346431073076e+01°)
1.01395947979003e+02	(-4.39933539121234e+01dB,8.92293197708444e+01°)
1.02101212570719e+02	(-4.39331533102939e+01dB,8.92239594106261e+01°)
1.02811382665607e+02	(-4.38729527838070e+01dB,8.92185617691947e+01°)
1.03526492384138e+02	(-4.38127523337144e+01dB,8.92131265873028e+01°)
1.04246576084112e+02	(-4.37525519610825e+01dB,8.92076536039011e+01°)
1.04971668362307e+02	(-4.36923516669926e+01dB,8.92021425561258e+01°)
1.05701804056138e+02	(-4.36321514525410e+01dB,8.91965931792865e+01°)
1.06437018245336e+02	(-4.35719513188393e+01dB,8.91910052068527e+01°)
1.07177346253629e+02	(-4.35117512670150e+01dB,8.91853783704419e+01°)
1.07922823650443e+02	(-4.34515512982107e+01dB,8.91797123998060e+01°)
1.08673486252606e+02	(-4.33913514135855e+01dB,8.91740070228190e+01°)
1.09429370126074e+02	(-4.33311516143143e+01dB,8.91682619654634e+01°)
1.10190511587661e+02	(-4.32709519015887e+01dB,8.91624769518177e+01°)
1.10956947206785e+02	(-4.32107522766167e+01dB,8.91566517040423e+01°)
1.11728713807222e+02	(-4.31505527406234e+01dB,8.91507859423673e+01°)
1.12505848468881e+02	(-4.30903532948507e+01dB,8.91448793850782e+01°)
1.13288388529580e+02	(-4.30301539405580e+01dB,8.91389317485027e+01°)
1.14076371586843e+02	(-4.29699546790224e+01dB,8.91329427469974e+01°)
1.14869835499704e+02	(-4.29097555115386e+01dB,8.91269120929337e+01°)
1.15668818390529e+02	(-4.28495564394195e+01dB,8.91208394966844e+01°)
1.16473358646846e+02	(-4.27893574639962e+01dB,8.91147246666095e+01°)
1.17283494923188e+02	(-4.27291585866187e+01dB,8.91085673090424e+01°)
1.18099266142953e+02	(-4.26689598086554e+01dB,8.91023671282759e+01°)
1.18920711500272e+02	(-4.26087611314941e+01dB,8.90961238265479e+01°)
1.19747870461893e+02	(-4.25485625565420e+01dB,8.90898371040275e+01°)
1.20580782769076e+02	(-4.24883640852256e+01dB,8.90835066588001e+01°)
