Freq.	V(n045)*10
1.00000000000000e+02	(-4.41139031859548e+01dB,8.92007217167627e+01°)
1.00695555005672e+02	(-4.40537044985314e+01dB,8.91951628384873e+01°)
1.01395947979003e+02	(-4.39935059131216e+01dB,8.91895653065302e+01°)
1.02101212570719e+02	(-4.39333074311480e+01dB,8.91839288522724e+01°)
1.02811382665607e+02	(-4.38731090540529e+01dB,8.91782532052316e+01°)
1.03526492384138e+02	(-4.38129107832988e+01dB,8.91725380930491e+01°)
1.04246576084112e+02	(-4.37527126203684e+01dB,8.91667832414770e+01°)
1.04971668362307e+02	(-4.36925145667653e+01dB,8.91609883743654e+01°)
1.05701804056138e+02	(-4.36323166240138e+01dB,8.91551532136489e+01°)
1.06437018245336e+02	(-4.35721187936596e+01dB,8.91492774793334e+01°)
1.07177346253629e+02	(-4.35119210772699e+01dB,8.91433608894833e+01°)
1.07922823650443e+02	(-4.34517234764336e+01dB,8.91374031602074e+01°)
1.08673486252606e+02	(-4.33915259927619e+01dB,8.91314040056461e+01°)
1.09429370126074e+02	(-4.33313286278883e+01dB,8.91253631379573e+01°)
1.10190511587661e+02	(-4.32711313834691e+01dB,8.91192802673030e+01°)
1.10956947206785e+02	(-4.32109342611837e+01dB,8.91131551018355e+01°)
1.11728713807222e+02	(-4.31507372627348e+01dB,8.91069873476837e+01°)
1.12505848468881e+02	(-4.30905403898490e+01dB,8.91007767089387e+01°)
1.13288388529580e+02	(-4.30303436442766e+01dB,8.90945228876403e+01°)
1.14076371586843e+02	(-4.29701470277926e+01dB,8.90882255837627e+01°)
1.14869835499704e+02	(-4.29099505421965e+01dB,8.90818844951999e+01°)
1.15668818390529e+02	(-4.28497541893130e+01dB,8.90754993177521e+01°)
1.16473358646846e+02	(-4.27895579709922e+01dB,8.90690697451107e+01°)
1.17283494923188e+02	(-4.27293618891097e+01dB,8.90625954688437e+01°)
1.18099266142953e+02	(-4.26691659455675e+01dB,8.90560761783818e+01°)
1.18920711500272e+02	(-4.26089701422939e+01dB,8.90495115610031e+01°)
1.19747870461893e+02	(-4.25487744812443e+01dB,8.90429013018182e+01°)
1.20580782769076e+02	(-4.24885789644009e+01dB,8.90362450837557e+01°)
1.21419488439505e+02	(-4.24283835937738e+01dB,8.90295425875472e+01°)
1.22264027769207e+02	(-4.23681883714010e+01dB,8.90227934917116e+01°)
1.23114441334492e+02	(-4.23079932993489e+01dB,8.90159974725405e+01°)
1.23970769993899e+02	(-4.22477983797125e+01dB,8.90091542040828e+01°)
1.24833054890161e+02	(-4.21876036146162e+01dB,8.90022633581289e+01°)
1.25701337452183e+02	(-4.21274090062136e+01dB,8.89953246041956e+01°)
1.26575659397028e+02	(-4.20672145566887e+01dB,8.89883376095102e+01°)
1.27456062731927e+02	(-4.20070202682556e+01dB,8.89813020389949e+01°)
1.28342589756291e+02	(-4.19468261431593e+01dB,8.89742175552511e+01°)
1.29235283063750e+02	(-4.18866321836760e+01dB,8.89670838185431e+01°)
1.30134185544194e+02	(-4.18264383921135e+01dB,8.89599004867823e+01°)
1.31039340385837e+02	(-4.17662447708119e+01dB,8.89526672155111e+01°)
1.31950791077290e+02	(-4.17060513221437e+01dB,8.89453836578865e+01°)
1.32868581409652e+02	(-4.16458580485143e+01dB,8.89380494646635e+01°)
1.33792755478612e+02	(-4.15856649523629e+01dB,8.89306642841794e+01°)
1.34723357686569e+02	(-4.15254720361623e+01dB,8.89232277623362e+01°)
1.35660432744768e+02	(-4.14652793024198e+01dB,8.89157395425846e+01°)
1.36604025675440e+02	(-4.14050867536776e+01dB,8.89081992659070e+01°)
1.37554181813975e+02	(-4.13448943925133e+01dB,8.89006065708006e+01°)
1.38510946811093e+02	(-4.12847022215401e+01dB,8.88929610932601e+01°)
1.39474366635041e+02	(-4.12245102434079e+01dB,8.88852624667609e+01°)
1.40444487573800e+02	(-4.11643184608030e+01dB,8.88775103222418e+01°)
1.41421356237310e+02	(-4.11041268764496e+01dB,8.88697042880872e+01°)
1.42405019559708e+02	(-4.10439354931092e+01dB,8.88618439901102e+01°)
1.43395524801583e+02	(-4.09837443135821e+01dB,8.88539290515348e+01°)
1.44392919552250e+02	(-4.09235533407074e+01dB,8.88459590929776e+01°)
1.45397251732032e+02	(-4.08633625773635e+01dB,8.88379337324310e+01°)
1.46408569594563e+02	(-4.08031720264691e+01dB,8.88298525852442e+01°)
1.47426921729111e+02	(-4.07429816909833e+01dB,8.88217152641060e+01°)
1.48452357062906e+02	(-4.06827915739063e+01dB,8.88135213790259e+01°)
1.49484924863494e+02	(-4.06226016782800e+01dB,8.88052705373161e+01°)
1.50524674741107e+02	(-4.05624120071887e+01dB,8.87969623435731e+01°)
1.51571656651040e+02	(-4.05022225637594e+01dB,8.87885963996590e+01°)
1.52625920896057e+02	(-4.04420333511626e+01dB,8.87801723046830e+01°)
1.53687518128802e+02	(-4.03818443726129e+01dB,8.87716896549822e+01°)
1.54756499354240e+02	(-4.03216556313694e+01dB,8.87631480441030e+01°)
1.55832915932101e+02	(-4.02614671307367e+01dB,8.87545470627823e+01°)
1.56916819579351e+02	(-4.02012788740652e+01dB,8.87458862989274e+01°)
1.58008262372676e+02	(-4.01410908647517e+01dB,8.87371653375977e+01°)
1.59107296750985e+02	(-4.00809031062404e+01dB,8.87283837609846e+01°)
1.60213975517925e+02	(-4.00207156020232e+01dB,8.87195411483924e+01°)
1.61328351844426e+02	(-3.99605283556405e+01dB,8.87106370762180e+01°)
1.62450479271248e+02	(-3.99003413706818e+01dB,8.87016711179318e+01°)
1.63580411711557e+02	(-3.98401546507867e+01dB,8.86926428440572e+01°)
1.64718203453516e+02	(-3.97799681996449e+01dB,8.86835518221508e+01°)
1.65863909162889e+02	(-3.97197820209978e+01dB,8.86743976167821e+01°)
1.67017583885675e+02	(-3.96595961186383e+01dB,8.86651797895129e+01°)
1.68179283050744e+02	(-3.95994104964122e+01dB,8.86558978988776e+01°)
1.69349062472506e+02	(-3.95392251582187e+01dB,8.86465515003615e+01°)
1.70526978353592e+02	(-3.94790401080109e+01dB,8.86371401463809e+01°)
1.71713087287552e+02	(-3.94188553497970e+01dB,8.86276633862620e+01°)
1.72907446261574e+02	(-3.93586708876407e+01dB,8.86181207662198e+01°)
1.74110112659226e+02	(-3.92984867256619e+01dB,8.86085118293367e+01°)
1.75321144263208e+02	(-3.92383028680381e+01dB,8.85988361155418e+01°)
1.76540599258132e+02	(-3.91781193190043e+01dB,8.85890931615890e+01°)
1.77768536233315e+02	(-3.91179360828544e+01dB,8.85792825010356e+01°)
1.79005014185596e+02	(-3.90577531639421e+01dB,8.85694036642207e+01°)
1.80250092522167e+02	(-3.89975705666810e+01dB,8.85594561782431e+01°)
1.81503831063433e+02	(-3.89373882955464e+01dB,8.85494395669394e+01°)
1.82766290045881e+02	(-3.88772063550753e+01dB,8.85393533508621e+01°)
1.84037530124976e+02	(-3.88170247498677e+01dB,8.85291970472571e+01°)
1.85317612378075e+02	(-3.87568434845874e+01dB,8.85189701700413e+01°)
1.86606598307363e+02	(-3.86966625639630e+01dB,8.85086722297800e+01°)
1.87904549842804e+02	(-3.86364819927882e+01dB,8.84983027336645e+01°)
1.89211529345120e+02	(-3.85763017759237e+01dB,8.84878611854889e+01°)
1.90527599608789e+02	(-3.85161219182971e+01dB,8.84773470856272e+01°)
1.91852823865054e+02	(-3.84559424249045e+01dB,8.84667599310103e+01°)
1.93187265784970e+02	(-3.83957633008112e+01dB,8.84560992151025e+01°)
1.94530989482458e+02	(-3.83355845511527e+01dB,8.84453644278784e+01°)
1.95884059517387e+02	(-3.82754061811354e+01dB,8.84345550557988e+01°)
1.97246540898673e+02	(-3.82152281960382e+01dB,8.84236705817875e+01°)
1.98618499087409e+02	(-3.81550506012129e+01dB,8.84127104852070e+01°)
2.00000000000002e+02	(-3.80948734020852e+01dB,8.84016742418348e+01°)
2.01391110011345e+02	(-3.80346966041564e+01dB,8.83905613238388e+01°)
2.02791895958007e+02	(-3.79745202130035e+01dB,8.83793711997536e+01°)
2.04202425141440e+02	(-3.79143442342810e+01dB,8.83681033344551e+01°)
2.05622765331215e+02	(-3.78541686737216e+01dB,8.83567571891367e+01°)
2.07052984768277e+02	(-3.77939935371372e+01dB,8.83453322212841e+01°)
2.08493152168226e+02	(-3.77338188304203e+01dB,8.83338278846504e+01°)
2.09943336724615e+02	(-3.76736445595449e+01dB,8.83222436292308e+01°)
2.11403608112278e+02	(-3.76134707305676e+01dB,8.83105789012376e+01°)
2.12874036490674e+02	(-3.75532973496287e+01dB,8.82988331430747e+01°)
2.14354692507260e+02	(-3.74931244229537e+01dB,8.82870057933119e+01°)
2.15845647300887e+02	(-3.74329519568538e+01dB,8.82750962866592e+01°)
2.17346972505213e+02	(-3.73727799577278e+01dB,8.82631040539410e+01°)
2.18858740252150e+02	(-3.73126084320629e+01dB,8.82510285220698e+01°)
2.20381023175324e+02	(-3.72524373864358e+01dB,8.82388691140200e+01°)
2.21913894413571e+02	(-3.71922668275144e+01dB,8.82266252488018e+01°)
2.23457427614446e+02	(-3.71320967620584e+01dB,8.82142963414342e+01°)
2.25011696937764e+02	(-3.70719271969213e+01dB,8.82018818029187e+01°)
2.26576777059162e+02	(-3.70117581390509e+01dB,8.81893810402120e+01°)
2.28152743173687e+02	(-3.69515895954914e+01dB,8.81767934561993e+01°)
2.29739670999409e+02	(-3.68914215733838e+01dB,8.81641184496667e+01°)
2.31337636781060e+02	(-3.68312540799682e+01dB,8.81513554152742e+01°)
2.32946717293693e+02	(-3.67710871225843e+01dB,8.81385037435280e+01°)
2.34566989846378e+02	(-3.67109207086735e+01dB,8.81255628207524e+01°)
2.36198532285908e+02	(-3.66507548457795e+01dB,8.81125320290627e+01°)
2.37841423000546e+02	(-3.65905895415505e+01dB,8.80994107463362e+01°)
2.39495740923788e+02	(-3.65304248037401e+01dB,8.80861983461847e+01°)
2.41161565538154e+02	(-3.64702606402087e+01dB,8.80728941979257e+01°)
2.42838976879012e+02	(-3.64100970589255e+01dB,8.80594976665541e+01°)
2.44528055538416e+02	(-3.63499340679693e+01dB,8.80460081127129e+01°)
