Freq.	V(n027)*10
1.00000000000000e+02	(-4.41138296911706e+01dB,8.92244284105174e+01°)
1.00695555005672e+02	(-4.40536299786581e+01dB,8.92190342382443e+01°)
1.01395947979003e+02	(-4.39934303538736e+01dB,8.92136025539841e+01°)
1.02101212570719e+02	(-4.39332308180409e+01dB,8.92081330969766e+01°)
1.02811382665607e+02	(-4.38730313724010e+01dB,8.92026256046512e+01°)
1.03526492384138e+02	(-4.38128320182119e+01dB,8.91970798126142e+01°)
1.04246576084112e+02	(-4.37526327567494e+01dB,8.91914954546364e+01°)
1.04971668362307e+02	(-4.36924335893069e+01dB,8.91858722626403e+01°)
1.05701804056138e+02	(-4.36322345171959e+01dB,8.91802099666873e+01°)
1.06437018245336e+02	(-4.35720355417463e+01dB,8.91745082949650e+01°)
1.07177346253629e+02	(-4.35118366643063e+01dB,8.91687669737738e+01°)
1.07922823650443e+02	(-4.34516378862431e+01dB,8.91629857275146e+01°)
1.08673486252606e+02	(-4.33914392089429e+01dB,8.91571642786748e+01°)
1.09429370126074e+02	(-4.33312406338111e+01dB,8.91513023478157e+01°)
1.10190511587661e+02	(-4.32710421622727e+01dB,8.91453996535591e+01°)
1.10956947206785e+02	(-4.32108437957729e+01dB,8.91394559125735e+01°)
1.11728713807222e+02	(-4.31506455357765e+01dB,8.91334708395611e+01°)
1.12505848468881e+02	(-4.30904473837692e+01dB,8.91274441472438e+01°)
1.13288388529580e+02	(-4.30302493412571e+01dB,8.91213755463498e+01°)
1.14076371586843e+02	(-4.29700514097675e+01dB,8.91152647455999e+01°)
1.14869835499704e+02	(-4.29098535908487e+01dB,8.91091114516931e+01°)
1.15668818390529e+02	(-4.28496558860709e+01dB,8.91029153692932e+01°)
1.16473358646846e+02	(-4.27894582970259e+01dB,8.90966762010146e+01°)
1.17283494923188e+02	(-4.27292608253279e+01dB,8.90903936474079e+01°)
1.18099266142953e+02	(-4.26690634726135e+01dB,8.90840674069459e+01°)
1.18920711500272e+02	(-4.26088662405421e+01dB,8.90776971760093e+01°)
1.19747870461893e+02	(-4.25486691307962e+01dB,8.90712826488719e+01°)
1.20580782769076e+02	(-4.24884721450818e+01dB,8.90648235176865e+01°)
1.21419488439505e+02	(-4.24282752851286e+01dB,8.90583194724698e+01°)
