Freq.	V(n009)*10
1.00000000000000e+02	(-4.41136927674619e+01dB,8.92528471436673e+01°)
1.00695555005672e+02	(-4.40534911454823e+01dB,8.92476502398726e+01°)
1.01395947979003e+02	(-4.39932895846294e+01dB,8.92424171878197e+01°)
1.02101212570719e+02	(-4.39330880857572e+01dB,8.92371477360583e+01°)
1.02811382665607e+02	(-4.38728866497316e+01dB,8.92318416313885e+01°)
1.03526492384138e+02	(-4.38126852774306e+01dB,8.92264986188489e+01°)
1.04246576084112e+02	(-4.37524839697445e+01dB,8.92211184417044e+01°)
1.04971668362307e+02	(-4.36922827275761e+01dB,8.92157008414336e+01°)
1.05701804056138e+02	(-4.36320815518406e+01dB,8.92102455577165e+01°)
1.06437018245336e+02	(-4.35718804434663e+01dB,8.92047523284222e+01°)
1.07177346253629e+02	(-4.35116794033943e+01dB,8.91992208895959e+01°)
1.07922823650443e+02	(-4.34514784325790e+01dB,8.91936509754464e+01°)
1.08673486252606e+02	(-4.33912775319878e+01dB,8.91880423183332e+01°)
1.09429370126074e+02	(-4.33310767026022e+01dB,8.91823946487541e+01°)
1.10190511587661e+02	(-4.32708759454168e+01dB,8.91767076953314e+01°)
1.10956947206785e+02	(-4.32106752614406e+01dB,8.91709811847997e+01°)
1.11728713807222e+02	(-4.31504746516965e+01dB,8.91652148419922e+01°)
1.12505848468881e+02	(-4.30902741172217e+01dB,8.91594083898276e+01°)
1.13288388529580e+02	(-4.30300736590680e+01dB,8.91535615492970e+01°)
1.14076371586843e+02	(-4.29698732783017e+01dB,8.91476740394501e+01°)
1.14869835499704e+02	(-4.29096729760043e+01dB,8.91417455773820e+01°)
1.15668818390529e+02	(-4.28494727532723e+01dB,8.91357758782194e+01°)
1.16473358646846e+02	(-4.27892726112174e+01dB,8.91297646551070e+01°)
1.17283494923188e+02	(-4.27290725509671e+01dB,8.91237116191938e+01°)
1.18099266142953e+02	(-4.26688725736644e+01dB,8.91176164796189e+01°)
1.18920711500272e+02	(-4.26086726804686e+01dB,8.91114789434978e+01°)
1.19747870461893e+02	(-4.25484728725551e+01dB,8.91052987159081e+01°)
1.20580782769076e+02	(-4.24882731511155e+01dB,8.90990754998756e+01°)
1.21419488439505e+02	(-4.24280735173583e+01dB,8.90928089963596e+01°)
1.22264027769207e+02	(-4.23678739725090e+01dB,8.90864989042390e+01°)
1.23114441334492e+02	(-4.23076745178101e+01dB,8.90801449202972e+01°)
1.23970769993899e+02	(-4.22474751545215e+01dB,8.90737467392083e+01°)
1.24833054890161e+02	(-4.21872758839207e+01dB,8.90673040535217e+01°)
1.25701337452183e+02	(-4.21270767073031e+01dB,8.90608165536477e+01°)
1.26575659397028e+02	(-4.20668776259823e+01dB,8.90542839278425e+01°)
1.27456062731927e+02	(-4.20066786412902e+01dB,8.90477058621931e+01°)
1.28342589756291e+02	(-4.19464797545773e+01dB,8.90410820406024e+01°)
1.29235283063750e+02	(-4.18862809672132e+01dB,8.90344121447740e+01°)
1.30134185544194e+02	(-4.18260822805863e+01dB,8.90276958541965e+01°)
1.31039340385837e+02	(-4.17658836961049e+01dB,8.90209328461286e+01°)
1.31950791077290e+02	(-4.17056852151966e+01dB,8.90141227955832e+01°)
1.32868581409652e+02	(-4.16454868393091e+01dB,8.90072653753120e+01°)
1.33792755478612e+02	(-4.15852885699106e+01dB,8.90003602557896e+01°)
1.34723357686569e+02	(-4.15250904084896e+01dB,8.89934071051976e+01°)
1.35660432744768e+02	(-4.14648923565554e+01dB,8.89864055894090e+01°)
1.36604025675440e+02	(-4.14046944156386e+01dB,8.89793553719715e+01°)
1.37554181813975e+02	(-4.13444965872911e+01dB,8.89722561140919e+01°)
1.38510946811093e+02	(-4.12842988730866e+01dB,8.89651074746194e+01°)
1.39474366635041e+02	(-4.12241012746209e+01dB,8.89579091100296e+01°)
1.40444487573800e+02	(-4.11639037935118e+01dB,8.89506606744075e+01°)
1.41421356237310e+02	(-4.11037064314003e+01dB,8.89433618194311e+01°)
1.42405019559708e+02	(-4.10435091899498e+01dB,8.89360121943545e+01°)
1.43395524801583e+02	(-4.09833120708475e+01dB,8.89286114459915e+01°)
1.44392919552250e+02	(-4.09231150758038e+01dB,8.89211592186978e+01°)
1.45397251732032e+02	(-4.08629182065534e+01dB,8.89136551543545e+01°)
1.46408569594563e+02	(-4.08027214648550e+01dB,8.89060988923508e+01°)
1.47426921729111e+02	(-4.07425248524921e+01dB,8.88984900695662e+01°)
1.48452357062906e+02	(-4.06823283712732e+01dB,8.88908283203537e+01°)
1.49484924863494e+02	(-4.06221320230320e+01dB,8.88831132765216e+01°)
1.50524674741107e+02	(-4.05619358096280e+01dB,8.88753445673162e+01°)
1.51571656651040e+02	(-4.05017397329467e+01dB,8.88675218194037e+01°)
1.52625920896057e+02	(-4.04415437948999e+01dB,8.88596446568522e+01°)
1.53687518128802e+02	(-4.03813479974264e+01dB,8.88517127011140e+01°)
1.54756499354240e+02	(-4.03211523424921e+01dB,8.88437255710068e+01°)
1.55832915932101e+02	(-4.02609568320903e+01dB,8.88356828826959e+01°)
1.56916819579351e+02	(-4.02007614682424e+01dB,8.88275842496752e+01°)
1.58008262372676e+02	(-4.01405662529979e+01dB,8.88194292827492e+01°)
1.59107296750985e+02	(-4.00803711884353e+01dB,8.88112175900136e+01°)
1.60213975517925e+02	(-4.00201762766619e+01dB,8.88029487768370e+01°)
1.61328351844426e+02	(-3.99599815198150e+01dB,8.87946224458416e+01°)
1.62450479271248e+02	(-3.98997869200613e+01dB,8.87862381968841e+01°)
1.63580411711557e+02	(-3.98395924795983e+01dB,8.87777956270365e+01°)
1.64718203453516e+02	(-3.97793982006540e+01dB,8.87692943305667e+01°)
1.65863909162889e+02	(-3.97192040854878e+01dB,8.87607338989189e+01°)
1.67017583885675e+02	(-3.96590101363908e+01dB,8.87521139206940e+01°)
1.68179283050744e+02	(-3.95988163556860e+01dB,8.87434339816297e+01°)
1.69349062472506e+02	(-3.95386227457292e+01dB,8.87346936645808e+01°)
1.70526978353592e+02	(-3.94784293089091e+01dB,8.87258925494987e+01°)
1.71713087287552e+02	(-3.94182360476480e+01dB,8.87170302134115e+01°)
1.72907446261574e+02	(-3.93580429644020e+01dB,8.87081062304036e+01°)
1.74110112659226e+02	(-3.92978500616617e+01dB,8.86991201715950e+01°)
1.75321144263208e+02	(-3.92376573419527e+01dB,8.86900716051209e+01°)
1.76540599258132e+02	(-3.91774648078359e+01dB,8.86809600961108e+01°)
1.77768536233315e+02	(-3.91172724619083e+01dB,8.86717852066675e+01°)
1.79005014185596e+02	(-3.90570803068031e+01dB,8.86625464958458e+01°)
1.80250092522167e+02	(-3.89968883451906e+01dB,8.86532435196319e+01°)
1.81503831063433e+02	(-3.89366965797784e+01dB,8.86438758309215e+01°)
1.82766290045881e+02	(-3.88765050133122e+01dB,8.86344429794983e+01°)
1.84037530124976e+02	(-3.88163136485762e+01dB,8.86249445120125e+01°)
1.85317612378075e+02	(-3.87561224883938e+01dB,8.86153799719589e+01°)
1.86606598307363e+02	(-3.86959315356276e+01dB,8.86057488996548e+01°)
1.87904549842804e+02	(-3.86357407931808e+01dB,8.85960508322181e+01°)
1.89211529345120e+02	(-3.85755502639971e+01dB,8.85862853035446e+01°)
1.90527599608789e+02	(-3.85153599510616e+01dB,8.85764518442860e+01°)
1.91852823865054e+02	(-3.84551698574014e+01dB,8.85665499818272e+01°)
1.93187265784970e+02	(-3.83949799860858e+01dB,8.85565792402632e+01°)
1.94530989482458e+02	(-3.83347903402274e+01dB,8.85465391403764e+01°)
1.95884059517387e+02	(-3.82746009229824e+01dB,8.85364291996137e+01°)
1.97246540898673e+02	(-3.82144117375514e+01dB,8.85262489320629e+01°)
1.98618499087409e+02	(-3.81542227871799e+01dB,8.85159978484296e+01°)
2.00000000000002e+02	(-3.80940340751589e+01dB,8.85056754560133e+01°)
2.01391110011345e+02	(-3.80338456048257e+01dB,8.84952812586841e+01°)
2.02791895958007e+02	(-3.79736573795644e+01dB,8.84848147568583e+01°)
2.04202425141440e+02	(-3.79134694028066e+01dB,8.84742754474747e+01°)
2.05622765331215e+02	(-3.78532816780323e+01dB,8.84636628239702e+01°)
2.07052984768277e+02	(-3.77930942087702e+01dB,8.84529763762554e+01°)
2.08493152168226e+02	(-3.77329069985985e+01dB,8.84422155906902e+01°)
2.09943336724615e+02	(-3.76727200511459e+01dB,8.84313799500586e+01°)
2.11403608112278e+02	(-3.76125333700918e+01dB,8.84204689335443e+01°)
2.12874036490674e+02	(-3.75523469591677e+01dB,8.84094820167054e+01°)
2.14354692507260e+02	(-3.74921608221570e+01dB,8.83984186714490e+01°)
2.15845647300887e+02	(-3.74319749628968e+01dB,8.83872783660057e+01°)
2.17346972505213e+02	(-3.73717893852778e+01dB,8.83760605649045e+01°)
2.18858740252150e+02	(-3.73116040932455e+01dB,8.83647647289462e+01°)
2.20381023175324e+02	(-3.72514190908008e+01dB,8.83533903151782e+01°)
2.21913894413571e+02	(-3.71912343820009e+01dB,8.83419367768676e+01°)
2.23457427614446e+02	(-3.71310499709601e+01dB,8.83304035634755e+01°)
2.25011696937764e+02	(-3.70708658618505e+01dB,8.83187901206301e+01°)
2.26576777059162e+02	(-3.70106820589028e+01dB,8.83070958900999e+01°)
2.28152743173687e+02	(-3.69504985664072e+01dB,8.82953203097671e+01°)
2.29739670999409e+02	(-3.68903153887145e+01dB,8.82834628136002e+01°)
2.31337636781060e+02	(-3.68301325302363e+01dB,8.82715228316270e+01°)
2.32946717293693e+02	(-3.67699499954467e+01dB,8.82594997899070e+01°)
2.34566989846378e+02	(-3.67097677888823e+01dB,8.82473931105035e+01°)
2.36198532285908e+02	(-3.66495859151439e+01dB,8.82352022114561e+01°)
2.37841423000546e+02	(-3.65894043788968e+01dB,8.82229265067525e+01°)
2.39495740923788e+02	(-3.65292231848722e+01dB,8.82105654063003e+01°)
2.41161565538154e+02	(-3.64690423378676e+01dB,8.81981183158983e+01°)
2.42838976879012e+02	(-3.64088618427484e+01dB,8.81855846372081e+01°)
2.44528055538416e+02	(-3.63486817044481e+01dB,8.81729637677253e+01°)
2.46228882668986e+02	(-3.62885019279700e+01dB,8.81602551007504e+01°)
2.47941539987800e+02	(-3.62283225183876e+01dB,8.81474580253592e+01°)
2.49666109780325e+02	(-3.61681434808461e+01dB,8.81345719263738e+01°)
2.51402674904368e+02	(-3.61079648205630e+01dB,8.81215961843329e+01°)
2.53151318794059e+02	(-3.60477865428293e+01dB,8.81085301754615e+01°)
2.54912125463855e+02	(-3.59876086530107e+01dB,8.80953732716414e+01°)
2.56685179512583e+02	(-3.59274311565482e+01dB,8.80821248403804e+01°)
2.58470566127501e+02	(-3.58672540589598e+01dB,8.80687842447822e+01°)
