Freq.	V(n008)*10
1.00000000000000e+01	(1.35394773980182e+01dB,1.79999553021158e+02°)
1.00770481413610e+01	(1.35394773989700e+01dB,1.79999549577249e+02°)
1.01546899243308e+01	(1.35394773999365e+01dB,1.79999546106805e+02°)
1.02329299228075e+01	(1.35394774009179e+01dB,1.79999542609621e+02°)
1.03117727459306e+01	(1.35394774019146e+01dB,1.79999539085492e+02°)
1.03912230383517e+01	(1.35394774029267e+01dB,1.79999535534209e+02°)
1.04712854805090e+01	(1.35394774039544e+01dB,1.79999531955564e+02°)
1.05519647889024e+01	(1.35394774049980e+01dB,1.79999528349346e+02°)
1.06332657163716e+01	(1.35394774060577e+01dB,1.79999524715342e+02°)
1.07151930523761e+01	(1.35394774071339e+01dB,1.79999521053338e+02°)
1.07977516232771e+01	(1.35394774082267e+01dB,1.79999517363119e+02°)
1.08809462926223e+01	(1.35394774093364e+01dB,1.79999513644466e+02°)
1.09647819614319e+01	(1.35394774104633e+01dB,1.79999509897161e+02°)
1.10492635684876e+01	(1.35394774116076e+01dB,1.79999506120984e+02°)
1.11343960906236e+01	(1.35394774127695e+01dB,1.79999502315711e+02°)
1.12201845430196e+01	(1.35394774139495e+01dB,1.79999498481118e+02°)
1.13066339794964e+01	(1.35394774151477e+01dB,1.79999494616980e+02°)
1.13937494928134e+01	(1.35394774163645e+01dB,1.79999490723069e+02°)
1.14815362149688e+01	(1.35394774176001e+01dB,1.79999486799156e+02°)
1.15699993175021e+01	(1.35394774188548e+01dB,1.79999482845008e+02°)
1.16591440117983e+01	(1.35394774201289e+01dB,1.79999478860394e+02°)
1.17489755493953e+01	(1.35394774214227e+01dB,1.79999474845079e+02°)
1.18394992222930e+01	(1.35394774227365e+01dB,1.79999470798825e+02°)
1.19307203632654e+01	(1.35394774240707e+01dB,1.79999466721396e+02°)
1.20226443461741e+01	(1.35394774254254e+01dB,1.79999462612549e+02°)
1.21152765862859e+01	(1.35394774268012e+01dB,1.79999458472044e+02°)
1.22086225405907e+01	(1.35394774281982e+01dB,1.79999454299636e+02°)
1.23026877081238e+01	(1.35394774296168e+01dB,1.79999450095080e+02°)
1.23974776302895e+01	(1.35394774310574e+01dB,1.79999445858128e+02°)
1.24929978911874e+01	(1.35394774325203e+01dB,1.79999441588530e+02°)
1.25892541179417e+01	(1.35394774340058e+01dB,1.79999437286034e+02°)
1.26862519810326e+01	(1.35394774355142e+01dB,1.79999432950388e+02°)
1.27839971946303e+01	(1.35394774370460e+01dB,1.79999428581335e+02°)
1.28824955169314e+01	(1.35394774386015e+01dB,1.79999424178619e+02°)
