time	V(n003)*10	V(n009)*10
0.000000000000000e+00	1.745396e-17	-2.915241e-07
3.571428571438340e-09	5.439700e-17	-2.915241e-07
7.142857142876679e-09	7.952173e-17	-2.915241e-07
1.071428571431502e-08	9.282813e-17	-2.915241e-07
1.428571428575336e-08	9.431621e-17	-2.915241e-07
1.785714285719170e-08	8.398597e-17	-2.915241e-07
2.142857142863004e-08	6.183741e-17	-2.915241e-07
2.500000000006837e-08	2.787052e-17	-2.915241e-07
4.500000000016643e-08	-5.770356e-19	-2.915241e-07
6.500000000026450e-08	7.758544e-19	-2.915241e-07
8.500000000036256e-08	-5.623748e-19	-2.915241e-07
1.050000000004606e-07	9.734302e-20	-2.915241e-07
1.250000000005587e-07	1.526735e-20	-2.915241e-07
1.450000000006568e-07	7.252306e-20	-2.915241e-07
1.650000000007548e-07	8.167486e-20	-2.915241e-07
1.850000000008529e-07	1.103093e-19	-2.915241e-07
2.050000000009509e-07	-5.870754e-19	-2.915241e-07
2.250000000010490e-07	6.436621e-19	-2.915241e-07
2.450000000011471e-07	-4.493997e-19	-2.915241e-07
2.650000000012451e-07	6.641512e-19	-2.915241e-07
2.850000000013432e-07	-4.490422e-19	-2.915241e-07
3.050000000014413e-07	-2.295587e-20	-2.915241e-07
3.250000000015393e-07	7.966180e-20	-2.915241e-07
3.450000000016374e-07	1.144152e-19	-2.915241e-07
3.650000000017355e-07	-5.866780e-19	-2.915241e-07
3.850000000018335e-07	6.432119e-19	-2.915241e-07
4.050000000019316e-07	-4.496248e-19	-2.915241e-07
4.250000000020297e-07	6.641513e-19	-2.915241e-07
4.450000000021277e-07	-4.490553e-19	-2.915241e-07
4.650000000022258e-07	-2.299550e-20	-2.915241e-07
4.850000000023239e-07	7.968838e-20	-2.915241e-07
5.050000000024219e-07	1.144021e-19	-2.915241e-07
5.250000000025200e-07	-5.866779e-19	-2.915241e-07
5.450000000026180e-07	1.221899e-19	-2.915241e-07
5.650000000027161e-07	1.115413e-19	-2.915241e-07
5.850000000028142e-07	1.383725e-20	-2.915241e-07
6.050000000029122e-07	1.387510e-21	-2.915241e-07
6.250000000030103e-07	-1.638654e-23	-2.915241e-07
6.450000000031084e-07	-2.017965e-22	-2.915241e-07
6.650000000032064e-07	-2.150290e-22	-2.915241e-07
6.850000000033045e-07	-2.282615e-22	-2.915241e-07
7.050000000034026e-07	-1.620276e-22	-2.915241e-07
7.250000000035006e-07	-2.017489e-22	-2.915241e-07
7.450000000035987e-07	-1.884926e-22	-2.915241e-07
7.650000000036968e-07	6.297423e-20	-2.915241e-07
7.850000000037948e-07	7.837739e-20	-2.915241e-07
8.050000000038929e-07	1.097535e-19	-2.915241e-07
8.250000000039909e-07	9.993927e-20	-2.915241e-07
8.450000000040890e-07	-5.495802e-19	-2.915241e-07
8.650000000041871e-07	6.331332e-19	-2.915241e-07
8.850000000042851e-07	-4.634649e-19	-2.915241e-07
9.050000000043832e-07	-5.433185e-21	-2.915241e-07
9.250000000044813e-07	8.321179e-20	-2.915241e-07
9.450000000045793e-07	8.558246e-20	-2.915241e-07
9.650000000046774e-07	1.102834e-19	-2.915241e-07
9.850000000047755e-07	9.950230e-20	-2.915241e-07
1.005000000004874e-06	-5.497125e-19	-2.915241e-07
1.025000000004972e-06	6.331465e-19	-2.915241e-07
1.045000000005070e-06	-4.634781e-19	-2.915241e-07
1.065000000005168e-06	-5.459577e-21	-2.915241e-07
1.085000000005266e-06	8.321189e-20	-2.915241e-07
1.105000000005364e-06	8.563553e-20	-2.915241e-07
1.125000000005462e-06	1.103497e-19	-2.915241e-07
1.145000000005560e-06	9.950240e-20	-2.915241e-07
1.165000000005658e-06	-5.497389e-19	-2.915241e-07
1.185000000005756e-06	1.851939e-19	-2.915241e-07
1.205000000005854e-06	1.687059e-20	-2.915241e-07
1.225000000005952e-06	1.348145e-21	-2.915241e-07
1.245000000006050e-06	-8.224086e-23	-2.915241e-07
1.265000000006148e-06	-1.749400e-22	-2.915241e-07
1.285000000006246e-06	-1.616839e-22	-2.915241e-07
1.305000000006344e-06	-2.278942e-22	-2.915241e-07
1.325000000006443e-06	-2.278825e-22	-2.915241e-07
1.345000000006541e-06	-1.881375e-22	-2.915241e-07
1.365000000006639e-06	-2.278590e-22	-2.915241e-07
1.385000000006737e-06	6.298784e-20	-2.915241e-07
1.405000000006835e-06	7.839100e-20	-2.915241e-07
1.425000000006933e-06	1.097803e-19	-2.915241e-07
1.445000000007031e-06	9.993964e-20	-2.915241e-07
1.465000000007129e-06	-5.495268e-19	-2.915241e-07
1.485000000007227e-06	6.331733e-19	-2.915241e-07
1.505000000007325e-06	-4.635308e-19	-2.915241e-07
1.525000000007423e-06	6.593045e-19	-2.915241e-07
1.545000000007521e-06	-4.495315e-19	-2.915241e-07
1.565000000007619e-06	-2.279619e-20	-2.915241e-07
1.585000000007717e-06	7.979499e-20	-2.915241e-07
1.605000000007815e-06	1.144027e-19	-2.915241e-07
1.625000000007914e-06	-5.866110e-19	-2.915241e-07
1.645000000008012e-06	6.432127e-19	-2.915241e-07
1.665000000008110e-06	-4.495976e-19	-2.915241e-07
1.685000000008208e-06	6.640858e-19	-2.915241e-07
1.705000000008306e-06	-4.490943e-19	-2.915241e-07
1.725000000008404e-06	-2.304774e-20	-2.915241e-07
1.745000000008502e-06	7.964939e-20	-2.915241e-07
1.765000000008600e-06	1.143896e-19	-2.915241e-07
1.785000000008698e-06	-5.866507e-19	-2.915241e-07
1.805000000008796e-06	1.996042e-19	-2.915241e-07
1.825000000008894e-06	1.978473e-20	-2.915241e-07
1.845000000008992e-06	1.679622e-21	-2.915241e-07
1.865000000009090e-06	-2.889660e-23	-2.915241e-07
1.885000000009188e-06	-1.878180e-22	-2.915241e-07
1.905000000009286e-06	-2.010508e-22	-2.915241e-07
1.925000000009384e-06	-2.010392e-22	-2.915241e-07
1.945000000009483e-06	-2.010276e-22	-2.915241e-07
1.965000000009581e-06	-2.407493e-22	-2.915241e-07
1.985000000009679e-06	-1.877600e-22	-2.915241e-07
2.005000000009777e-06	-2.407262e-22	-2.915241e-07
2.025000000009875e-06	6.296173e-20	-2.915241e-07
2.045000000009973e-06	7.833841e-20	-2.915241e-07
2.065000000010071e-06	1.097675e-19	-2.915241e-07
2.085000000010169e-06	9.992677e-20	-2.915241e-07
2.105000000010267e-06	1.152241e-19	-2.915241e-07
2.125000000010365e-06	-5.866638e-19	-2.915241e-07
2.145000000010463e-06	6.435043e-19	-2.915241e-07
2.165000000010561e-06	-4.494251e-19	-2.915241e-07
