Freq.	V(n036)*10
1.00000000000000e+02	(-4.39870995451710e+01dB,8.92006459330833e+01°)
1.00695555005672e+02	(-4.39269008566288e+01dB,8.91950865275420e+01°)
1.01395947979003e+02	(-4.38667022700847e+01dB,8.91894884646485e+01°)
1.02101212570719e+02	(-4.38065037869608e+01dB,8.91838514757583e+01°)
1.02811382665607e+02	(-4.37463054086995e+01dB,8.91781752903630e+01°)
1.03526492384138e+02	(-4.36861071367628e+01dB,8.91724596360782e+01°)
1.04246576084112e+02	(-4.36259089726334e+01dB,8.91667042386298e+01°)
1.04971668362307e+02	(-4.35657109178145e+01dB,8.91609088218416e+01°)
1.05701804056138e+02	(-4.35055129738302e+01dB,8.91550731076215e+01°)
1.06437018245336e+02	(-4.34453151422261e+01dB,8.91491968159490e+01°)
1.07177346253629e+02	(-4.33851174245690e+01dB,8.91432796648614e+01°)
1.07922823650443e+02	(-4.33249198224477e+01dB,8.91373213704407e+01°)
1.08673486252606e+02	(-4.32647223374729e+01dB,8.91313216467997e+01°)
1.09429370126074e+02	(-4.32045249712782e+01dB,8.91252802060690e+01°)
1.10190511587661e+02	(-4.31443277255194e+01dB,8.91191967583831e+01°)
1.10956947206785e+02	(-4.30841306018757e+01dB,8.91130710118663e+01°)
1.11728713807222e+02	(-4.30239336020496e+01dB,8.91069026726194e+01°)
1.12505848468881e+02	(-4.29637367277673e+01dB,8.91006914447054e+01°)
1.13288388529580e+02	(-4.29035399807790e+01dB,8.90944370301358e+01°)
1.14076371586843e+02	(-4.28433433628593e+01dB,8.90881391288558e+01°)
1.14869835499704e+02	(-4.27831468758075e+01dB,8.90817974387310e+01°)
1.15668818390529e+02	(-4.27229505214480e+01dB,8.90754116555323e+01°)
1.16473358646846e+02	(-4.26627543016305e+01dB,8.90689814729218e+01°)
1.17283494923188e+02	(-4.26025582182305e+01dB,8.90625065824384e+01°)
1.18099266142953e+02	(-4.25423622731496e+01dB,8.90559866734829e+01°)
1.18920711500272e+02	(-4.24821664683159e+01dB,8.90494214333035e+01°)
1.19747870461893e+02	(-4.24219708056843e+01dB,8.90428105469809e+01°)
1.20580782769076e+02	(-4.23617752872369e+01dB,8.90361536974135e+01°)
1.21419488439505e+02	(-4.23015799149835e+01dB,8.90294505653020e+01°)
1.22264027769207e+02	(-4.22413846909617e+01dB,8.90227008291351e+01°)
1.23114441334492e+02	(-4.21811896172375e+01dB,8.90159041651732e+01°)
1.23970769993899e+02	(-4.21209946959058e+01dB,8.90090602474340e+01°)
1.24833054890161e+02	(-4.20607999290904e+01dB,8.90021687476768e+01°)
1.25701337452183e+02	(-4.20006053189449e+01dB,8.89952293353866e+01°)
1.26575659397028e+02	(-4.19404108676527e+01dB,8.89882416777590e+01°)
1.27456062731927e+02	(-4.18802165774276e+01dB,8.89812054396843e+01°)
1.28342589756291e+02	(-4.18200224505144e+01dB,8.89741202837314e+01°)
1.29235283063750e+02	(-4.17598284891887e+01dB,8.89669858701323e+01°)
1.30134185544194e+02	(-4.16996346957582e+01dB,8.89598018567656e+01°)
1.31039340385837e+02	(-4.16394410725626e+01dB,8.89525678991409e+01°)
1.31950791077290e+02	(-4.15792476219739e+01dB,8.89452836503818e+01°)
1.32868581409652e+02	(-4.15190543463973e+01dB,8.89379487612102e+01°)
1.33792755478612e+02	(-4.14588612482714e+01dB,8.89305628799296e+01°)
1.34723357686569e+02	(-4.13986683300688e+01dB,8.89231256524081e+01°)
1.35660432744768e+02	(-4.13384755942965e+01dB,8.89156367220624e+01°)
1.36604025675440e+02	(-4.12782830434961e+01dB,8.89080957298405e+01°)
1.37554181813975e+02	(-4.12180906802448e+01dB,8.89005023142049e+01°)
1.38510946811093e+02	(-4.11578985071556e+01dB,8.88928561111156e+01°)
1.39474366635041e+02	(-4.10977065268778e+01dB,8.88851567540130e+01°)
1.40444487573800e+02	(-4.10375147420976e+01dB,8.88774038738003e+01°)
1.41421356237310e+02	(-4.09773231555383e+01dB,8.88695970988266e+01°)
1.42405019559708e+02	(-4.09171317699613e+01dB,8.88617360548690e+01°)
1.43395524801583e+02	(-4.08569405881665e+01dB,8.88538203651154e+01°)
1.44392919552250e+02	(-4.07967496129924e+01dB,8.88458496501463e+01°)
1.45397251732032e+02	(-4.07365588473171e+01dB,8.88378235279171e+01°)
1.46408569594563e+02	(-4.06763682940587e+01dB,8.88297416137406e+01°)
1.47426921729111e+02	(-4.06161779561759e+01dB,8.88216035202682e+01°)
1.48452357062906e+02	(-4.05559878366686e+01dB,8.88134088574720e+01°)
1.49484924863494e+02	(-4.04957979385781e+01dB,8.88051572326267e+01°)
1.50524674741107e+02	(-4.04356082649881e+01dB,8.87968482502909e+01°)
1.51571656651040e+02	(-4.03754188190253e+01dB,8.87884815122885e+01°)
1.52625920896057e+02	(-4.03152296038598e+01dB,8.87800566176901e+01°)
1.53687518128802e+02	(-4.02550406227054e+01dB,8.87715731627943e+01°)
1.54756499354240e+02	(-4.01948518788211e+01dB,8.87630307411085e+01°)
1.55832915932101e+02	(-4.01346633755106e+01dB,8.87544289433301e+01°)
1.56916819579351e+02	(-4.00744751161240e+01dB,8.87457673573271e+01°)
1.58008262372676e+02	(-4.00142871040576e+01dB,8.87370455681190e+01°)
1.59107296750985e+02	(-3.99540993427549e+01dB,8.87282631578571e+01°)
1.60213975517925e+02	(-3.98939118357074e+01dB,8.87194197058053e+01°)
1.61328351844426e+02	(-3.98337245864550e+01dB,8.87105147883198e+01°)
1.62450479271248e+02	(-3.97735375985866e+01dB,8.87015479788301e+01°)
1.63580411711557e+02	(-3.97133508757411e+01dB,8.86925188478183e+01°)
1.64718203453516e+02	(-3.96531644216079e+01dB,8.86834269627995e+01°)
1.65863909162889e+02	(-3.95929782399276e+01dB,8.86742718883012e+01°)
1.67017583885675e+02	(-3.95327923344927e+01dB,8.86650531858433e+01°)
1.68179283050744e+02	(-3.94726067091483e+01dB,8.86557704139175e+01°)
1.69349062472506e+02	(-3.94124213677930e+01dB,8.86464231279666e+01°)
1.70526978353592e+02	(-3.93522363143793e+01dB,8.86370108803638e+01°)
1.71713087287552e+02	(-3.92920515529148e+01dB,8.86275332203918e+01°)
1.72907446261574e+02	(-3.92318670874626e+01dB,8.86179896942221e+01°)
1.74110112659226e+02	(-3.91716829221420e+01dB,8.86083798448931e+01°)
1.75321144263208e+02	(-3.91114990611298e+01dB,8.85987032122895e+01°)
1.76540599258132e+02	(-3.90513155086603e+01dB,8.85889593331209e+01°)
1.77768536233315e+02	(-3.89911322690269e+01dB,8.85791477408994e+01°)
1.79005014185596e+02	(-3.89309493465825e+01dB,8.85692679659189e+01°)
1.80250092522167e+02	(-3.88707667457401e+01dB,8.85593195352328e+01°)
1.81503831063433e+02	(-3.88105844709742e+01dB,8.85493019726317e+01°)
1.82766290045881e+02	(-3.87504025268212e+01dB,8.85392147986220e+01°)
1.84037530124976e+02	(-3.86902209178804e+01dB,8.85290575304029e+01°)
1.85317612378075e+02	(-3.86300396488149e+01dB,8.85188296818445e+01°)
1.86606598307363e+02	(-3.85698587243525e+01dB,8.85085307634651e+01°)
1.87904549842804e+02	(-3.85096781492863e+01dB,8.84981602824082e+01°)
1.89211529345120e+02	(-3.84494979284760e+01dB,8.84877177424200e+01°)
1.90527599608789e+02	(-3.83893180668487e+01dB,8.84772026438265e+01°)
1.91852823865054e+02	(-3.83291385693997e+01dB,8.84666144835099e+01°)
1.93187265784970e+02	(-3.82689594411934e+01dB,8.84559527548858e+01°)
1.94530989482458e+02	(-3.82087806873645e+01dB,8.84452169478791e+01°)
1.95884059517387e+02	(-3.81486023131188e+01dB,8.84344065489014e+01°)
1.97246540898673e+02	(-3.80884243237343e+01dB,8.84235210408264e+01°)
1.98618499087409e+02	(-3.80282467245618e+01dB,8.84125599029663e+01°)
2.00000000000002e+02	(-3.79680695210265e+01dB,8.84015226110478e+01°)
2.01391110011345e+02	(-3.79078927186285e+01dB,8.83904086371879e+01°)
2.02791895958007e+02	(-3.78477163229443e+01dB,8.83792174498697e+01°)
2.04202425141440e+02	(-3.77875403396273e+01dB,8.83679485139174e+01°)
2.05622765331215e+02	(-3.77273647744094e+01dB,8.83566012904722e+01°)
2.07052984768277e+02	(-3.76671896331016e+01dB,8.83451752369672e+01°)
2.08493152168226e+02	(-3.76070149215955e+01dB,8.83336698071027e+01°)
2.09943336724615e+02	(-3.75468406458641e+01dB,8.83220844508205e+01°)
2.11403608112278e+02	(-3.74866668119632e+01dB,8.83104186142795e+01°)
2.12874036490674e+02	(-3.74264934260321e+01dB,8.82986717398293e+01°)
2.14354692507260e+02	(-3.73663204942953e+01dB,8.82868432659853e+01°)
2.15845647300887e+02	(-3.73061480230632e+01dB,8.82749326274028e+01°)
2.17346972505213e+02	(-3.72459760187334e+01dB,8.82629392548508e+01°)
2.18858740252150e+02	(-3.71858044877922e+01dB,8.82508625751863e+01°)
2.20381023175324e+02	(-3.71256334368155e+01dB,8.82387020113276e+01°)
2.21913894413571e+02	(-3.70654628724698e+01dB,8.82264569822286e+01°)
2.23457427614446e+02	(-3.70052928015140e+01dB,8.82141269028513e+01°)
2.25011696937764e+02	(-3.69451232308005e+01dB,8.82017111841402e+01°)
2.26576777059162e+02	(-3.68849541672760e+01dB,8.81892092329941e+01°)
2.28152743173687e+02	(-3.68247856179836e+01dB,8.81766204522402e+01°)
2.29739670999409e+02	(-3.67646175900634e+01dB,8.81639442406061e+01°)
2.31337636781060e+02	(-3.67044500907542e+01dB,8.81511799926931e+01°)
2.32946717293693e+02	(-3.66442831273947e+01dB,8.81383270989477e+01°)
2.34566989846378e+02	(-3.65841167074249e+01dB,8.81253849456347e+01°)
2.36198532285908e+02	(-3.65239508383877e+01dB,8.81123529148091e+01°)
2.37841423000546e+02	(-3.64637855279299e+01dB,8.80992303842876e+01°)
2.39495740923788e+02	(-3.64036207838039e+01dB,8.80860167276209e+01°)
2.41161565538154e+02	(-3.63434566138691e+01dB,8.80727113140651e+01°)
2.42838976879012e+02	(-3.62832930260933e+01dB,8.80593135085529e+01°)
