Freq.	V(n036)*10
1.00000000000000e+02	(-4.41137661349350e+01dB,8.92294281692031e+01°)
1.00695555005672e+02	(-4.40535655362350e+01dB,8.92240685638502e+01°)
1.01395947979003e+02	(-4.39933650129210e+01dB,8.92186716825534e+01°)
1.02101212570719e+02	(-4.39331645660455e+01dB,8.92132372661025e+01°)
1.02811382665607e+02	(-4.38729641966755e+01dB,8.92077650534853e+01°)
1.03526492384138e+02	(-4.38127639058927e+01dB,8.92022547818759e+01°)
1.04246576084112e+02	(-4.37525636947943e+01dB,8.91967061866214e+01°)
1.04971668362307e+02	(-4.36923635644926e+01dB,8.91911190012296e+01°)
1.05701804056138e+02	(-4.36321635161153e+01dB,8.91854929573563e+01°)
1.06437018245336e+02	(-4.35719635508061e+01dB,8.91798277847923e+01°)
1.07177346253629e+02	(-4.35117636697246e+01dB,8.91741232114503e+01°)
1.07922823650443e+02	(-4.34515638740465e+01dB,8.91683789633522e+01°)
1.08673486252606e+02	(-4.33913641649638e+01dB,8.91625947646157e+01°)
1.09429370126074e+02	(-4.33311645436855e+01dB,8.91567703374415e+01°)
1.10190511587661e+02	(-4.32709650114371e+01dB,8.91509054020994e+01°)
1.10956947206785e+02	(-4.32107655694614e+01dB,8.91449996769152e+01°)
1.11728713807222e+02	(-4.31505662190186e+01dB,8.91390528782577e+01°)
1.12505848468881e+02	(-4.30903669613863e+01dB,8.91330647205241e+01°)
1.13288388529580e+02	(-4.30301677978601e+01dB,8.91270349161271e+01°)
1.14076371586843e+02	(-4.29699687297536e+01dB,8.91209631754811e+01°)
1.14869835499704e+02	(-4.29097697583988e+01dB,8.91148492069880e+01°)
1.15668818390529e+02	(-4.28495708851462e+01dB,8.91086927170232e+01°)
1.16473358646846e+02	(-4.27893721113652e+01dB,8.91024934099221e+01°)
1.17283494923188e+02	(-4.27291734384444e+01dB,8.90962509879655e+01°)
1.18099266142953e+02	(-4.26689748677916e+01dB,8.90899651513652e+01°)
1.18920711500272e+02	(-4.26087764008343e+01dB,8.90836355982503e+01°)
1.19747870461893e+02	(-4.25485780390202e+01dB,8.90772620246520e+01°)
1.20580782769076e+02	(-4.24883797838167e+01dB,8.90708441244896e+01°)
1.21419488439505e+02	(-4.24281816367122e+01dB,8.90643815895556e+01°)
1.22264027769207e+02	(-4.23679835992155e+01dB,8.90578741095011e+01°)
1.23114441334492e+02	(-4.23077856728566e+01dB,8.90513213718208e+01°)
1.23970769993899e+02	(-4.22475878591870e+01dB,8.90447230618381e+01°)
1.24833054890161e+02	(-4.21873901597796e+01dB,8.90380788626902e+01°)
