Freq.	V(n036)*10
1.00000000000000e+02	(-4.38619943619023e+01dB,8.92187748158255e+01°)
1.00695555005672e+02	(-4.38017939135827e+01dB,8.92133411172024e+01°)
1.01395947979003e+02	(-4.37415935427483e+01dB,8.92078696274160e+01°)
1.02101212570719e+02	(-4.36813932504807e+01dB,8.92023600836753e+01°)
1.02811382665607e+02	(-4.36211930378765e+01dB,8.91968122213627e+01°)
1.03526492384138e+02	(-4.35609929060478e+01dB,8.91912257740215e+01°)
1.04246576084112e+02	(-4.35007928561222e+01dB,8.91856004733433e+01°)
1.04971668362307e+02	(-4.34405928892429e+01dB,8.91799360491548e+01°)
1.05701804056138e+02	(-4.33803930065691e+01dB,8.91742322294050e+01°)
1.06437018245336e+02	(-4.33201932092763e+01dB,8.91684887401523e+01°)
1.07177346253629e+02	(-4.32599934985564e+01dB,8.91627053055514e+01°)
1.07922823650443e+02	(-4.31997938756177e+01dB,8.91568816478397e+01°)
1.08673486252606e+02	(-4.31395943416857e+01dB,8.91510174873244e+01°)
1.09429370126074e+02	(-4.30793948980027e+01dB,8.91451125423692e+01°)
1.10190511587661e+02	(-4.30191955458286e+01dB,8.91391665293803e+01°)
1.10956947206785e+02	(-4.29589962864406e+01dB,8.91331791627932e+01°)
1.11728713807222e+02	(-4.28987971211340e+01dB,8.91271501550590e+01°)
1.12505848468881e+02	(-4.28385980512221e+01dB,8.91210792166307e+01°)
1.13288388529580e+02	(-4.27783990780365e+01dB,8.91149660559491e+01°)
1.14076371586843e+02	(-4.27182002029273e+01dB,8.91088103794289e+01°)
1.14869835499704e+02	(-4.26580014272636e+01dB,8.91026118914449e+01°)
1.15668818390529e+02	(-4.25978027524335e+01dB,8.90963702943175e+01°)
1.16473358646846e+02	(-4.25376041798446e+01dB,8.90900852882989e+01°)
1.17283494923188e+02	(-4.24774057109240e+01dB,8.90837565715582e+01°)
1.18099266142953e+02	(-4.24172073471189e+01dB,8.90773838401674e+01°)
1.18920711500272e+02	(-4.23570090898965e+01dB,8.90709667880866e+01°)
1.19747870461893e+02	(-4.22968109407445e+01dB,8.90645051071496e+01°)
1.20580782769076e+02	(-4.22366129011715e+01dB,8.90579984870490e+01°)
1.21419488439505e+02	(-4.21764149727072e+01dB,8.90514466153211e+01°)
1.22264027769207e+02	(-4.21162171569024e+01dB,8.90448491773316e+01°)
1.23114441334492e+02	(-4.20560194553297e+01dB,8.90382058562600e+01°)
1.23970769993899e+02	(-4.19958218695837e+01dB,8.90315163330845e+01°)
1.24833054890161e+02	(-4.19356244012812e+01dB,8.90247802865670e+01°)
1.25701337452183e+02	(-4.18754270520615e+01dB,8.90179973932377e+01°)
1.26575659397028e+02	(-4.18152298235869e+01dB,8.90111673273792e+01°)
1.27456062731927e+02	(-4.17550327175428e+01dB,8.90042897610117e+01°)
1.28342589756291e+02	(-4.16948357356382e+01dB,8.89973643638764e+01°)
1.29235283063750e+02	(-4.16346388796060e+01dB,8.89903908034205e+01°)
1.30134185544194e+02	(-4.15744421512030e+01dB,8.89833687447809e+01°)
1.31039340385837e+02	(-4.15142455522110e+01dB,8.89762978507682e+01°)
1.31950791077290e+02	(-4.14540490844363e+01dB,8.89691777818508e+01°)
1.32868581409652e+02	(-4.13938527497105e+01dB,8.89620081961382e+01°)
1.33792755478612e+02	(-4.13336565498907e+01dB,8.89547887493654e+01°)
1.34723357686569e+02	(-4.12734604868602e+01dB,8.89475190948759e+01°)
1.35660432744768e+02	(-4.12132645625282e+01dB,8.89401988836049e+01°)
1.36604025675440e+02	(-4.11530687788309e+01dB,8.89328277640636e+01°)
1.37554181813975e+02	(-4.10928731377312e+01dB,8.89254053823213e+01°)
1.38510946811093e+02	(-4.10326776412198e+01dB,8.89179313819891e+01°)
1.39474366635041e+02	(-4.09724822913147e+01dB,8.89104054042029e+01°)
1.40444487573800e+02	(-4.09122870900624e+01dB,8.89028270876059e+01°)
1.41421356237310e+02	(-4.08520920395379e+01dB,8.88951960683318e+01°)
1.42405019559708e+02	(-4.07918971418451e+01dB,8.88875119799868e+01°)
1.43395524801583e+02	(-4.07317023991174e+01dB,8.88797744536329e+01°)
1.44392919552250e+02	(-4.06715078135178e+01dB,8.88719831177695e+01°)
1.45397251732032e+02	(-4.06113133872395e+01dB,8.88641375983161e+01°)
1.46408569594563e+02	(-4.05511191225066e+01dB,8.88562375185945e+01°)
1.47426921729111e+02	(-4.04909250215739e+01dB,8.88482824993105e+01°)
1.48452357062906e+02	(-4.04307310867277e+01dB,8.88402721585361e+01°)
1.49484924863494e+02	(-4.03705373202865e+01dB,8.88322061116910e+01°)
1.50524674741107e+02	(-4.03103437246008e+01dB,8.88240839715243e+01°)
1.51571656651040e+02	(-4.02501503020542e+01dB,8.88159053480963e+01°)
1.52625920896057e+02	(-4.01899570550634e+01dB,8.88076698487596e+01°)
1.53687518128802e+02	(-4.01297639860789e+01dB,8.87993770781405e+01°)
1.54756499354240e+02	(-4.00695710975853e+01dB,8.87910266381199e+01°)
1.55832915932101e+02	(-4.00093783921021e+01dB,8.87826181278147e+01°)
1.56916819579351e+02	(-3.99491858721837e+01dB,8.87741511435583e+01°)
1.58008262372676e+02	(-3.98889935404202e+01dB,8.87656252788817e+01°)
1.59107296750985e+02	(-3.98288013994381e+01dB,8.87570401244937e+01°)
1.60213975517925e+02	(-3.97686094519003e+01dB,8.87483952682618e+01°)
1.61328351844426e+02	(-3.97084177005070e+01dB,8.87396902951923e+01°)
1.62450479271248e+02	(-3.96482261479959e+01dB,8.87309247874105e+01°)
1.63580411711557e+02	(-3.95880347971432e+01dB,8.87220983241409e+01°)
1.64718203453516e+02	(-3.95278436507636e+01dB,8.87132104816872e+01°)
1.65863909162889e+02	(-3.94676527117112e+01dB,8.87042608334119e+01°)
1.67017583885675e+02	(-3.94074619828800e+01dB,8.86952489497160e+01°)
1.68179283050744e+02	(-3.93472714672041e+01dB,8.86861743980187e+01°)
1.69349062472506e+02	(-3.92870811676589e+01dB,8.86770367427366e+01°)
1.70526978353592e+02	(-3.92268910872612e+01dB,8.86678355452633e+01°)
1.71713087287552e+02	(-3.91667012290698e+01dB,8.86585703639478e+01°)
1.72907446261574e+02	(-3.91065115961863e+01dB,8.86492407540743e+01°)
1.74110112659226e+02	(-3.90463221917555e+01dB,8.86398462678405e+01°)
1.75321144263208e+02	(-3.89861330189663e+01dB,8.86303864543363e+01°)
1.76540599258132e+02	(-3.89259440810519e+01dB,8.86208608595225e+01°)
1.77768536233315e+02	(-3.88657553812906e+01dB,8.86112690262093e+01°)
1.79005014185596e+02	(-3.88055669230066e+01dB,8.86016104940340e+01°)
1.80250092522167e+02	(-3.87453787095705e+01dB,8.85918847994399e+01°)
1.81503831063433e+02	(-3.86851907443998e+01dB,8.85820914756535e+01°)
1.82766290045881e+02	(-3.86250030309597e+01dB,8.85722300526626e+01°)
1.84037530124976e+02	(-3.85648155727639e+01dB,8.85623000571940e+01°)
1.85317612378075e+02	(-3.85046283733752e+01dB,8.85523010126909e+01°)
1.86606598307363e+02	(-3.84444414364058e+01dB,8.85422324392903e+01°)
1.87904549842804e+02	(-3.83842547655185e+01dB,8.85320938538000e+01°)
1.89211529345120e+02	(-3.83240683644273e+01dB,8.85218847696759e+01°)
1.90527599608789e+02	(-3.82638822368980e+01dB,8.85116046969987e+01°)
1.91852823865054e+02	(-3.82036963867489e+01dB,8.85012531424506e+01°)
1.93187265784970e+02	(-3.81435108178514e+01dB,8.84908296092919e+01°)
1.94530989482458e+02	(-3.80833255341314e+01dB,8.84803335973374e+01°)
1.95884059517387e+02	(-3.80231405395692e+01dB,8.84697646029328e+01°)
1.97246540898673e+02	(-3.79629558382007e+01dB,8.84591221189302e+01°)
1.98618499087409e+02	(-3.79027714341183e+01dB,8.84484056346648e+01°)
2.00000000000002e+02	(-3.78425873314713e+01dB,8.84376146359301e+01°)
2.01391110011345e+02	(-3.77824035344670e+01dB,8.84267486049538e+01°)
2.02791895958007e+02	(-3.77222200473716e+01dB,8.84158070203730e+01°)
2.04202425141440e+02	(-3.76620368745105e+01dB,8.84047893572094e+01°)
2.05622765331215e+02	(-3.76018540202696e+01dB,8.83936950868447e+01°)
2.07052984768277e+02	(-3.75416714890961e+01dB,8.83825236769952e+01°)
2.08493152168226e+02	(-3.74814892854993e+01dB,8.83712745916869e+01°)
2.09943336724615e+02	(-3.74213074140511e+01dB,8.83599472912297e+01°)
2.11403608112278e+02	(-3.73611258793875e+01dB,8.83485412321920e+01°)
2.12874036490674e+02	(-3.73009446862092e+01dB,8.83370558673750e+01°)
2.14354692507260e+02	(-3.72407638392824e+01dB,8.83254906457865e+01°)
2.15845647300887e+02	(-3.71805833434397e+01dB,8.83138450126150e+01°)
2.17346972505213e+02	(-3.71204032035814e+01dB,8.83021184092037e+01°)
2.18858740252150e+02	(-3.70602234246760e+01dB,8.82903102730232e+01°)
2.20381023175324e+02	(-3.70000440117614e+01dB,8.82784200376457e+01°)
2.21913894413571e+02	(-3.69398649699458e+01dB,8.82664471327177e+01°)
2.23457427614446e+02	(-3.68796863044087e+01dB,8.82543909839332e+01°)
2.25011696937764e+02	(-3.68195080204017e+01dB,8.82422510130065e+01°)
2.26576777059162e+02	(-3.67593301232500e+01dB,8.82300266376445e+01°)
2.28152743173687e+02	(-3.66991526183529e+01dB,8.82177172715198e+01°)
2.29739670999409e+02	(-3.66389755111851e+01dB,8.82053223242422e+01°)
2.31337636781060e+02	(-3.65787988072976e+01dB,8.81928412013316e+01°)
2.32946717293693e+02	(-3.65186225123190e+01dB,8.81802733041891e+01°)
2.34566989846378e+02	(-3.64584466319565e+01dB,8.81676180300692e+01°)
2.36198532285908e+02	(-3.63982711719966e+01dB,8.81548747720512e+01°)
2.37841423000546e+02	(-3.63380961383070e+01dB,8.81420429190105e+01°)
2.39495740923788e+02	(-3.62779215368369e+01dB,8.81291218555895e+01°)
2.41161565538154e+02	(-3.62177473736187e+01dB,8.81161109621690e+01°)
2.42838976879012e+02	(-3.61575736547689e+01dB,8.81030096148386e+01°)
2.44528055538416e+02	(-3.60974003864895e+01dB,8.80898171853674e+01°)
2.46228882668986e+02	(-3.60372275750688e+01dB,8.80765330411742e+01°)
2.47941539987800e+02	(-3.59770552268831e+01dB,8.80631565452979e+01°)
2.49666109780325e+02	(-3.59168833483974e+01dB,8.80496870563671e+01°)
2.51402674904368e+02	(-3.58567119461671e+01dB,8.80361239285703e+01°)
2.53151318794059e+02	(-3.57965410268391e+01dB,8.80224665116249e+01°)
2.54912125463855e+02	(-3.57363705971529e+01dB,8.80087141507472e+01°)
2.56685179512583e+02	(-3.56762006639421e+01dB,8.79948661866209e+01°)
2.58470566127501e+02	(-3.56160312341356e+01dB,8.79809219553665e+01°)
2.60268371088389e+02	(-3.55558623147592e+01dB,8.79668807885100e+01°)
2.62078680771675e+02	(-3.54956939129364e+01dB,8.79527420129509e+01°)
