Freq.	V(n018)*10
1.00000000000000e+02	(-4.41138924005130e+01dB,8.92112233701085e+01°)
1.00695555005672e+02	(-4.40536935625375e+01dB,8.92057375298333e+01°)
1.01395947979003e+02	(-4.39934948244742e+01dB,8.92002135437535e+01°)
1.02101212570719e+02	(-4.39332961877162e+01dB,8.91946511467797e+01°)
1.02811382665607e+02	(-4.38730976536763e+01dB,8.91890500719836e+01°)
1.03526492384138e+02	(-4.38128992237867e+01dB,8.91834100505853e+01°)
1.04246576084112e+02	(-4.37527008994996e+01dB,8.91777308119405e+01°)
1.04971668362307e+02	(-4.36925026822875e+01dB,8.91720120835276e+01°)
1.05701804056138e+02	(-4.36323045736434e+01dB,8.91662535909351e+01°)
1.06437018245336e+02	(-4.35721065750810e+01dB,8.91604550578480e+01°)
1.07177346253629e+02	(-4.35119086881353e+01dB,8.91546162060350e+01°)
1.07922823650443e+02	(-4.34517109143624e+01dB,8.91487367553356e+01°)
1.08673486252606e+02	(-4.33915132553402e+01dB,8.91428164236459e+01°)
1.09429370126074e+02	(-4.33313157126686e+01dB,8.91368549269063e+01°)
1.10190511587661e+02	(-4.32711182879697e+01dB,8.91308519790871e+01°)
1.10956947206785e+02	(-4.32109209828883e+01dB,8.91248072921755e+01°)
1.11728713807222e+02	(-4.31507237990919e+01dB,8.91187205761616e+01°)
1.12505848468881e+02	(-4.30905267382715e+01dB,8.91125915390250e+01°)
1.13288388529580e+02	(-4.30303298021415e+01dB,8.91064198867206e+01°)
1.14076371586843e+02	(-4.29701329924400e+01dB,8.91002053231647e+01°)
1.14869835499704e+02	(-4.29099363109296e+01dB,8.90939475502212e+01°)
1.15668818390529e+02	(-4.28497397593972e+01dB,8.90876462676872e+01°)
1.16473358646846e+02	(-4.27895433396548e+01dB,8.90813011732791e+01°)
1.17283494923188e+02	(-4.27293470535393e+01dB,8.90749119626179e+01°)
1.18099266142953e+02	(-4.26691509029135e+01dB,8.90684783292148e+01°)
1.18920711500272e+02	(-4.26089548896660e+01dB,8.90619999644572e+01°)
1.19747870461893e+02	(-4.25487590157116e+01dB,8.90554765575934e+01°)
1.20580782769076e+02	(-4.24885632829918e+01dB,8.90489077957183e+01°)
1.21419488439505e+02	(-4.24283676934753e+01dB,8.90422933637586e+01°)
1.22264027769207e+02	(-4.23681722491578e+01dB,8.90356329444575e+01°)
1.23114441334492e+02	(-4.23079769520632e+01dB,8.90289262183603e+01°)
1.23970769993899e+02	(-4.22477818042433e+01dB,8.90221728637987e+01°)
1.24833054890161e+02	(-4.21875868077786e+01dB,8.90153725568759e+01°)
1.25701337452183e+02	(-4.21273919647784e+01dB,8.90085249714512e+01°)
1.26575659397028e+02	(-4.20671972773814e+01dB,8.90016297791247e+01°)
1.27456062731927e+02	(-4.20070027477562e+01dB,8.89946866492215e+01°)
1.28342589756291e+02	(-4.19468083781013e+01dB,8.89876952487764e+01°)
1.29235283063750e+02	(-4.18866141706460e+01dB,8.89806552425180e+01°)
1.30134185544194e+02	(-4.18264201276506e+01dB,8.89735662928526e+01°)
1.31039340385837e+02	(-4.17662262514066e+01dB,8.89664280598491e+01°)
1.31950791077290e+02	(-4.17060325442378e+01dB,8.89592402012217e+01°)
1.32868581409652e+02	(-4.16458390084999e+01dB,8.89520023723150e+01°)
1.33792755478612e+02	(-4.15856456465816e+01dB,8.89447142260869e+01°)
1.34723357686569e+02	(-4.15254524609048e+01dB,8.89373754130925e+01°)
1.35660432744768e+02	(-4.14652594539250e+01dB,8.89299855814676e+01°)
1.36604025675440e+02	(-4.14050666281319e+01dB,8.89225443769123e+01°)
1.37554181813975e+02	(-4.13448739860498e+01dB,8.89150514426737e+01°)
1.38510946811093e+02	(-4.12846815302381e+01dB,8.89075064195301e+01°)
1.39474366635041e+02	(-4.12244892632918e+01dB,8.88999089457728e+01°)
1.40444487573800e+02	(-4.11642971878420e+01dB,8.88922586571903e+01°)
1.41421356237310e+02	(-4.11041053065563e+01dB,8.88845551870503e+01°)
1.42405019559708e+02	(-4.10439136221395e+01dB,8.88767981660827e+01°)
1.43395524801583e+02	(-4.09837221373339e+01dB,8.88689872224624e+01°)
1.44392919552250e+02	(-4.09235308549199e+01dB,8.88611219817916e+01°)
1.45397251732032e+02	(-4.08633397777166e+01dB,8.88532020670821e+01°)
1.46408569594563e+02	(-4.08031489085823e+01dB,8.88452270987378e+01°)
1.47426921729111e+02	(-4.07429582504150e+01dB,8.88371966945367e+01°)
1.48452357062906e+02	(-4.06827678061529e+01dB,8.88291104696132e+01°)
1.49484924863494e+02	(-4.06225775787752e+01dB,8.88209680364396e+01°)
1.50524674741107e+02	(-4.05623875713023e+01dB,8.88127690048081e+01°)
1.51571656651040e+02	(-4.05021977867967e+01dB,8.88045129818127e+01°)
1.52625920896057e+02	(-4.04420082283634e+01dB,8.87961995718303e+01°)
1.53687518128802e+02	(-4.03818188991505e+01dB,8.87878283765026e+01°)
