Distance_(pixels),Gray_Value
0,9.8137
1,9.7108
2,9.6275
3,9.7108
4,9.7549
5,9.6471
6,9.6275
7,9.7353
8,9.7010
9,9.6814
10,9.7353
11,9.7010
12,9.7500
13,9.7598
14,9.8186
15,9.8431
16,9.8431
17,9.8039
18,9.8922
19,9.7794
20,9.9461
21,9.8824
22,9.8971
23,9.8431
24,10.0049
25,9.9951
26,10.0490
27,10.0686
28,10.1324
29,10.0490
30,10.1863
31,10.2206
32,10.2402
33,10.3627
34,10.3480
35,10.4216
36,10.5980
37,10.5392
38,10.6127
39,10.7402
40,10.7451
41,10.8529
42,11.0539
43,10.8431
44,11.2402
45,11.2059
46,11.2353
47,11.3480
48,11.5784
49,11.6520
50,11.8578
51,11.9853
52,12.1127
53,12.3039
54,12.5294
55,12.7304
56,12.7745
57,13.1029
58,13.3824
59,13.5490
60,13.6471
61,13.9314
62,14.2010
63,14.5686
64,14.8922
65,15.2892
66,15.3627
67,15.7941
68,16.1422
69,16.8578
70,17.0294
71,17.2892
72,17.9804
73,18.4314
74,19.0833
75,19.4755
76,20.0539
77,20.6176
78,21.3676
79,22.0196
80,22.8088
81,23.5147
82,24.2353
83,25.1422
84,26.1373
85,26.8824
86,28.1765
87,29.2206
88,30.6029
89,31.9265
90,33.2598
91,35.0245
92,36.3382
93,38.2059
94,39.8333
95,41.1422
96,42.4412
97,43.8922
98,45.3873
99,46.1863
100,47.5245
101,48.6569
102,50.0049
103,51.1765
104,52.0735
105,53.6275
106,54.7598
107,55.9902
108,57.1275
109,58.2157
110,59.2843
111,60.2745
112,61.3971
113,62.4118
114,63.6275
115,64.4510
116,65.4363
117,66.0735
118,66.8873
119,67.3529
120,67.9706
121,68.1422
122,68.3578
123,68.7353
124,68.8186
125,68.5196
126,68.2843
127,67.8382
128,67.6667
129,67.0784
130,66.2304
131,65.7304
132,64.6226
133,63.8284
134,62.7451
135,61.7843
136,60.7598
137,59.8873
138,58.8088
139,57.8775
140,56.5098
141,55.6569
142,54.5000
143,53.1765
144,52.0245
145,50.8284
146,49.3284
147,47.8088
148,45.8824
149,43.7500
150,41.7451
151,39.9314
152,38.2402
153,36.1373
154,34.9020
155,33.2304
156,32.0000
157,30.5833
158,29.6569
159,28.4510
160,27.5343
161,26.2353
162,25.3529
163,24.5980
164,23.8186
165,23.1961
166,22.5588
167,21.7549
168,21.0931
169,20.5637
170,19.7500
171,19.4118
172,18.9314
173,18.6422
174,17.9853
175,17.4657
176,17.1275
177,16.8775
178,16.4363
179,15.9314
180,15.6618
181,15.1814
182,15.1520
183,14.7402
184,14.5000
185,14.2206
186,13.9657
187,13.7941
188,13.5686
189,13.2745
190,13.0196
191,12.8088
192,12.5931
193,12.4020
194,12.3186
195,12.0735
196,11.8578
197,11.7255
198,11.7157
199,11.5196
200,11.4167
201,11.2794
202,11.0637
203,11.0637
204,10.9755
205,10.7549
206,10.7206
207,10.5441
208,10.5539
209,10.4069
210,10.4608
211,10.2108
212,10.2451
213,10.1324
214,10.0294
215,10.1814
216,10.1176
217,10.0392
218,9.9363
219,10.0392
220,9.9853
221,10.0294
222,9.9902
223,9.9853
224,9.9902
225,9.8431
226,9.8284
227,9.9559
228,9.9412
229,10.0588
230,9.9069
231,10.0833
232,9.9216
233,9.9118
234,9.8529
235,9.8676
236,9.9608
237,10.0245
238,9.9265
239,9.9951
240,10.0196
241,10.1029
242,10.0392
243,10.0735
244,10.1275
245,10.1765
246,10.1765
247,10.2745
248,10.3186
249,10.2696
250,10.2549
251,10.4755
252,10.3725
253,10.6373
254,10.6471
255,10.7206
256,10.6961
257,10.6961
258,10.8627
259,10.9314
260,10.9510
261,11.0294
262,11.1667
263,11.3676
264,11.4118
265,11.5392
266,11.5980
267,11.7108
268,11.8676
269,11.8824
270,12.0784
271,12.3333
272,12.4755
273,12.5147
274,12.7990
275,12.9559
276,13.0588
277,13.2255
278,13.4706
279,13.7941
280,13.8382
281,14.2696
282,14.5441
283,14.7500
284,15.0686
285,15.4510
