Distance_(pixels),Gray_Value
0,13.1806
1,13.0139
2,12.9167
3,12.8056
4,12.7014
5,12.5694
6,12.6042
7,12.5833
8,12.4236
9,12.4375
10,12.4097
11,12.3125
12,12.1597
13,12.2292
14,12.2014
15,12.2153
16,12.2986
17,12.1111
18,12.1042
19,12.1181
20,12.1806
21,12.1181
22,12.1319
23,12.1042
24,12.1528
25,12.3750
26,12.2569
27,12.2500
28,12.1875
29,12.2083
30,12.2292
31,12.2014
32,12.2917
33,12.3472
34,12.3472
35,12.3681
36,12.3958
37,12.4306
38,12.5972
39,12.5278
40,12.6944
41,12.7014
42,12.7222
43,12.8194
44,12.8125
45,12.8542
46,12.9792
47,13.0139
48,13.2708
49,13.2639
50,13.4167
51,13.4583
52,13.5347
53,13.7083
54,13.8611
55,13.8611
56,14.0486
57,14.2014
58,14.3125
59,14.4444
60,14.6736
61,14.8403
62,15.0903
63,15.1667
64,15.4306
65,15.5694
66,15.9861
67,15.9097
68,16.2847
69,16.6458
70,16.7083
71,17.0625
72,17.2986
73,17.6458
74,19.0556
75,18.2917
76,18.6111
77,18.8264
78,19.1944
79,19.5903
80,19.9028
81,20.4722
82,20.9236
83,21.4653
84,21.8542
85,22.4653
86,22.8819
87,23.6250
88,24.1667
89,24.7917
90,25.3333
91,26.2639
92,26.5000
93,27.4722
94,28.3542
95,28.8194
96,29.5972
97,30.5764
98,31.4861
99,32.5486
100,33.4097
101,34.8194
102,35.9931
103,36.9861
104,38.1389
105,39.6319
106,41.2014
107,42.5417
108,44.0764
109,45.2222
110,47.2083
111,48.6250
112,50.6111
113,52.1389
114,54.0972
115,56.1458
116,58.3750
117,60.7083
118,62.9306
119,64.9583
120,67.5069
121,69.6944
122,71.7083
123,73.2917
124,75.0278
125,76.5903
126,77.8264
127,78.9722
128,79.8056
129,80.9861
130,81.5278
131,82.3125
132,82.8056
133,83.3125
134,84.1111
135,84.3125
136,84.8819
137,84.9306
138,85.1667
139,85.2778
140,85.1458
141,84.8958
142,84.7292
143,84.4722
144,84.0208
145,83.6389
146,83.1458
147,82.1944
148,81.2708
149,80.4722
150,79.4167
151,78.4444
152,77.0208
153,75.9167
154,74.3889
155,73.1389
156,71.4306
157,69.4444
158,67.4028
159,64.7292
160,61.6806
161,58.3125
162,55.3958
163,52.3472
164,49.7153
165,47.0694
166,44.8611
167,42.9514
168,41.0069
169,39.5278
170,37.9583
171,36.5764
172,35.0278
173,33.8681
174,32.7569
175,31.6389
176,30.7778
177,29.5694
178,28.5903
179,27.5417
180,26.8750
181,26.2153
182,25.3542
183,24.4306
184,23.7778
185,23.2014
186,22.6597
187,22.0486
188,21.4792
189,21.0417
190,20.6319
191,20.3264
192,19.7917
193,19.3611
194,19.0833
195,18.6736
196,18.2500
197,18.0486
198,17.7361
199,17.4514
200,17.1458
201,16.8819
202,16.6528
203,16.2708
204,16.1944
205,15.8750
206,15.4792
207,15.3611
208,15.2361
209,15.0556
210,14.8889
211,14.6319
212,14.5000
213,14.3056
214,14.0903
215,14.0625
216,14.0139
217,13.8264
218,13.8264
219,13.5486
220,13.5139
221,13.3889
222,13.2986
223,13.2708
224,13.0764
225,12.9931
226,12.9722
227,12.8958
228,12.8542
229,12.7986
230,12.8056
231,12.6181
232,12.7431
233,12.6806
234,12.7431
235,12.7569
236,12.6875
237,12.6597
238,12.7222
239,12.5972
240,12.5833
241,12.6250
242,12.5903
243,12.6597
244,12.5625
245,12.7917
246,12.6597
247,12.7708
248,12.8125
249,12.8958
250,12.8472
251,12.8958
252,12.8056
253,12.9097
254,13.6597
255,12.9792
256,12.9444
257,12.9375
258,13.1250
259,13.1181
260,13.2778
261,13.2292
262,13.4653
263,13.5556
264,13.5625
265,13.6528
266,13.7569
267,13.7153
268,13.9306
269,14.0694
270,14.1181
271,14.0833
272,14.4306
273,14.4931
274,14.5278
275,14.8819
276,15.0347
277,15.1042
278,15.2708
279,15.4167
280,15.8472
281,15.7986
282,15.9028
283,16.2500
284,16.4444
285,16.9722
286,17.1042
287,17.0417
288,17.3403
289,17.8125
290,18.1944
291,18.4236
292,18.4514
293,18.9028
294,19.3889
295,19.8403
296,20.3403
297,20.7778
298,20.9931
299,21.3750
300,21.6875
301,22.3056
302,22.9028
303,23.8681
304,24.3819
305,24.9861
306,25.5903
307,26.2153
308,26.8889
309,27.2014
310,28.1319
311,28.7708
312,29.4583
313,30.4861
314,31.3472
315,32.5278
316,33.6806
317,34.7778
318,35.8889
319,37.1250
320,38.3472
321,39.4861
322,40.7083
323,42.5347
324,43.7222
325,45.2361
326,46.7431
327,48.5694
328,50.0694
329,51.5903
330,53.6042
331,55.5069
332,57.5417
333,59.8611
334,61.9861
335,64.9306
336,67.5556
337,70.0625
338,71.9236
339,73.7708
340,75.4653
341,76.9653
342,78.3819
343,79.4861
344,80.8750
345,82.0694
346,82.9861
347,84.1944
348,84.9097
349,85.7014
350,86.5972
351,87.1250
352,87.5417
353,87.8056
354,88.1458
355,88.6736
356,88.7292
357,88.7292
358,88.7917
359,88.6181
360,88.5625
361,88.1875
362,87.6806
363,87.1875
364,86.4444
365,85.9306
366,85.2292
367,84.2222
368,83.5069
369,82.2708
370,81.0694
371,79.5278
372,78.3125
373,76.6875
374,75.1875
375,73.4444
376,71.4514
377,69.4444
378,66.9792
379,63.9097
380,60.5903
381,57.8958
382,54.9792
383,52.1806
384,49.9097
385,47.2500
386,45.0486
387,43.4375
388,41.7708
389,40.4583
390,38.8125
391,37.3333
392,36.1667
393,35.0278
394,33.8681
395,32.5278
396,31.3403
397,30.6875
398,29.8333
399,28.9375
400,28.0069
401,27.1389
402,26.2639
403,25.5903
404,25.0139
405,24.4236
406,23.9375
407,23.2847
408,22.7222
409,22.2986
410,21.8542
411,21.5972
412,21.0208
413,20.5069
414,20.1667
415,19.8403
416,19.5278
417,19.3472
418,18.8333
419,18.5903
420,18.2569
421,18.0764
422,17.7569
423,17.4375
424,17.0486
425,16.9583
426,16.5347
427,16.5486
428,16.2708
429,16.1111
430,15.9444
431,15.7639
432,15.5694
433,15.3681
434,15.3333
435,15.2778
436,15.0417
437,14.9028
438,14.8194
439,14.8819
440,14.5139
441,14.4236
442,14.3889
443,14.3125
444,14.1806
445,14.1181
446,14.0486
447,14.0625
448,14.0208
449,13.9514
450,14.0069
451,13.9861
452,13.9861
453,13.7639
454,13.7292
455,13.6806
456,13.5556
457,13.5972
458,13.6042
459,13.6667
460,13.6875
461,13.5486
462,13.5139
463,13.5069
464,13.5069
465,13.5972
466,13.7500
467,13.8056
468,13.7431
469,13.7431
470,13.7431
471,13.8750
472,13.9097
473,13.9236
474,13.8958
475,13.8750
476,14.0000
477,14.0486
478,14.1875
479,14.1875
480,14.3056
481,14.3958
482,14.3542
483,14.4514
484,14.6458
485,14.7708
486,14.8958
487,14.8611
488,15.0486
489,14.9861
490,15.2708
491,15.3611
492,15.5139
493,15.6181
494,15.8403
495,16.0347
496,16.1875
497,16.3472
498,16.3750
499,16.7431
500,16.8681
501,17.2222
502,17.3542
503,17.6250
504,17.8333
505,18.0764
506,18.3125
507,18.7500
508,19.0903
509,19.2014
510,19.7847
511,20.0139
512,20.2986
513,20.6667
514,20.9583
515,21.5278
516,21.8542
517,22.1458
518,22.7569
519,23.2569
520,23.8750
521,24.2292
522,24.7014
523,25.6458
524,26.0417
525,26.7431
526,27.6528
527,28.2222
528,28.8403
529,29.8472
530,30.4583
531,31.3542
532,32.0764
533,33.0833
534,34.0764
535,35.3194
536,36.2500
537,37.1458
538,38.6458
539,39.7708
540,40.8681
541,42.5625
542,44.1528
543,45.7222
544,47.0139
545,48.6806
546,50.4028
547,52.1597
548,53.5833
549,55.8750
550,58.0625
551,60.3264
552,62.4306
553,64.6042
554,66.9444
555,69.6250
556,72.3889
557,74.4583
558,76.4028
559,78.0278
560,79.7153
561,81.1597
562,82.6181
563,83.9097
564,85.1875
565,86.1597
566,87.1806
567,88.2500
568,89.0208
569,89.8542
570,90.5694
571,91.1389
572,91.8264
573,92.1875
574,92.5208
575,93.0000
576,93.3056
577,93.2986
578,93.4167
579,93.4028
580,93.0139
581,93.0208
582,92.7083
583,92.0069
584,91.4931
585,90.8194
586,90.0764
587,89.2708
588,88.2500
589,87.2083
590,85.7014
591,84.5347
592,83.3333
593,81.8125
594,80.2292
595,78.7153
596,77.0833
597,75.2431
598,73.4097
599,71.4375
600,68.7569
601,66.4583
602,63.3681
603,60.2292
604,57.2778
605,54.8056
606,52.5139
607,50.0486
608,47.7361
609,45.8333
610,44.1528
611,42.5694
612,41.2014
613,40.0208
614,38.7361
615,37.2153
616,36.0278
617,34.8056
618,33.7222
619,32.6736
620,31.8194
621,30.8194
622,29.7361
623,28.8889
624,28.0972
625,27.4861
626,26.9236
627,26.1597
628,25.4306
629,25.0764
630,24.6250
631,23.9514
632,23.5556
633,22.9097
634,22.7917
635,22.3819
636,21.9583
637,21.5000
638,21.1944
639,20.8958
640,20.3819
641,20.0972
642,19.8750
643,19.4722
644,19.1806
645,18.9792
646,18.8819
647,18.5000
648,18.3472
649,18.1736
650,17.8403
651,17.6528
652,17.4931
653,17.0139
654,16.9306
655,16.8125
656,16.6736
657,16.6389
658,16.4306
659,16.0486
660,16.0347
661,15.8333
662,15.7708
663,15.7222
664,15.4722
665,15.4931
666,15.3403
667,15.2292
668,15.1736
669,15.2083
670,15.1111
671,14.9722
672,14.9097
673,14.8194
674,14.8194
675,14.8125
676,14.8125
677,14.7083
678,14.6944
679,14.4583
680,14.6528
681,14.5486
682,14.6250
683,14.5694
684,14.5139
685,14.5278
686,14.4722
687,14.5069
688,14.6319
689,14.6250
690,14.7569
691,14.6806
692,14.5833
693,14.6458
694,14.7431
695,14.6736
696,14.7708
697,14.8333
698,14.9514
699,14.9375
700,14.8958
701,15.0417
702,15.0903
703,15.1736
704,15.2083
705,15.1806
706,15.3056
707,15.4306
708,15.5347
709,15.4931
710,15.7847
711,15.8333
712,16.0833
713,16.0347
714,16.2361
715,16.3403
716,16.6111
717,16.6111
718,16.7222
719,16.9583
720,17.1736
721,17.4167
722,17.4167
723,17.6736
724,17.9792
725,18.1250
726,18.5347
727,18.8194
728,19.0139
729,19.3750
730,19.4444
731,19.9097
732,20.1181
733,20.5417
734,20.8889
735,21.2083
736,21.6736
737,22.0486
738,22.3889
739,22.8958
740,23.4028
741,23.6806
742,24.2431
743,24.9097
744,25.3194
745,25.9583
746,26.5903
747,27.2639
748,27.8472
749,28.4167
750,29.3681
751,29.9028
752,30.8889
753,31.8264
754,32.4167
755,33.4167
756,34.4514
757,35.4097
758,36.7083
759,37.5347
760,38.7639
761,39.7847
762,41.1528
763,42.7847
764,43.9792
765,45.5417
766,46.9444
767,48.6181
768,50.2917
769,52.0278
770,53.8194
771,55.7292
772,57.7500
773,59.7500
774,62.1042
775,64.4792
776,66.8403
777,69.0347
778,71.7153
779,73.7500
780,75.9792
781,78.0139
782,79.6042
783,81.1875
784,82.8542
785,84.1875
786,85.4444
787,86.6389
788,88.0278
789,88.8889
790,90.0417
791,90.7292
792,91.5139
793,92.5208
794,93.3333
795,93.7708
796,94.2778
797,94.9583
798,95.4861
799,95.7986
800,95.8264
801,95.9722
802,95.9861
803,95.9236
804,95.6319
805,95.4514
806,95.0347
807,94.5694
808,93.9583
809,93.1806
810,92.3264
811,91.4306
812,90.4722
813,89.3750
814,88.3958
815,87.0903
816,85.5278
817,84.0556
818,82.4444
819,80.9375
820,79.1597
821,77.4722
822,75.3472
823,73.3194
824,71.2431
825,69.0069
826,66.3403
827,63.1528
828,59.9167
829,56.9028
830,54.3958
831,52.1667
832,50.2361
833,48.1597
834,46.2222
835,44.5833
836,43.1806
837,41.3472
838,40.0347
839,38.9583
840,37.6042
841,36.6181
842,35.1944
843,34.1736
844,33.0069
845,32.2986
846,31.3056
847,30.5208
848,29.5208
849,28.8125
850,27.9792
851,27.3333
852,26.7639
853,26.1111
854,25.5764
855,25.1458
856,24.6736
857,24.2361
858,23.9097
859,23.4653
860,23.1736
861,22.6389
862,22.1736
863,21.7986
864,21.3819
865,21.2778
866,20.7708
867,20.4375
868,20.0139
869,19.8333
870,19.5625
871,19.2639
872,19.0208
873,18.7708
874,18.5764
875,18.2222
876,18.1389
877,17.9375
878,17.8194
879,17.5000
880,17.3889
881,17.3264
882,17.0000
883,16.9028
884,16.7014
885,16.6458
886,16.5417
887,16.3542
888,16.1458
889,16.1875
890,16.0625
891,15.8958
892,15.8542
893,15.8403
894,15.6319
895,15.6875
896,15.4722
897,15.3403
898,15.4306
899,15.3472
900,15.4722
901,15.3611
902,15.1875
903,15.2778
904,15.2500
905,15.1250
906,15.0833
907,15.1250
908,15.2222
909,15.1736
910,15.0208
911,15.1042
912,15.0625
913,15.2153
914,15.2500
915,15.1875
916,15.2222
917,15.0833
918,15.1667
919,15.2083
920,15.2014
921,15.2222
922,15.4167
923,15.3889
924,15.5208
925,15.3056
926,15.5764
927,15.5278
928,15.5069
929,15.6597
930,15.7083
931,15.8958
932,15.8681
933,15.9861
934,16.1319
935,16.2986
936,16.3194
937,16.5208
938,16.6458
939,16.7986
940,16.9028
941,17.0417
942,17.1389
943,17.3403
944,17.5417
945,17.6667
946,17.8264
947,18.0903
948,18.3194
949,18.5556
950,18.6944
951,18.9861
952,19.1597
953,19.5278
954,19.7431
955,20.0417
956,20.4236
957,20.7361
958,21.1528
959,21.2569
960,21.6806
961,21.9306
962,22.3958
963,22.7986
964,23.2292
965,23.6597
966,24.1042
967,24.6736
968,25.0972
969,25.4236
970,26.1458
971,26.9722
972,27.2847
973,28.0347
974,28.7361
975,29.2014
976,29.9444
977,30.8958
978,31.6944
979,32.3542
980,33.4722
981,34.2917
982,35.1042
983,36.2569
984,37.1111
985,38.3194
986,39.4306
987,40.7917
988,41.9514
989,43.0417
990,44.5903
991,46.0347
992,47.6389
993,49.1319
994,50.6736
995,52.6250
996,54.7014
997,56.7014
998,58.2292
999,60.5278
1000,63.1319
1001,65.1875
1002,67.5208
1003,70.0139
1004,72.3681
1005,75.3125
1006,77.0972
1007,78.9167
1008,80.7778
1009,82.3125
1010,83.7847
1011,85.2361
1012,86.6458
1013,87.9583
1014,89.0903
1015,90.1875
1016,91.2500
1017,92.2222
1018,93.1389
1019,93.9306
1020,94.7292
1021,95.3611
1022,96.0694
1023,96.7500
1024,97.1181
1025,97.3819
1026,97.8472
1027,97.8958
1028,98.0903
1029,98.2569
1030,98.2778
1031,97.8750
1032,97.3958
1033,97.1458
1034,96.8542
1035,96.2778
1036,95.5486
1037,94.6319
1038,93.7083
1039,92.7292
1040,91.5278
1041,90.6528
1042,89.0347
1043,87.8472
1044,86.3958
1045,84.8056
1046,82.8472
1047,81.2847
1048,79.5069
1049,77.6875
1050,75.4306
1051,73.4375
1052,70.9236
1053,67.5556
1054,64.1042
1055,61.2431
1056,58.4583
1057,55.7500
1058,53.7292
1059,51.3958
1060,49.2708
1061,47.1250
1062,45.5208
1063,43.8889
1064,42.5417
1065,41.0486
1066,39.8681
1067,38.3403
1068,37.2569
1069,36.0278
1070,34.8125
1071,33.8472
1072,32.7361
1073,31.7361
1074,30.9653
1075,30.1736
1076,29.2917
1077,28.4861
1078,27.8958
1079,27.3958
1080,26.7083
1081,26.0417
1082,25.4931
1083,25.2153
1084,24.6111
1085,24.2083
1086,23.9861
1087,23.4236
1088,23.1597
