Distance_(pixels),Gray_Value
0,20.2583
1,20.0833
2,20.1583
3,20.2500
4,20.1917
5,20.2500
6,20.4000
7,20.6333
8,20.4750
9,20.5667
10,20.7417
11,20.9833
12,21.3333
13,21.4333
14,21.6083
15,21.8500
16,22.1250
17,22.3750
18,22.3333
19,22.8083
20,23.1083
21,23.5500
22,23.8333
23,24.3333
24,24.7833
25,25.1083
26,25.8333
27,26.2250
28,26.9083
29,27.3417
30,27.8583
31,28.3000
32,29.1500
33,29.9000
34,30.4667
35,31.4000
36,32.1917
37,32.9417
38,35.1333
39,34.6583
40,35.8333
41,36.9083
42,37.7000
43,38.8667
44,39.8583
45,41.4167
46,42.7750
47,44.0250
48,45.6167
49,47.0333
50,48.6083
51,50.3167
52,51.9833
53,53.3500
54,55.2833
55,57.0917
56,58.6250
57,60.4083
58,62.2667
59,63.8250
60,65.7917
61,67.6250
62,69.2417
63,71.2250
64,72.6583
65,74.4500
66,76.6000
67,77.5500
68,78.7667
69,80.1917
70,81.2417
71,81.8667
72,82.4583
73,82.5750
74,82.6417
75,82.7167
76,82.5750
77,82.1250
78,81.4250
79,80.0667
80,78.7500
81,77.1750
82,75.7583
83,73.8917
84,72.1750
85,69.7500
86,67.2583
87,64.9917
88,62.9167
89,60.7500
90,58.3833
91,56.2000
92,54.1833
93,52.2000
94,50.3000
95,48.4750
96,46.8583
97,45.4750
98,44.6750
99,43.4000
100,42.4750
101,41.6917
102,41.1833
103,40.4417
104,40.3083
105,39.7333
106,39.7167
107,39.1583
108,39.1083
109,38.8750
110,38.8167
111,38.6833
112,38.7417
113,38.6917
114,38.5000
115,38.9500
116,38.9917
117,39.2167
118,39.4583
119,40.0000
120,40.1583
121,40.9167
122,41.2917
123,41.7083
124,42.7000
125,43.3500
126,43.9917
127,44.7417
128,45.6500
129,46.5167
130,47.1417
131,48.3750
132,49.3667
133,50.9083
134,51.8667
135,53.2417
136,54.4417
137,55.9000
138,57.1917
139,58.7667
140,60.5667
141,61.8917
142,63.7583
143,65.2333
144,67.0000
145,68.8167
146,70.1833
147,71.9500
148,73.3250
149,74.9417
150,76.4583
151,77.8000
152,78.8917
153,80.0833
154,80.8917
155,81.3667
156,81.9917
157,81.9167
158,82.0500
159,81.7333
160,81.3333
161,81.1250
162,80.4167
163,79.1000
164,77.6583
165,76.6083
166,74.8167
167,72.8667
168,70.6667
169,68.3500
170,65.7667
171,63.5333
172,60.9417
173,58.4500
174,55.9583
175,53.6750
176,50.8750
177,48.5917
178,46.4417
179,44.3833
180,42.4833
181,40.7417
182,39.0417
183,37.5917
184,36.2250
185,34.8417
186,33.8333
187,32.8000
188,31.9000
189,31.0083
190,30.0667
191,29.5250
192,28.8333
193,28.2083
194,27.7083
195,27.0750
196,26.2917
197,25.9583
198,25.4583
199,25.0417
200,24.5583
201,24.1917
202,23.8000
203,23.6083
204,23.3250
205,23.0000
206,22.6917
207,22.5167
208,22.4750
209,22.2000
210,22.1000
211,22.0750
212,21.8833
213,21.8667
214,21.6583
215,21.6917
216,21.6250
217,21.4750
218,22.4083
219,21.3167
220,21.4167
221,21.4750
222,21.5083
223,21.5667
224,21.4667
225,21.7333
226,21.8250
227,21.9583
228,22.0250
229,22.2917
230,22.4167
231,22.7500
232,23.0000
233,23.1000
234,23.1917
235,23.6417
236,24.2083
237,24.3333
238,24.5250
239,25.0500
240,25.6333
241,25.5833
242,26.2083
