X,Value,ERR
0,20.492,0.9059
1,20.794,0.8966
2,20.873,0.8959
3,20.730,0.8791
4,21.206,0.8975
5,21.000,0.9147
6,21.143,0.8714
7,21.556,0.9042
8,21.603,0.9193
9,22.000,0.9333
10,21.937,0.9172
11,22.286,0.9298
12,22.429,0.9498
13,22.571,0.9326
14,22.937,0.9476
15,23.254,0.9969
16,23.175,0.9784
17,23.556,0.9727
18,24.000,1.0099
19,24.270,1.0206
20,24.492,1.0337
21,24.873,1.0481
22,25.238,1.0795
23,25.841,1.1355
24,26.048,1.1123
25,26.651,1.1933
26,26.984,1.1960
27,27.810,1.1911
28,27.698,1.2011
29,28.349,1.2334
30,29.206,1.2769
31,29.397,1.3031
32,30.079,1.3430
33,30.556,1.3937
34,31.444,1.4306
35,31.730,1.4456
36,32.619,1.5232
37,33.476,1.5483
38,34.032,1.5838
39,34.667,1.6405
40,35.429,1.7157
41,36.254,1.7366
42,37.492,1.8364
43,38.429,1.8767
44,39.619,1.9694
45,40.508,2.0538
46,41.762,2.0956
47,42.698,2.2057
48,44.365,2.3247
49,45.556,2.4197
50,46.778,2.4924
51,48.270,2.6188
52,50.095,2.7280
53,50.667,2.7793
54,52.730,2.8877
55,54.571,3.0395
56,55.683,3.1312
57,57.492,3.2181
58,59.476,3.4138
59,61.556,3.5729
60,63.825,3.7380
61,65.762,3.8360
62,68.667,4.1014
63,71.270,4.2780
64,73.651,4.4656
65,76.143,4.6662
66,79.270,4.9159
67,82.810,5.2203
68,85.683,5.4613
69,88.905,5.6366
70,91.683,5.8574
71,95.857,6.2098
72,98.825,6.4792
73,103.159,6.8592
74,106.651,7.1552
75,110.857,7.4456
76,115.349,7.8204
77,120.286,8.3003
78,125.159,8.6768
79,130.095,9.0800
80,134.476,9.3947
81,140.016,9.9173
82,145.048,10.3798
83,149.175,10.5388
84,152.317,10.7688
85,155.873,10.9531
86,159.238,11.0566
87,161.683,11.1276
88,163.905,11.1877
89,165.540,11.2148
90,167.857,11.2768
91,169.111,11.2655
92,170.365,11.3138
93,171.397,11.3068
94,172.143,11.3229
95,173.429,11.2971
96,173.952,11.3243
97,174.825,11.3499
98,174.905,11.3684
99,175.063,11.4339
100,175.190,11.4015
101,174.667,11.4637
102,174.222,11.5322
103,173.556,11.5745
104,173.111,11.6416
105,172.206,11.6602
106,171.381,11.7071
107,170.317,11.7792
108,168.302,11.8488
109,166.508,11.9312
110,165.048,11.9737
111,162.857,12.0261
112,161.048,12.0840
113,158.397,12.1169
114,156.111,12.1568
115,153.254,12.1990
116,150.778,12.2294
117,147.190,12.1449
118,143.397,12.1204
119,139.079,12.0076
120,133.556,11.7127
121,127.063,11.1412
122,119.651,10.5032
123,113.619,9.9878
124,107.048,9.4108
125,101.556,8.9008
126,95.857,8.3973
127,90.984,7.9208
128,86.889,7.6155
129,82.841,7.3004
130,79.635,6.9702
131,76.254,6.6754
132,73.302,6.4185
133,69.889,6.0950
134,67.444,5.8378
135,65.063,5.6435
136,62.524,5.4087
137,60.714,5.2612
138,58.063,5.0181
139,55.968,4.8414
140,53.841,4.5927
141,52.476,4.4841
142,50.778,4.3132
143,49.063,4.1686
