X,Value,ERR
0,48.000,2.6208
1,48.958,2.6409
2,49.792,2.6593
3,50.938,2.7437
4,52.562,2.8690
5,54.229,2.9846
6,55.479,3.0718
7,57.271,3.1563
8,59.208,3.2736
9,60.646,3.3298
10,62.125,3.4284
11,64.125,3.5847
12,66.625,3.7689
13,69.042,3.8898
14,70.771,4.0258
15,72.875,4.1723
16,75.312,4.3284
17,78.417,4.5118
18,81.479,4.7601
19,84.146,4.9060
20,87.583,5.1976
21,90.417,5.3512
22,93.979,5.6264
23,97.500,5.9519
24,101.062,6.1647
25,103.938,6.3825
26,108.042,6.6951
27,111.938,7.0083
28,115.438,7.1425
29,118.771,7.4574
30,122.854,7.7908
31,126.208,8.1087
32,130.042,8.4378
33,134.062,8.7377
34,137.646,9.0664
35,141.750,9.3491
36,144.750,9.6638
37,148.500,10.0478
38,152.812,10.4104
39,155.188,10.6942
40,157.375,10.9131
41,160.562,11.1954
42,162.896,11.5379
43,163.938,11.6324
44,164.771,11.7743
45,165.521,11.8334
46,165.271,11.9211
47,165.188,11.9472
48,164.562,12.0246
49,164.271,12.0956
50,162.354,12.0167
51,159.333,11.8935
52,156.500,11.6893
53,153.521,11.5354
54,150.146,11.3826
55,146.417,11.0551
56,142.750,10.8015
57,137.562,10.4871
58,132.479,10.0154
59,127.583,9.6618
60,123.479,9.3264
61,118.875,8.9852
62,113.854,8.6165
63,109.229,8.2255
64,105.208,7.8327
65,101.271,7.5064
66,97.292,7.2359
67,93.708,6.9214
68,90.354,6.6862
69,87.438,6.3872
70,85.604,6.2197
71,83.146,6.0884
72,81.167,5.8698
73,79.312,5.6777
74,78.229,5.6524
75,76.688,5.4786
76,76.562,5.4395
77,75.375,5.3064
78,75.167,5.3192
79,73.938,5.2674
80,73.792,5.1371
81,73.167,5.0908
82,73.104,5.0320
83,73.104,5.0261
84,73.083,4.9751
85,72.792,5.0396
86,72.354,4.9481
87,73.146,5.0237
88,73.271,4.9507
89,73.688,5.0007
90,74.396,5.0070
91,75.458,5.0301
92,75.792,5.0197
93,77.396,5.1462
94,78.271,5.1985
95,78.792,5.2977
96,80.833,5.4052
97,82.292,5.5175
98,83.479,5.6340
99,85.312,5.7382
100,87.312,5.8023
101,89.000,5.8977
102,90.271,5.9692
103,92.979,6.1813
104,95.125,6.3151
105,98.250,6.5458
106,100.417,6.7075
107,103.417,6.9474
108,105.958,7.1451
109,109.104,7.3352
110,112.062,7.5410
111,115.271,7.8172
112,118.979,8.1038
113,121.771,8.3384
114,125.708,8.6064
115,128.375,8.9589
116,131.854,9.2430
117,135.729,9.5867
118,138.938,9.8545
119,142.292,10.1859
120,145.208,10.4459
121,148.542,10.7868
122,151.792,11.1270
123,154.479,11.3507
124,156.833,11.5185
125,159.125,11.7923
126,160.771,12.0184
127,161.542,12.0885
128,162.750,12.2247
129,162.625,12.3542
130,162.521,12.4932
131,161.792,12.4747
132,161.271,12.4640
133,160.750,12.6098
134,159.083,12.5224
135,156.375,12.3037
136,153.458,12.2561
137,150.458,12.1256
138,147.312,11.8788
139,143.062,11.5902
140,138.417,11.1989
141,133.854,10.9105
142,128.208,10.4081
143,123.875,10.1699
144,118.354,9.7140
145,113.417,9.2552
146,108.271,8.8516
147,103.708,8.4740
148,97.958,7.9955
149,93.688,7.7042
150,89.146,7.2765
151,84.958,6.9317
152,81.021,6.5783
153,77.500,6.3203
154,73.896,5.9618
155,71.042,5.7211
156,68.250,5.4638
157,65.417,5.2584
158,63.354,5.0290
159,61.229,4.8356
160,59.417,4.7008
161,57.333,4.4821
162,55.396,4.3513
163,54.271,4.2465
164,52.812,4.1554
165,51.562,4.0108
166,50.229,3.8701
167,49.062,3.7381
168,47.667,3.6411
169,46.875,3.5545
170,45.812,3.4693
171,45.146,3.3799
172,43.917,3.2544
173,42.958,3.1730
174,42.042,3.0955
175,41.833,3.0321
176,41.083,3.0001
177,40.396,2.9244
178,39.938,2.8736
179,39.708,2.8056
180,39.458,2.7966
181,38.792,2.7209
182,38.667,2.7184
183,38.458,2.6977
184,38.292,2.6596
185,38.062,2.6141
186,37.625,2.5234
187,37.667,2.5119
188,37.583,2.5329
189,37.167,2.4570
190,39.542,3.2573
191,36.958,2.3784
192,37.042,2.3478
193,37.312,2.4261
194,37.312,2.3360
195,37.583,2.3440
196,37.271,2.2974
197,37.667,2.3135
198,38.062,2.3532
199,38.208,2.3125
200,38.146,2.2886
201,38.896,2.3430
202,39.000,2.3264
203,39.812,2.3731
204,40.375,2.4364
205,40.646,2.4008
206,40.833,2.3369
207,41.625,2.4058
208,42.896,2.5228
209,42.958,2.4191
210,43.500,2.4968
211,44.646,2.5680
212,45.708,2.6638
