Distance_(pixels),Gray_Value
0,38.2990
1,38.4167
2,38.8088
3,39.2304
4,39.5539
5,40.0980
6,40.3186
7,40.8775
8,41.5098
9,41.9118
10,42.5441
11,42.7598
12,43.3824
13,44.2451
14,44.6961
15,45.6373
16,46.1127
17,46.6225
18,47.0196
19,47.5490
20,47.9069
21,48.4559
22,48.8824
23,49.3578
24,49.7059
25,50.0196
26,50.5980
27,50.8922
28,51.3922
29,51.6127
30,52.2059
31,52.4118
32,52.7157
33,53.2059
34,53.7010
35,54.1373
36,54.5637
37,54.8676
38,55.4608
39,55.7353
40,56.2794
41,56.4804
42,56.8971
43,57.2892
44,57.5931
45,57.9755
46,58.2353
47,58.7990
48,59.1765
49,59.3922
50,59.7500
51,60.1029
52,60.1961
53,60.6569
54,60.7500
55,61.3333
56,61.5147
57,61.7304
58,62.0539
59,62.4069
60,62.8431
61,62.9265
62,63.6078
63,64.0098
64,64.3676
65,65.0833
66,65.3137
67,65.7304
68,66.6814
69,67.2500
70,68.0833
71,68.7794
72,69.6422
73,70.4412
74,71.3382
75,72.3137
76,73.4951
77,74.6667
78,75.8431
79,76.9902
80,78.0882
81,79.1912
82,80.3726
83,81.6618
84,83.0294
85,84.1765
86,85.5147
87,86.8235
88,87.6127
89,88.6324
90,89.5049
91,90.2500
92,90.8235
93,91.1814
94,91.2941
95,91.5490
96,91.1667
97,91.2500
98,91.0049
99,90.4167
100,89.7108
101,88.9853
102,88.4314
103,87.3088
104,86.5980
105,85.5392
106,84.4265
107,83.3726
108,82.2255
109,81.3235
110,80.5686
111,79.7598
112,79.1373
113,78.2402
114,77.3480
115,76.5441
116,75.8431
117,75.2157
118,74.2745
119,73.7892
120,73.4216
121,72.6422
122,72.3137
123,71.7794
124,71.0784
125,70.7402
126,70.5049
127,69.9118
128,69.7304
129,69.2500
130,68.9069
131,68.2843
132,68.1078
133,67.9118
134,67.8235
135,67.4755
136,67.1765
137,66.7500
138,66.8431
139,66.5784
140,66.1765
141,65.9118
142,65.5147
143,65.3431
144,65.2206
145,64.7010
146,64.5343
147,64.1667
148,63.7696
149,63.1275
150,62.8971
151,62.4510
152,61.7353
153,61.3039
154,60.8088
155,60.5490
156,60.2108
157,59.7647
158,59.1471
159,58.6520
160,58.4706
161,57.8676
162,57.1863
163,56.6716
164,55.9804
165,55.0931
166,54.6127
167,53.8775
168,53.4853
169,53.3333
170,52.3529
171,51.3873
172,50.3873
173,49.6225
174,48.8186
175,48.1667
176,47.7990
177,46.8088
178,46.0735
179,45.0833
180,44.8725
181,44.5196
182,43.7549
183,43.0000
184,42.5245
185,42.2647
186,41.9363
187,41.3382
188,40.7990
189,40.7402
190,40.4804
191,40.1863
192,39.4265
193,39.5588
194,39.3382
195,39.1373
196,38.6324
197,38.7451
198,38.5049
199,38.3137
200,38.2010
201,38.3186
202,38.0392
203,38.2598
204,38.2059
205,38.3971
206,37.9118
207,38.3137
208,38.1422
209,38.1520
210,38.3431
211,38.5392
212,38.7598
213,38.5098
214,38.8578
215,39.1029
216,39.1078
217,39.2451
218,39.9363
219,39.9167
220,40.2549
221,40.0539
222,40.8824
223,41.1912
224,41.7059
225,42.1078
226,42.5539
227,43.3627
228,43.6912
229,43.9559
230,44.7647
231,45.2647
232,45.6765
233,46.3382
234,46.4902
235,46.9755
236,47.3676
237,48.0245
238,48.3284
239,48.7549
240,49.1029
241,49.3578
242,49.6716
243,50.2598
244,50.7794
245,51.2745
246,51.4853
247,51.8922
248,52.2696
249,52.6667
250,53.1078
251,53.4559
252,53.9755
253,54.2696
254,55.4265
255,55.2843
256,55.6422
257,56.0245
258,56.5637
259,57.0392
260,57.3627
261,57.7696
262,58.2353
263,58.5931
264,59.0539
265,59.3284
266,59.8480
267,60.1863
268,60.5196
269,60.7451
270,61.0980
271,61.4510
272,61.9216
273,62.1127
274,62.4069
275,62.8137
276,62.8480
277,63.5784
278,63.8039
279,64.2843
280,64.5441
281,64.7500
282,65.0784
283,65.4510
284,66.0392
285,66.4755
286,66.9755
287,67.4608
288,68.2843
289,69.3186
290,69.7696
291,70.4902
292,71.2549
293,72.2157
294,73.1912
295,74.5392
296,75.3333
297,76.4216
298,77.6324
299,78.9314
300,80.1520
301,81.6667
302,83.0343
303,84.3922
304,85.8284
305,86.9804
306,88.5147
307,89.4069
308,90.5098
309,91.5245
310,92.5931
311,93.6716
312,94.0931
313,95.0735
314,95.2108
315,95.7892
316,95.8480
317,95.7500
318,95.2794
319,95.1618
320,94.6226
321,93.8627
322,93.3186
323,92.2059
324,91.2206
325,89.8382
326,88.7990
327,87.8431
328,86.6765
329,85.5490
330,84.6520
331,83.2402
332,82.2696
333,81.2206
334,80.3186
335,79.6912
336,78.7990
337,78.2059
338,77.4314
339,76.6324
340,75.9853
341,75.2059
342,74.5784
343,74.1373
344,73.3382
345,73.2108
346,72.5784
347,72.3235
348,71.5882
349,71.2304
350,70.9559
351,70.5392
352,70.2990
353,70.2108
354,69.8186
355,69.4559
356,69.1127
357,69.0441
358,68.8676
359,68.5833
360,68.2794
361,67.9902
362,67.7696
363,67.3284
364,67.2745
365,66.6765
366,66.5735
367,66.2500
368,65.9216
369,65.5245
370,65.2696
371,64.7549
372,64.3971
373,63.8186
374,63.4657
375,63.1078
376,62.6912
377,62.1078
378,61.6520
379,60.9020
380,60.5686
381,60.0882
382,59.5637
383,58.8627
384,58.4216
385,57.9167
386,57.4020
387,56.7206
388,56.1127
389,55.6618
390,55.0686
391,54.5735
392,54.1716
393,53.4902
394,52.9510
395,51.9902
396,51.6078
397,50.7353
398,50.3971
399,49.6814
400,49.2353
401,48.4314
402,47.8431
403,47.1667
404,46.7892
405,45.8824
406,45.8333
407,44.8578
408,44.3971
409,44.1373
410,43.5392
411,43.0539
412,43.0833
413,42.4363
414,41.7794
415,41.7745
416,41.6029
417,41.1225
418,41.2549
419,40.5784
420,40.6078
421,40.4069
422,40.2353
423,40.0882
424,39.9706
425,39.9412
426,39.7402
427,39.8480
428,39.5392
429,40.0000
430,40.0539
431,39.7647
432,39.6373
433,39.9167
434,40.4510
435,40.3873
436,40.8775
437,40.8088
438,41.2549
439,41.6569
440,41.5588
441,41.7059
442,42.0637
443,42.5294
444,42.9363
445,43.1275
446,43.4902
447,44.3824
448,44.3088
449,44.7255
450,45.1275
451,45.8284
452,46.4559
453,46.4608
454,46.9608
455,47.3431
456,47.5000
457,48.2549
458,48.3578
459,48.8137
460,49.0980
461,49.3971
462,49.8922
463,50.2941
464,50.6324
465,51.3627
466,51.7451
467,52.0882
468,52.6422
469,52.9020
470,53.4265
471,54.1520
472,54.3627
473,54.8529
474,55.2549
475,55.7255
476,56.2059
477,56.8431
478,57.1716
479,57.7206
480,58.0539
481,58.2990
482,59.0196
483,59.5784
484,59.9020
485,60.3627
486,61.0931
487,61.4755
488,61.8873
489,62.1814
490,62.6275
491,63.0147
492,63.3039
493,63.8627
494,64.0294
495,64.4265
496,64.7892
497,65.2451
498,65.9069
499,66.0980
500,66.3186
501,66.4902
502,66.7892
503,67.2598
504,67.6814
505,68.2745
506,68.6765
507,69.2059
508,69.9363
509,70.2010
510,70.6078
511,70.9265
512,71.6422
513,72.5686
514,73.5784
515,74.3676
516,75.4069
517,76.3382
518,77.6716
519,78.7500
520,80.1471
521,81.5392
522,82.7157
523,84.2255
524,85.6226
525,87.1226
526,88.5735
527,90.1127
528,91.6078
529,92.6520
530,94.1765
531,95.2108
532,96.7108
533,97.7353
534,98.7794
535,99.3333
536,100.1078
537,100.9363
538,101.3578
539,101.6618
540,101.5245
541,101.2549
542,101.0098
543,100.3137
544,99.5049
545,98.3186
546,97.6127
547,96.3431
548,95.4657
549,94.0686
550,92.7157
551,91.1961
552,89.7892
553,88.2745
554,87.3922
555,86.2647
556,85.2843
557,83.8824
558,82.7059
559,81.9853
560,80.9265
561,80.3137
562,79.6226
563,78.6814
564,77.7647
565,77.3971
566,76.8971
567,76.3186
568,75.4069
569,75.1520
570,74.6324
571,74.1373
572,73.6961
573,73.3333
574,73.0343
575,72.6226
576,72.1765
577,71.8824
578,71.8774
579,71.3922
580,70.9853
581,71.1029
582,70.5147
583,70.3186
584,70.0980
585,70.0882
586,69.7108
587,69.5245
588,69.1422
589,68.8774
590,68.4755
591,68.0049
592,67.6226
593,67.4363
594,67.0049
595,66.5147
596,66.2255
597,65.5637
598,65.2794
599,64.6667
600,64.2745
601,63.9559
602,63.5833
603,63.0343
604,62.4265
605,61.9363
606,61.4706
607,60.8824
608,60.5343
609,59.6373
610,59.2353
611,58.7304
612,58.1961
613,57.7500
614,57.1961
615,56.5049
616,55.8676
617,55.5098
618,55.0686
619,54.5735
620,54.0196
621,53.6275
622,52.9069
623,52.5931
624,51.8088
625,51.4902
626,51.0784
627,50.6422
628,50.1422
629,49.6029
630,49.0637
631,48.6373
632,47.7696
633,47.2010
634,46.7794
635,46.6225
636,46.2059
637,45.8873
638,45.4118
639,45.4167
640,45.0441
641,44.7010
642,44.5245
643,44.0441
644,43.8971
645,43.8284
646,43.7892
647,43.6471
648,43.4755
649,43.1520
650,43.2304
651,42.9951
652,42.8480
653,42.8529
654,42.5539
655,43.0539
656,42.8627
657,42.9853
658,43.1863
659,43.2402
660,43.6078
661,43.7157
662,43.9412
663,44.1814
664,44.1127
665,44.5441
666,44.5882
667,44.8578
668,45.2255
669,45.5931
670,45.9804
671,46.6667
672,46.8088
673,47.2108
674,47.4020
675,47.9755
676,48.4755
677,48.7304
678,49.1029
679,49.3578
680,49.8971
681,50.2108
682,50.5196
683,50.8627
684,51.5098
685,51.7353
686,52.2745
687,52.6225
688,53.0392
689,53.5588
690,54.0245
691,54.3971
692,54.9118
693,55.3578
694,55.9118
695,56.1667
696,56.8725
697,57.2157
698,57.6520
699,58.1176
700,58.8431
701,59.1961
702,59.5392
703,60.1422
704,60.4510
705,61.0049
706,61.7206
707,62.0343
708,62.6765
709,63.0637
710,63.5784
711,64.0490
712,64.4902
713,64.9510
714,65.5686
715,65.8235
716,66.4608
717,66.5441
718,67.1471
719,67.4412
720,67.8088
721,68.2941
722,68.5343
723,68.9755
724,69.3627
725,69.6667
726,70.0490
727,70.4216
728,70.7696
729,70.9363
730,71.4167
731,71.6961
732,72.3088
733,72.8382
734,73.3922
735,73.7255
736,74.4461
737,75.0686
738,75.7794
739,76.5637
740,77.4559
741,78.5833
742,79.4216
743,80.4167
744,81.6814
745,82.9216
746,84.5490
747,85.7598
748,87.1814
749,88.7794
750,90.2304
751,91.9314
752,93.2353
753,94.8333
754,96.3088
755,97.8088
756,99.3235
757,100.4363
758,101.8578
759,102.9412
760,104.5343
761,105.2598
762,105.8235
763,106.6471
764,106.7451
765,106.9559
766,106.8284
767,106.6176
768,106.2745
769,105.6863
770,104.9363
771,104.0294
772,102.8578
773,101.8382
774,100.6471
775,99.0784
776,97.3235
777,96.0049
778,94.3971
779,92.9020
780,91.6127
781,90.1667
782,88.9608
783,87.4853
784,86.3922
785,85.0980
786,83.9755
787,83.2059
788,82.4314
789,81.6961
790,80.8922
791,80.0882
792,79.5245
793,79.1667
794,78.4902
795,77.9510
796,77.1029
797,76.9461
798,76.1373
799,75.8971
800,75.4412
801,74.9510
802,74.7059
803,74.5294
804,73.9559
805,73.7549
806,73.3284
807,73.1226
808,73.0196
809,72.6618
810,72.4412
811,72.1226
812,71.7745
813,71.6422
814,71.2353
815,70.8873
816,70.5882
817,70.0980
818,69.5784
819,69.3088
820,69.0245
821,68.4265
822,68.2353
823,67.7353
824,67.4069
825,66.8578
826,66.3039
827,65.7010
828,65.3578
829,64.8774
830,64.4216
831,63.7500
832,63.3039
833,62.8971
834,62.4069
835,61.8676
836,61.4216
837,60.7353
838,60.2500
839,59.8627
840,59.3431
841,58.7696
842,58.1814
843,57.7353
