#frequency #Vin #Vin_scale #Vout #Vout_scale #phase 
230.521	2.20 1 0.496 0.2 -0.570
231.755	2.04 1 0.512 0.2 -0.480
232.989	1.88 1 0.528 0.2 -0.380
234.233 1.76 1 0.536 0.2 -0.260
235.457 1.68 1 0.544 0.2 -0.140
237.925 1.68 1 0.544 0.2 0.130
239.159 1.76 1 0.536 0.2 0.250
240.393 1.88 1 0.528 0.2 0.350
209.542 3.60 1 0.244 0.1 -1.040
212.010 3.56 1 0.264 0.1 -1.020
214.478 3.48 1 0.284 0.1 -0.998
216.946 3.36 1 0.312 0.1 -0.950
219.414 3.28 1 0.340 0.1 -0.910
221.882 3.12 1 0.372 0.1 -0.870
224.350 2.92 1 0.408 0.2 -0.820
226.818 2.64 1 0.444 0.2 -0.740
229.282 2.36 1 0.480 0.2 -0.640
261.375 3.48 1 0.288 0.1 0.80
258.907 3.40 1 0.308 0.1 0.79
256.439 3.28 1 0.332 0.1 0.78
253.971 3.16 1 0.356 0.1 0.76
251.503 3.00 1 0.384 0.1 0.75
249.035 2.84 1 0.416 0.2 0.69
246.567 2.60 1 0.448 0.2 0.64
244.099 2.32 1 0.480 0.2 0.56
241.631 2.04 1 0.512 0.2 0.43
