#f_kHz #Vin_V #Vinscale_V #Vout_V #Voutscale_V #fase_mus
237.975 0.464 0.2 7.8 5 1.3
239.209 0.496 0.2 7.8 5 1.39
240.443 0.528 0.2 7.4 5 1.46
241.677 0.568 0.2 7.2 5 1.54
242.911 0.608 0.2 7.0 5 1.58
235.507 0.440 0.2 8.2 5 1.04
234.273 0.448 0.2 8 5 0.92
233.039 0.464 0.2 8 5 0.8
231.805 0.496 0.2 8 5 0.68
230.571 0.528 0.2 7.8 5 0.6
218.231 0.84 0.5 5.6 2 0.230
223.167 0.74 0.5 6.56 2 0.31
225.635 0.68 0.5 7.04 2 0.37
228.103 0.6 0.5 7.52 2 0.46
255.783 0.86 0.5 4.48 2 1.75
252.783 0.82 0.5 5.04 2 1.75
250.315 0.78 0.5 5.44 2 1.74
247.847 0.74 0.5 6 2 1.72
245.379 0.68 0.5 6.48 2 1.67
